"code","name","level","titlePath","href"
"100026","パソコン・周辺機器","0","トップ > パソコン・周辺機器 > ノートパソコン > 東芝 > 12インチ～","http://search.rakuten.co.jp/search/mall/-/%E3%83%91%E3%82%BD%E3%82%B3%E3%83%B3%E3%83%BB%E5%91%A8%E8%BE%BA%E6%A9%9F%E5%99%A8-100026/p.1-s.1-sf.0-st.A-v.2?grp=product"
"100040","ノートパソコン","1","トップ > パソコン・周辺機器 > ノートパソコン > 東芝 > 12インチ～","http://search.rakuten.co.jp/search/mall/-/%E3%83%8E%E3%83%BC%E3%83%88%E3%83%91%E3%82%BD%E3%82%B3%E3%83%B3-100040/p.1-s.1-sf.0-st.A-v.2?grp=product"
"552031","東芝","2","トップ > パソコン・周辺機器 > ノートパソコン > 東芝 > 12インチ～","http://search.rakuten.co.jp/search/mall/-/%E6%9D%B1%E8%8A%9D-552031/p.1-s.1-sf.0-st.A-v.2?grp=product"
"552032","12インチ～","3","トップ > パソコン・周辺機器 > ノートパソコン > 東芝 > 12インチ～","http://search.rakuten.co.jp/search/mall/-/12%E3%82%A4%E3%83%B3%E3%83%81%EF%BD%9E-552032/p.1-s.1-sf.0-st.A-v.2?grp=product"
"552033","13インチ～","3","トップ > パソコン・周辺機器 > ノートパソコン > 東芝 > 13インチ～","http://search.rakuten.co.jp/search/mall/-/13%E3%82%A4%E3%83%B3%E3%83%81%EF%BD%9E-552033/p.1-s.1-sf.0-st.A-v.2?grp=product"
"552034","15インチ～","3","トップ > パソコン・周辺機器 > ノートパソコン > 東芝 > 15インチ～","http://search.rakuten.co.jp/search/mall/-/15%E3%82%A4%E3%83%B3%E3%83%81%EF%BD%9E-552034/p.1-s.1-sf.0-st.A-v.2?grp=product"
"552035","17インチ～","3","トップ > パソコン・周辺機器 > ノートパソコン > 東芝 > 17インチ～","http://search.rakuten.co.jp/search/mall/-/17%E3%82%A4%E3%83%B3%E3%83%81%EF%BD%9E-552035/p.1-s.1-sf.0-st.A-v.2?grp=product"
"552036","その他","3","トップ > パソコン・周辺機器 > ノートパソコン > 東芝 > その他","http://search.rakuten.co.jp/search/mall/-/%E3%81%9D%E3%81%AE%E4%BB%96-552036/p.1-s.1-sf.0-st.A-v.2?grp=product"
"552061","レノボ","2","トップ > パソコン・周辺機器 > ノートパソコン > レノボ > 12インチ～","http://search.rakuten.co.jp/search/mall/-/%E3%83%AC%E3%83%8E%E3%83%9C-552061/p.1-s.1-sf.0-st.A-v.2?grp=product"
"552062","12インチ～","3","トップ > パソコン・周辺機器 > ノートパソコン > レノボ > 12インチ～","http://search.rakuten.co.jp/search/mall/-/12%E3%82%A4%E3%83%B3%E3%83%81%EF%BD%9E-552062/p.1-s.1-sf.0-st.A-v.2?grp=product"
"552063","13インチ～","3","トップ > パソコン・周辺機器 > ノートパソコン > レノボ > 13インチ～","http://search.rakuten.co.jp/search/mall/-/13%E3%82%A4%E3%83%B3%E3%83%81%EF%BD%9E-552063/p.1-s.1-sf.0-st.A-v.2?grp=product"
"552064","15インチ～","3","トップ > パソコン・周辺機器 > ノートパソコン > レノボ > 15インチ～","http://search.rakuten.co.jp/search/mall/-/15%E3%82%A4%E3%83%B3%E3%83%81%EF%BD%9E-552064/p.1-s.1-sf.0-st.A-v.2?grp=product"
"552065","17インチ～","3","トップ > パソコン・周辺機器 > ノートパソコン > レノボ > 17インチ～","http://search.rakuten.co.jp/search/mall/-/17%E3%82%A4%E3%83%B3%E3%83%81%EF%BD%9E-552065/p.1-s.1-sf.0-st.A-v.2?grp=product"
"552066","その他","3","トップ > パソコン・周辺機器 > ノートパソコン > レノボ > その他","http://search.rakuten.co.jp/search/mall/-/%E3%81%9D%E3%81%AE%E4%BB%96-552066/p.1-s.1-sf.0-st.A-v.2?grp=product"
"552019","NEC","2","トップ > パソコン・周辺機器 > ノートパソコン > NEC > 12インチ～","http://search.rakuten.co.jp/search/mall/-/NEC-552019/p.1-s.1-sf.0-st.A-v.2?grp=product"
"552020","12インチ～","3","トップ > パソコン・周辺機器 > ノートパソコン > NEC > 12インチ～","http://search.rakuten.co.jp/search/mall/-/12%E3%82%A4%E3%83%B3%E3%83%81%EF%BD%9E-552020/p.1-s.1-sf.0-st.A-v.2?grp=product"
"552021","13インチ～","3","トップ > パソコン・周辺機器 > ノートパソコン > NEC > 13インチ～","http://search.rakuten.co.jp/search/mall/-/13%E3%82%A4%E3%83%B3%E3%83%81%EF%BD%9E-552021/p.1-s.1-sf.0-st.A-v.2?grp=product"
"552022","15インチ～","3","トップ > パソコン・周辺機器 > ノートパソコン > NEC > 15インチ～","http://search.rakuten.co.jp/search/mall/-/15%E3%82%A4%E3%83%B3%E3%83%81%EF%BD%9E-552022/p.1-s.1-sf.0-st.A-v.2?grp=product"
"552023","17インチ～","3","トップ > パソコン・周辺機器 > ノートパソコン > NEC > 17インチ～","http://search.rakuten.co.jp/search/mall/-/17%E3%82%A4%E3%83%B3%E3%83%81%EF%BD%9E-552023/p.1-s.1-sf.0-st.A-v.2?grp=product"
"552024","その他","3","トップ > パソコン・周辺機器 > ノートパソコン > NEC > その他","http://search.rakuten.co.jp/search/mall/-/%E3%81%9D%E3%81%AE%E4%BB%96-552024/p.1-s.1-sf.0-st.A-v.2?grp=product"
"552013","ソニー","2","トップ > パソコン・周辺機器 > ノートパソコン > ソニー > 12インチ～","http://search.rakuten.co.jp/search/mall/-/%E3%82%BD%E3%83%8B%E3%83%BC-552013/p.1-s.1-sf.0-st.A-v.2?grp=product"
"552014","12インチ～","3","トップ > パソコン・周辺機器 > ノートパソコン > ソニー > 12インチ～","http://search.rakuten.co.jp/search/mall/-/12%E3%82%A4%E3%83%B3%E3%83%81%EF%BD%9E-552014/p.1-s.1-sf.0-st.A-v.2?grp=product"
"552015","13インチ～","3","トップ > パソコン・周辺機器 > ノートパソコン > ソニー > 13インチ～","http://search.rakuten.co.jp/search/mall/-/13%E3%82%A4%E3%83%B3%E3%83%81%EF%BD%9E-552015/p.1-s.1-sf.0-st.A-v.2?grp=product"
