﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ダウンハガー900 #1 ( 品番 #1121250 )"	0	""	1	"日本"	"日本"	1	6190.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"究極の保温性と軽量性を併せ持ち、快適性も極めたフラッグシップモデルです。国内2,000m級のほとんどの冬山で幅広く使用できるモデルです。 【コンフォート温度】-6度【リミット温度】-13度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.875	0		""				"ダウンハガー900 #1 ( 品番 #1121250 )"
"ダウンハガー900 #2 ( 品番 #1121251 )"	0	""	1	"日本"	"日本"	1	5024.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"究極の保温性と軽量性を併せ持ち、快適性も極めたフラッグシップモデルです。冬季登はんや縦走など、積雪期の登山で幅広く使用できる汎用性の高いモデルです。 【コンフォート温度】-2度【リミット温度】-8度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.694	0		""				"ダウンハガー900 #2 ( 品番 #1121251 )"
"ダウンハガー900 #3 ( 品番 #1121252 )"	0	""	1	"日本"	"日本"	1	3723.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"究極の保温性と軽量性を併せ持ち、快適性も極めたフラッグシップモデルです。夏の高山から冬の低山キャンプまで一年を通して使えるトータルバランスに優れたモデルです。 【コンフォート温度】3度【リミット温度】-2度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.54	0		""				"ダウンハガー900 #3 ( 品番 #1121252 )"
"ダウンハガー900 #5 ( 品番 #1121253 )"	0	""	1	"日本"	"日本"	1	3185.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"究極の保温性と軽量性を併せ持ち、快適性も極めたフラッグシップモデルです。夏の縦走や秋冬のキャンプなどにも適したモデルです。 【コンフォート温度】10度【リミット温度】5度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.387	0		""				"ダウンハガー900 #5 ( 品番 #1121253 )"
"ダウンハガー650 #0 ( 品番 #1121254 )"	0	""	1	"日本"	"日本"	1	3275.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の快適性を実現し、コストパフォーマンスに優れたモデルです。国内の3,000m級の冬山で使用できる保温性の高いモデルです。 【コンフォート温度】-7度【リミット温度】-14度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.525	0		""				"ダウンハガー650 #0 ( 品番 #1121254 )"
"ダウンハガー650 #1 ( 品番 #1121255 )"	0	""	1	"日本"	"日本"	1	2647.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の快適性を実現し、コストパフォーマンスに優れたモデルです。国内2,000m級のほとんどの冬山で幅広く使用できるモデルです。 【コンフォート温度】-4度【リミット温度】-10度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.273	0		""				"ダウンハガー650 #1 ( 品番 #1121255 )"
"ダウンハガー650 #2 ( 品番 #1121256 )"	0	""	1	"日本"	"日本"	1	2198.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の快適性を実現し、コストパフォーマンスに優れたモデルです。冬季登はんや縦走など、積雪期の登山で幅広く使用できる汎用性の高いモデルです。 【コンフォート温度】2度【リミット温度】-3度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.07	0		""				"ダウンハガー650 #2 ( 品番 #1121256 )"
"ダウンハガー650 #3 ( 品番 #1121257 )"	0	""	1	"日本"	"日本"	1	1929.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の快適性を実現し、コストパフォーマンスに優れたモデルです。夏の高山から冬の低山キャンプまで一年を通して使えるトータルバランスに優れたモデルです。 【コンフォート温度】4度【リミット温度】-1度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.858	0		""				"ダウンハガー650 #3 ( 品番 #1121257 )"
"ダウンハガー650 #5 ( 品番 #1121258 )"	0	""	1	"日本"	"日本"	1	1570.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の快適性を実現し、コストパフォーマンスに優れたモデルです。夏の縦走や秋冬のキャンプなどにも適したモデルです。 【コンフォート温度】10度【リミット温度】6度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.684	0		""				"ダウンハガー650 #5 ( 品番 #1121258 )"
