﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"バロウバッグ #0 ( 品番 #1121270 )"	0	""	1	"日本"	"日本"	1	1750.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"メンテナンスが容易で、優れた快適性を実現。保温性と速乾性を併せ持ったモデルです。国内の3,000m級の冬山で使用できる保温性の高いモデルです。 【コンフォート温度】-7度【リミット温度】-14度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		2.179	0		""				"バロウバッグ #0 ( 品番 #1121270 )"
"バロウバッグ #1 ( 品番 #1121271 )"	0	""	1	"日本"	"日本"	1	1570.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"メンテナンスが容易で、優れた快適性を実現。保温性と速乾性を併せ持ったモデルです。国内2,000m級のほとんどの冬山で幅広く使用できるモデルです。 【コンフォート温度】-3度【リミット温度】-9度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.781	0		""				"バロウバッグ #1 ( 品番 #1121271 )"
"バロウバッグ #2 ( 品番 #1121272 )"	0	""	1	"日本"	"日本"	1	1391.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"メンテナンスが容易で、優れた快適性を実現。保温性と速乾性を併せ持ったモデルです。冬季登はんや縦走など、積雪期の登山で幅広く使用できる汎用性の高いモデルです。 【コンフォート温度】2度【リミット温度】-4度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.554	0		""				"バロウバッグ #2 ( 品番 #1121272 )"
"バロウバッグ #3 ( 品番 #1121273 )"	0	""	1	"日本"	"日本"	1	1122.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"メンテナンスが容易で、優れた快適性を実現。保温性と速乾性を併せ持ったモデルです。夏の高山から冬の低山キャンプまで一年を通して使えるトータルバランスに優れたモデルです。 【コンフォート温度】6度【リミット温度】1度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.085	0		""				"バロウバッグ #3 ( 品番 #1121273 )"
"バロウバッグ #5 ( 品番 #1121274 )"	0	""	1	"日本"	"日本"	1	1032.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"メンテナンスが容易で、優れた快適性を実現。保温性と速乾性を併せ持ったモデルです。夏の縦走や秋冬のキャンプなどにも適したモデルです。 【コンフォート温度】9度【リミット温度】4度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.902	0		""				"バロウバッグ #5 ( 品番 #1121274 )"
"バロウバッグ #0 ロング ( 品番 #1121275 )"	0	""	1	"日本"	"日本"	1	1839.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"メンテナンスが容易で、優れた快適性を実現。保温性と速乾性を併せ持ったモデルです。国内の3,000m級の冬山で使用できる保温性の高いモデルです。 【コンフォート温度】-7度【リミット温度】-14度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		2.269	0		""				"バロウバッグ #0 ロング ( 品番 #1121275 )"
"バロウバッグ #1 ロング ( 品番 #1121276 )"	0	""	1	"日本"	"日本"	1	1750.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"メンテナンスが容易で、優れた快適性を実現。保温性と速乾性を併せ持ったモデルです。国内2,000m級のほとんどの冬山で幅広く使用できるモデルです。 【コンフォート温度】-3度【リミット温度】-9度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.899	0		""				"バロウバッグ #1 ロング ( 品番 #1121276 )"
"バロウバッグ #2 ロング ( 品番 #1121277 )"	0	""	1	"日本"	"日本"	1	1570.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"メンテナンスが容易で、優れた快適性を実現。保温性と速乾性を併せ持ったモデルです。冬季登はんや縦走など、積雪期の登山で幅広く使用できる汎用性の高いモデルです。 【コンフォート温度】2度【リミット温度】-4度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.671	0		""				"バロウバッグ #2 ロング ( 品番 #1121277 )"
"バロウバッグ #3 ロング ( 品番 #1121278 )"	0	""	1	"日本"	"日本"	1	1212.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"メンテナンスが容易で、優れた快適性を実現。保温性と速乾性を併せ持ったモデルです。夏の高山から冬の低山キャンプまで一年を通して使えるトータルバランスに優れたモデルです。 【コンフォート温度】6度【リミット温度】1度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.131	0		""				"バロウバッグ #3 ロング ( 品番 #1121278 )"
"バロウバッグ #5 ロング ( 品番 #1121279 )"	0	""	1	"日本"	"日本"	1	1122.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"メンテナンスが容易で、優れた快適性を実現。保温性と速乾性を併せ持ったモデルです。夏の縦走や秋冬のキャンプなどにも適したモデルです。 【コンフォート温度】9度【リミット温度】4度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.951	0		""				"バロウバッグ #5 ロング ( 品番 #1121279 )"
"アルパイン バロウバッグ #0 ( 品番 #1121280 )"	0	""	1	"日本"	"日本"	1	1660.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コストパフォーマンスに優れたモデル。保温性と速乾性に優れ、メンテナンスも容易です。国内の3,000m級の冬山で使用できる保温性の高いモデルです。 【コンフォート温度】-6度【リミット温度】-13度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		2.102	0		""				"アルパイン バロウバッグ #0 ( 品番 #1121280 )"
"アルパイン バロウバッグ #1 ( 品番 #1121281 )"	0	""	1	"日本"	"日本"	1	1391.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コストパフォーマンスに優れたモデル。保温性と速乾性に優れ、メンテナンスも容易です。国内2,000m級のほとんどの冬山で幅広く使用できるモデルです。 【コンフォート温度】-1度【リミット温度】-8度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.748	0		""				"アルパイン バロウバッグ #1 ( 品番 #1121281 )"
"アルパイン バロウバッグ #2 ( 品番 #1121282 )"	0	""	1	"日本"	"日本"	1	1212.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コストパフォーマンスに優れたモデル。保温性と速乾性に優れ、メンテナンスも容易です。冬季登はんや縦走など、積雪期の登山で幅広く使用できる汎用性の高いモデルです。 【コンフォート温度】3度【リミット温度】-2度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.512	0		""				"アルパイン バロウバッグ #2 ( 品番 #1121282 )"
"アルパイン バロウバッグ #3 ( 品番 #1121283 )"	0	""	1	"日本"	"日本"	1	942.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コストパフォーマンスに優れたモデル。保温性と速乾性に優れ、メンテナンスも容易です。夏の高山から冬の低山キャンプまで一年を通して使えるトータルバランスに優れたモデルです。 【コンフォート温度】7度【リミット温度】2度"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.012	0		""				"アルパイン バロウバッグ #3 ( 品番 #1121283 )"
