﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ポルカテックススリーピングバッグカバー ( 品番 #1121020 )"	0	""	1	"日本"	"日本"	1	496.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"世界最高レベルの撥水性を誇るポルカテックス加工を施した超軽量コンパクトモデル。蒸れにくく結露しにくい透湿性を併せ持ちます。 【適応身長】～178cm"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.25	0		""				"ポルカテックススリーピングバッグカバー ( 品番 #1121020 )"
"ブリーズドライテック サイドジップスリーピングバッグカバー ( 品番 #1121030 )"	0	""	1	"日本"	"日本"	1	1154.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"サイドジッパーつきで出入りしやすく、軽量で収納サイズもコンパクトになるカバーです。高い防水性を誇り、単体での使用も可能です。 【適応身長】～178cm"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.405	0		""				"ブリーズドライテック サイドジップスリーピングバッグカバー ( 品番 #1121030 )"
"U.L.スリーピングバッグカバー ( 品番 #1121024 )"	0	""	1	"日本"	"日本"	1	1436.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"非常に軽くコンパクトになり、スリーピングバッグと一緒にスタッフバッグに入れておくこともできます。フルシームシーリングを施し、防水性を徹底しています。 【適応身長】～178cm"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.225	0		""				"U.L.スリーピングバッグカバー ( 品番 #1121024 )"
"ブリーズドライテック U.L.スリーピングバッグカバー ( 品番 #1121027 )"	0	""	1	"日本"	"日本"	1	983.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"寝袋用の防水カバーとして世界最高レベルの軽量性を実現しています高い防水性を確保しつつ、通気性に優れ蒸れを大幅に軽減します。 【適応身長】～178cm"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.18	0		""				"ブリーズドライテック U.L.スリーピングバッグカバー ( 品番 #1121027 )"
"ブリーズドライテック ウォームアップスリーピングバッグカバー ( 品番 #1121033 )"	0	""	1	"日本"	"日本"	1	1179.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"防水透湿性、保温性に優れ、肌ざわりもよく夏場のフィールドなどでは単体での使用も可能です。軽量・コンパクトに収納できるので携行にも便利です。 【適応身長】～178cm"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.49	0		""				"ブリーズドライテック ウォームアップスリーピングバッグカバー ( 品番 #1121033 )"
"ブリーズドライテック サイドジップスリーピングバッグカバー ワイド ( 品番 #1121031 )"	0	""	1	"日本"	"日本"	1	1197.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"サイドジッパーつきで出入りしやすく、軽量で収納サイズもコンパクトになるカバーです。高い防水性を誇り、単体での使用も可能です。 【適応身長】～178cm"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.425	0		""				"ブリーズドライテック サイドジップスリーピングバッグカバー ワイド ( 品番 #1121031 )"
"ブリーズドライテック サイドジップスリーピングバッグカバー ワイド&ロング ( 品番 #1121032 )"	0	""	1	"日本"	"日本"	1	1496.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"サイドジッパーつきで出入りしやすく、軽量で収納サイズもコンパクトになるカバーです。高い防水性を誇り、単体での使用も可能です。 【適応身長】～193cm"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.53	0		""				"ブリーズドライテック サイドジップスリーピングバッグカバー ワイド&ロング ( 品番 #1121032 )"
"ブリーズドライテック U.L.スリーピングバッグカバー ワイド ( 品番 #1121028 )"	0	""	1	"日本"	"日本"	1	1026.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"寝袋用の防水カバーとして世界最高レベルの軽量性を実現しています高い防水性を確保しつつ、通気性に優れ蒸れを大幅に軽減します。 【適応身長】～178cm"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.19	0		""				"ブリーズドライテック U.L.スリーピングバッグカバー ワイド ( 品番 #1121028 )"
"ブリーズドライテック U.L.スリーピングバッグカバー ワイド＆ロング ( 品番 #1121029 )"	0	""	1	"日本"	"日本"	1	1325.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"寝袋用の防水カバーとして世界最高レベルの軽量性を実現しています高い防水性を確保しつつ、通気性に優れ蒸れを大幅に軽減します。 【適応身長】～193cm"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.235	0		""				"ブリーズドライテック U.L.スリーピングバッグカバー ワイド＆ロング ( 品番 #1121029 )"
"ウォームアップシーツ ( 品番 #1121583 )"	0	""	1	"日本"	"日本"	1	359.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"超軽量で優れた保温性を誇るシーツ。伸縮性があるのでストレッチシステムを採用したスリーピングバッグに対応し、保温効率を高めます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.23	0		""				"ウォームアップシーツ ( 品番 #1121583 )"
"アルパイン ダウンハガー 800 サーマルシーツ ( 品番 #1121806 )"	0	""	1	"日本"	"日本"	1	1692.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量素材を使用し、ストレッチ性を備えたシーツです。お手持ちのスリーピングバッグの保温力をより高めたいときに中に入れて使用します。夏場などは単体でも使用でき、底まで開いてシーツのようにもなります。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.41	0		""				"アルパイン ダウンハガー 800 サーマルシーツ ( 品番 #1121806 )"
