﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"フォームパッド180 ( 品番 #1124461 )"	0	""	1	"日本"	"日本"	1	300.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"広げるだけで即座に使用可能なポリエチレン製のスリーピングパッドです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.325	0		""				"フォームパッド180 ( 品番 #1124461 )"
"U.L.コンフォートシステムパッド180 キャンプ50 ( 品番 #1124459 )"	0	""	1	"日本"	"日本"	1	983.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"U.L.コンフォートシステムを採用したウレタンフォームパッドです。フォームの肉厚を50mmに設定することで、地面の凹凸からの突き上げを吸収するとともに冷気も遮り、快適な寝心地を実現。60cm幅のワイドサイズなので、体格のよい方にもゆったりと使用していただけます。長さ180cm。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.114	0		""				"U.L.コンフォートシステムパッド180 キャンプ50 ( 品番 #1124459 )"
"U.L.コンフォートシステムパッド150 キャンプ50 ( 品番 #1124460 )"	0	""	1	"日本"	"日本"	1	897.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"U.L.コンフォートシステムを採用したウレタンフォームパッドです。フォームの肉厚を50mmに設定することで、地面の凹凸からの突き上げを吸収するとともに冷気も遮り、快適な寝心地を実現。60cm幅のワイドサイズなので、体格のよい方にもゆったりと使用していただけます。長さ150cm。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.935	0		""				"U.L.コンフォートシステムパッド150 キャンプ50 ( 品番 #1124460 )"
"U.L.コンフォートシステムパッド180 キャンプ38 ( 品番 #1124456 )"	0	""	1	"日本"	"日本"	1	906.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"U.L.コンフォートシステムを採用したウレタンフォームパッドです。フォームの肉厚を38mmに設定することで、地面の凹凸からの突き上げを吸収するとともに冷気も遮り、快適な寝心地を実現。60cm幅のワイドサイズなので、体格のよい方にもゆったりと使用していただけます。長さ180cm。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.911	0		""				"U.L.コンフォートシステムパッド180 キャンプ38 ( 品番 #1124456 )"
"U.L.コンフォートシステムパッド150 キャンプ38 ( 品番 #1124457 )"	0	""	1	"日本"	"日本"	1	838.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"U.L.コンフォートシステムを採用したウレタンフォームパッドです。フォームの肉厚を38mmに設定することで、地面の凹凸からの突き上げを吸収するとともに冷気も遮り、快適な寝心地を実現。60cm幅のワイドサイズなので、体格のよい方にもゆったりと使用していただけます。長さ150cm。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.753	0		""				"U.L.コンフォートシステムパッド150 キャンプ38 ( 品番 #1124457 )"
"U.L.コンフォートシステムパッド120 キャンプ38 ( 品番 #1124458 )"	0	""	1	"日本"	"日本"	1	786.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"U.L.コンフォートシステムを採用したウレタンフォームパッドです。フォームの肉厚を38mmに設定することで、地面の凹凸からの突き上げを吸収するとともに冷気も遮り、快適な寝心地を実現。60cm幅のワイドサイズなので、体格のよい方にもゆったりと使用していただけます。長さ120cm。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.599	0		""				"U.L.コンフォートシステムパッド120 キャンプ38 ( 品番 #1124458 )"
"U.L.コンフォートシステムパッド180 ( 品番 #1124404 )"	0	""	1	"日本"	"日本"	1	855.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"超軽量のウレタンフォームパッドです。U.L.コンフォートシステムの採用により、快適な寝心地を実現しました。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.63	0		""				"U.L.コンフォートシステムパッド180 ( 品番 #1124404 )"
"U.L.コンフォートシステムパッド150 ( 品番 #1124405 )"	0	""	1	"日本"	"日本"	1	752.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"超軽量のウレタンフォームパッドです。U.L.コンフォートシステムの採用により、快適な寝心地を実現しました。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.52	0		""				"U.L.コンフォートシステムパッド150 ( 品番 #1124405 )"
"U.L.コンフォートシステムパッド120 ( 品番 #1124406 )"	0	""	1	"日本"	"日本"	1	701.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"超軽量のウレタンフォームパッドです。U.L.コンフォートシステムの採用により、快適な寝心地を実現しました。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.415	0		""				"U.L.コンフォートシステムパッド120 ( 品番 #1124406 )"
