﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"アルパインクルーザー 2500 Men's ( 品番 #1129315 )"	0	""	1	"日本"	"日本"	1	2803.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"春から秋にかけての縦走、冬の低山ハイクなどオールラウンドに使用できるブーツです。足首部は、左右方向には高いサポート力を持ちながら、前後方向には自由度が高く、歩きやすいデザインです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.83	0		""				"アルパインクルーザー 2500 Men's ( 品番 #1129315 )"
"アルパインクルーザー 2500 Women's ( 品番 #1129316 )"	0	""	1	"日本"	"日本"	1	2777.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"春から秋にかけての縦走、冬の低山ハイクなどオールラウンドに使用できるブーツです。足首部は、左右方向には高いサポート力を持ちながら、前後方向には自由度が高く、歩きやすいデザインです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.74	0		""				"アルパインクルーザー 2500 Women's ( 品番 #1129316 )"
"アルパインクルーザー 2000 Men's ( 品番 #1129317 )"	0	""	1	"日本"	"日本"	1	1948.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"小屋泊まりの登山やトレッキングなど、軽快な山歩きに適したモデルです。足首の屈曲を妨げないパターンで仕上げているため、硬い登山靴に不慣れな方でも足運びがスムーズに行えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.76	0		""				"アルパインクルーザー 2000 Men's ( 品番 #1129317 )"
"アルパインクルーザー 2000 Women's ( 品番 #1129318 )"	0	""	1	"日本"	"日本"	1	1923.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"小屋泊まりの登山やトレッキングなど、軽快な山歩きに適したモデルです。足首の屈曲を妨げないパターンで仕上げているため、硬い登山靴に不慣れな方でも足運びがスムーズに行えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.66	0		""				"アルパインクルーザー 2000 Women's ( 品番 #1129318 )"
"アルパインクルーザー 2800 ( 品番 #1129314 )"	0	""	1	"日本"	"日本"	1	3571.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"秋から春までの積雪期登山に対応する高い強度と保温性を備えたモデルです。セミワンタッチアイゼンの装着が可能。 ※ワンタッチアイゼンには対応していません。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.87	0		""				"アルパインクルーザー 2800 ( 品番 #1129314 )"
"GORE-TEX アルパインクルーザー 3000 ( 品番 #1129341 )"	0	""	1	"日本"	"日本"	1	4255.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"3,000m級の冬季登山に対応するモンベル・フットウエアの最高峰モデルです。ワンタッチアイゼンやセミワンタッチアイゼンの装着が可能。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.97	0		""				"GORE-TEX アルパインクルーザー 3000 ( 品番 #1129341 )"
"AFS エヴォルツィオーネ Men's ( 品番 #1829505 )"	0	""	1	"日本"	"日本"	1	3947.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"アイスクライミングから冬季縦走まで、厳寒期にオールラウンドに活躍するプラスチック製ブーツです。インナーブーツを備えたダブルブーツ構造で、高い保温性と防水性を誇ります。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"AFS エヴォルツィオーネ Men's ( 品番 #1829505 )"
"6B+ GV Men's ( 品番 #1829506 )"	0	""	1	"日本"	"日本"	1	4037.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"冬場のクライミングはもちろん、初冬から残雪期までの縦走にも対応できる汎用性の高いモデルです。足首部分は、足首の屈曲を妨げないパターンで仕上げることで、スムーズな足運びを実現しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.91	0		""				"6B+ GV Men's ( 品番 #1829506 )"
"6B+ GV Women's ( 品番 #1829507 )"	0	""	1	"日本"	"日本"	1	4037.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"冬場のクライミングはもちろん、初冬から残雪期までの縦走にも対応できる汎用性の高いモデルです。足首部分は、足首の屈曲を妨げないパターンで仕上げることで、スムーズな足運びを実現しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.802	0		""				"6B+ GV Women's ( 品番 #1829507 )"
"クンブ GV Men's ( 品番 #1829551 )"	0	""	1	"日本"	"日本"	1	3319.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"重い装備を背負い、長期間歩く縦走やトレッキングに最適なモデルです。しっかりとした剛性を持ちながらも、アッパーは足になじみやすいスエードレザーを採用することで、快適な歩行を可能にしています。長時間の歩行でも疲れにくいように、衝撃のかかるソールのかかと部分に衝撃吸収性の高いポリウレタンを配置しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.73	0		""				"クンブ GV Men's ( 品番 #1829551 )"
"クンブ GV Women's ( 品番 #1829552 )"	0	""	1	"日本"	"日本"	1	3319.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"重い装備を背負い、長期間歩く縦走やトレッキングに最適なモデルです。しっかりとした剛性を持ちながらも、アッパーは足になじみやすいスエードレザーを採用することで、快適な歩行を可能にしています。長時間の歩行でも疲れにくいように、衝撃のかかるソールのかかと部分に衝撃吸収性の高いポリウレタンを配置しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.62	0		""				"クンブ GV Women's ( 品番 #1829552 )"
"マナスルGV ( 品番 #1829501 )"	0	""	1	"日本"	"日本"	1	11661.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"保温材プリマロフトを内蔵で、非常に高い保温力を誇るダブルブーツ。剛性も非常に高く、ヒマラヤ遠征などの高所登山にも対応。ワンタッチアイゼンが装着可能です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.53	0		""				"マナスルGV ( 品番 #1829501 )"
"シエルパGV Men's ( 品番 #1829503 )"	0	""	1	"日本"	"日本"	1	3947.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"春から秋にかけての、3,000m級の岩場の縦走から、残雪期の登山まで対応可能な山岳モデル。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.88	0		""				"シエルパGV Men's ( 品番 #1829503 )"
"シエルパGV Women's ( 品番 #1829504 )"	0	""	1	"日本"	"日本"	1	3947.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"春から秋にかけての、3,000m級の岩場の縦走から、残雪期の登山まで対応可能な山岳モデル。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.78	0		""				"シエルパGV Women's ( 品番 #1829504 )"
