﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"テナヤブーツ Men's ( 品番 #1129321 )"	0	""	1	"日本"	"日本"	1	1863.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"「ツオロミーブーツ」に、優れたフィット感と素早い着脱を可能にするリールアジャストシステムを採用したモデルです。甲部分と足首部分の2ヵ所に独立したリールを設けており、細かなフィット感の調節が行えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.669	0		""				"テナヤブーツ Men's ( 品番 #1129321 )"
"テナヤブーツ Women's ( 品番 #1129322 )"	0	""	1	"日本"	"日本"	1	1846.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"「ツオロミーブーツ」に、優れたフィット感と素早い着脱を可能にするリールアジャストシステムを採用したモデルです。甲部分と足首部分の2ヵ所に独立したリールを設けており、細かなフィット感の調節が行えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.603	0		""				"テナヤブーツ Women's ( 品番 #1129322 )"
"ティトンブーツ Men's ( 品番 #1129325 )"	0	""	1	"日本"	"日本"	1	1274.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で柔らかく、軽装備の日帰りハイキングや野山の散策などで手軽に着用できる全天候型ブーツです。屈曲部から金属製のパーツを排することで軽さと柔らかさを追求。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.612	0		""				"ティトンブーツ Men's ( 品番 #1129325 )"
"ティトンブーツ Women's ( 品番 #1129326 )"	0	""	1	"日本"	"日本"	1	1248.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で柔らかく、軽装備の日帰りハイキングや野山の散策などで手軽に着用できる全天候型ブーツです。屈曲部から金属製のパーツを排することで軽さと柔らかさを追求。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.548	0		""				"ティトンブーツ Women's ( 品番 #1129326 )"
"ツオロミー ブーツ ワイド ( 品番 #1129330 )"	0	""	1	"日本"	"日本"	1	1615.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"「ツオロミーブーツ」をベースに、足囲を大きく設計することで、足幅の広い方や甲高の方にも快適にご使用いただけるようにした4E対応のワイドモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.766	0		""				"ツオロミー ブーツ ワイド ( 品番 #1129330 )"
"シンビオ GV Men's ( 品番 #1829651 )"	0	""	1	"日本"	"日本"	1	2333.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"2,000m級の登山をはじめ、富士山等にも使用可能な非常に汎用性の高いモデルです。ビブラム社と共同開発したオリジナルのアウトソールは泥はけもよく、優れたグリップ力を発揮します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.625	0		""				"シンビオ GV Men's ( 品番 #1829651 )"
"フィッション GV Women's ( 品番 #1829652 )"	0	""	1	"日本"	"日本"	1	2333.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"2,000m級の登山をはじめ、富士山等にも使用可能な非常に汎用性の高いモデルです。ビブラム社と共同開発したオリジナルのアウトソールは泥はけもよく、優れたグリップ力を発揮します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.53	0		""				"フィッション GV Women's ( 品番 #1829652 )"
"GORE-TEX ワオナブーツ Men's ( 品番 #1129305 )"	0	""	1	"日本"	"日本"	1	1350.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽装備での登山やトレッキングで幅広く使えるミドルカットの全天候型ブーツです。ミッドソールには、軽量で衝撃吸収性にも優れたE.V.A.を採用。ひざへの負担を和らげ、地面からの足裏への突き上げを軽減します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.525	0		""				"GORE-TEX ワオナブーツ Men's ( 品番 #1129305 )"
"GORE-TEX ワオナブーツ Women's ( 品番 #1129306 )"	0	""	1	"日本"	"日本"	1	1325.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽装備での登山やトレッキングで幅広く使えるミドルカットの全天候型ブーツです。ミッドソールには、軽量で衝撃吸収性にも優れたE.V.A.を採用。ひざへの負担を和らげ、地面からの足裏への突き上げを軽減します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.47	0		""				"GORE-TEX ワオナブーツ Women's ( 品番 #1129306 )"
