﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"レストン WP Men's ( 品番 #1829653 )"	0	""	1	"日本"	"日本"	1	2108.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ハイキングから旅行まで幅広く活躍する、大変軽量で柔らかな履き心地のブーツです。人の足の形を忠実に再現した独自のラストを使用して成形された「ナチュラルシェイプ」を採用し、抜群のフィット感と快適性を実現。ソールは厚みを抑えながらも、TPU製のシャンクプレートを挿入することで、地面からの突き上げを防ぎます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.445	0		""				"レストン WP Men's ( 品番 #1829653 )"
"メシ-タ WP Women's ( 品番 #1829654 )"	0	""	1	"日本"	"日本"	1	2108.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ハイキングから旅行まで幅広く活躍する、大変軽量で柔らかな履き心地のブーツです。人の足の形を忠実に再現した独自のラストを使用して成形された「ナチュラルシェイプ」を採用し、抜群のフィット感と快適性を実現。ソールは厚みを抑えながらも、TPU製のシャンクプレートを挿入することで、地面からの突き上げを防ぎます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.352	0		""				"メシ-タ WP Women's ( 品番 #1829654 )"
"カクタスGV ( 品番 #1829781 )"	0	""	1	"日本"	"日本"	1	1974.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ゴアテックスを採用したミッドカットのウォーキング/ライトハイクモデル。柔らかなアッパーでふだん使いにも。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.39	0		""				"カクタスGV ( 品番 #1829781 )"
"イグアナGV ( 品番 #1829782 )"	0	""	1	"日本"	"日本"	1	1974.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ゴアテックスを採用したミッドカットのウォーキング/ライトハイクモデル。柔らかなアッパーでふだん使いにも。女性モデル。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.35	0		""				"イグアナGV ( 品番 #1829782 )"
"GORE-TEX ラップランドブーツ Men's ( 品番 #1129272 )"	0	""	1	"日本"	"日本"	1	1274.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"日帰りハイクから富士登山まで幅広く対応するミドルカットの全天候型ブーツです。足入れ部分のマチは、水や泥が入り込みにくいよう高めに設定しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.49	0		""				"GORE-TEX ラップランドブーツ Men's ( 品番 #1129272 )"
"GORE-TEX ラップランドブーツ Women's ( 品番 #1129273 )"	0	""	1	"日本"	"日本"	1	1248.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"日帰りハイクから富士登山まで幅広く対応するミドルカットの全天候型ブーツです。足入れ部分のマチは、水や泥が入り込みにくいよう高めに設定しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.42	0		""				"GORE-TEX ラップランドブーツ Women's ( 品番 #1129273 )"
"GORE-TEX マリポサトレール Men's ( 品番 #1129303 )"	0	""	1	"日本"	"日本"	1	1590.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ハイキングから軽装備でのトレッキングまで対応する全天候型のミドルカットブーツです。柔らかなはき心地ながら、ボトムに挿入した2枚のシャンクプレートがシューズの剛性を高めてねじれを抑え、ガレ場などでの岩や石からの突き上げも和らげます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.53	0		""				"GORE-TEX マリポサトレール Men's ( 品番 #1129303 )"
"GORE-TEX マリポサトレール Women's ( 品番 #1129304 )"	0	""	1	"日本"	"日本"	1	1564.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ハイキングから軽装備でのトレッキングまで対応する全天候型のミドルカットブーツです。柔らかなはき心地ながら、ボトムに挿入した2枚のシャンクプレートがシューズの剛性を高めてねじれを抑え、ガレ場などでの岩や石からの突き上げも和らげます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.49	0		""				"GORE-TEX マリポサトレール Women's ( 品番 #1129304 )"
"クラッグステッパー Men's ( 品番 #1129331 )"	0	""	1	"日本"	"日本"	1	1158.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"レザーを使用することで優れた耐久性を備え、岩場へのアプローチやハイキング、自然散策からキャンプまで、幅広い場面でマルチに活躍する全天候型シューズです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.472	0		""				"クラッグステッパー Men's ( 品番 #1129331 )"
