﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"シバ Men's ( 品番 #1829783 )"	0	""	1	"日本"	"日本"	1	1570.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ビブラム社と共同開発したオリジナルソールを採用したローカットのウォーキング/ライトハイクモデル。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.36	0		""				"シバ Men's ( 品番 #1829783 )"
"シバ Women's ( 品番 #1829784 )"	0	""	1	"日本"	"日本"	1	1570.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ビブラム社と共同開発したオリジナルソールを採用したローカットのウォーキング/ライトハイクモデル。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.308	0		""				"シバ Women's ( 品番 #1829784 )"
"スターレット Women's ( 品番 #1829785 )"	0	""	1	"日本"	"日本"	1	1660.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"タウンユースや旅行など、マルチに使える大変軽量で柔らかな履き心地のトラベルシューズです。人の足の形を忠実に再現した独自のラストを使用して成形された「ナチュラルシェイプ」を採用し、抜群のフィット感と快適性を実現しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.28	0		""				"スターレット Women's ( 品番 #1829785 )"
"カリバー Men's ( 品番 #1829786 )"	0	""	1	"日本"	"日本"	1	1660.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"タウンユースや旅行など、マルチに使える大変軽量で柔らかな履き心地のトラベルシューズです。人の足の形を忠実に再現した独自のラストを使用して成形された「ナチュラルシェイプ」を採用し、抜群のフィット感と快適性を実現しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.325	0		""				"カリバー Men's ( 品番 #1829786 )"
"パームランドジョガー Men's ( 品番 #1129276 )"	0	""	1	"日本"	"日本"	1	846.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高温多湿な環境でも蒸れず、快適に着用できる超軽量ハイキングシューズです。柔らかなはき心地で、足幅の広い方にも無理なく着用していただけます。通気性に優れるドライワッフルフットベッドを採用。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.325	0		""				"パームランドジョガー Men's ( 品番 #1129276 )"
"パームランドジョガー Women's ( 品番 #1129277 )"	0	""	1	"日本"	"日本"	1	821.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高温多湿な環境でも蒸れず、快適に着用できる超軽量ハイキングシューズです。柔らかなはき心地で、足幅の広い方にも無理なく着用していただけます。通気性に優れるドライワッフルフットベッドを採用。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.285	0		""				"パームランドジョガー Women's ( 品番 #1129277 )"
"アーバンクルーザー 300 ( 品番 #1129278 )"	0	""	1	"日本"	"日本"	1	1794.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"トラベルシーンからウォーキングまで、さまざまな場面にマッチする軽量なレザーシューズです。シンプルな表情のプレーン・トゥデザイン。3E対応のセミ・ワイド仕様なので、足幅が広い方にも対応します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.38	0		""				"アーバンクルーザー 300 ( 品番 #1129278 )"
"アーバンクルーザー 500 ( 品番 #1129281 )"	0	""	1	"日本"	"日本"	1	1794.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"トラベルシーンからウォーキングまで、さまざまな場面にマッチする軽量なレザーシューズです。アッパー部分のステッチが特徴的なチロリアンタイプ。3E対応のセミ・ワイド仕様なので、足幅が広い方にも対応します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.37	0		""				"アーバンクルーザー 500 ( 品番 #1129281 )"
"ランブラーシューズ ( 品番 #1129224 )"	0	""	1	"日本"	"日本"	1	1350.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"かかと部分に内蔵されたクッションパッドにより、長く歩いてもひざに負担をかけにくい、快適なアウトドア・ウォーキングシューズです。すっきりしたデザインでジャケットスタイルやカジュアルな装いにもマッチします。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.41	0		""				"ランブラーシューズ ( 品番 #1129224 )"
