﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"パンタナルブーツ ショート Men's ( 品番 #1132107 )"	0	""	1	"日本"	"日本"	1	593.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"雨の日のタウンユースからフィッシングやガーデニング・農作業に至るまで幅広く使えるショート丈のラバーブーツです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.698	0		""				"パンタナルブーツ ショート Men's ( 品番 #1132107 )"
"パンタナルブーツ ショート Women's ( 品番 #1132108 )"	0	""	1	"日本"	"日本"	1	566.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"雨の日のタウンユースからフィッシングやガーデニング・農作業に至るまで幅広く使えるショート丈のラバーブーツです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.539	0		""				"パンタナルブーツ ショート Women's ( 品番 #1132108 )"
"パンタナルブーツ Men's ( 品番 #1129252 )"	0	""	1	"日本"	"日本"	1	684.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"雨の日のタウンユースからフィッシングやガーデニング・農作業に至るまで幅広く使えるラバーブーツです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.89	0		""				"パンタナルブーツ Men's ( 品番 #1129252 )"
"パンタナルブーツ Women's ( 品番 #1129253 )"	0	""	1	"日本"	"日本"	1	650.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"雨の日のタウンユースからフィッシングやガーデニング・農作業に至るまで幅広く使えるラバーブーツです。スリムですっきりとしたデザインです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.75	0		""				"パンタナルブーツ Women's ( 品番 #1129253 )"
"パウダーブーツ ( 品番 #1129285 )"	0	""	1	"日本"	"日本"	1	667.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"積雪地域への旅行や雪上での作業に適したウインターブーツです。薄くても高い保温力を発揮するシンサレートを封入し、裏地にはフリース素材、ボトムに断熱性に優れたE.V.A.を採用するなど、暖かな履き心地を追求しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.77	0		""				"パウダーブーツ ( 品番 #1129285 )"
"パンタナルブーツ Kid's ( 品番 #1129254 )"	0	""	1	"日本"	"日本"	1	248.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"雨の日のお出掛けや雪遊びに最適なレインブーツです。持ち運びに便利で履かせやすいハンドルループを備え、見た目にもかわいらしくなっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.4	0		""				"パンタナルブーツ Kid's ( 品番 #1129254 )"
"パウダーブーツ Kid's ( 品番 #1129291 )"	0	""	1	"日本"	"日本"	1	334.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"雪遊びに最適な、軽くて暖かいウインターブーツです。ラバー製のボトム部分が雪や水をシャットアウトし、また開口部のドローコードを絞ることで、上部からの雪の侵入も防ぎます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.36	0		""				"パウダーブーツ Kid's ( 品番 #1129291 )"
"パウダーブーツ Baby's ( 品番 #1129292 )"	0	""	1	"日本"	"日本"	1	291.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"雪遊びに最適な、軽くて暖かいウインターブーツです。ラバー製のボトム部分が雪や水をシャットアウトし、また開口部のドローコードを絞ることで、上部からの雪の侵入も防ぎます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.22	0		""				"パウダーブーツ Baby's ( 品番 #1129292 )"
"パンタナルブーツ Baby's ( 品番 #1129293 )"	0	""	1	"日本"	"日本"	1	197.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"雨の日のお出掛けや雪遊びに最適なレインブーツです。持ち運びに便利で履かせやすいハンドルループを備え、見た目にもかわいらしくなっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.21	0		""				"パンタナルブーツ Baby's ( 品番 #1129293 )"
