﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"GORE-TEX アルパインスパッツ ( 品番 #1129427 )"	0	""	1	"日本"	"日本"	1	503.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"アイゼンの装着を考慮し、エッジガードによって高い強度を持たせたスパッツです。グローブ装着時にも着脱しやすいフロント・オープン仕様。ジッパーには上下どちらからも開閉可能。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.282	0		""				"GORE-TEX アルパインスパッツ ( 品番 #1129427 )"
"GORE-TEX アルパインスパッツ イージーフィット ( 品番 #1129435 )"	0	""	1	"日本"	"日本"	1	431.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"アイゼンの装着を考慮し、エッジガードによって高い強度を持たせたスパッツです。ベルクロ留めのシンプルな構造で容易な着脱が可能です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.227	0		""				"GORE-TEX アルパインスパッツ イージーフィット ( 品番 #1129435 )"
"GORE-TEX ロングスパッツ ( 品番 #1129428 )"	0	""	1	"日本"	"日本"	1	485.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"前面にアクアテクトジッパーを用いた、着脱しやすいフロント・オープン仕様のスパッツ。フラップが不要なため、軽量性に優れています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.225	0		""				"GORE-TEX ロングスパッツ ( 品番 #1129428 )"
"GORE-TEX ライトスパッツ ロング ( 品番 #1129429 )"	0	""	1	"日本"	"日本"	1	395.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コンパクトで装着も容易な軽量スパッツです。積雪期から夏山までさまざまな山行に幅広く使用できるひざ下丈モデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.144	0		""				"GORE-TEX ライトスパッツ ロング ( 品番 #1129429 )"
"GORE-TEX ライトスパッツ セミロング ( 品番 #1129430 )"	0	""	1	"日本"	"日本"	1	350.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コンパクトで装着も容易な軽量スパッツです。低山ハイクから縦走まで気軽に携行できるセミロング丈モデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.129	0		""				"GORE-TEX ライトスパッツ セミロング ( 品番 #1129430 )"
"GORE-TEX ライトスパッツ ショート ( 品番 #1129431 )"	0	""	1	"日本"	"日本"	1	306.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コンパクトで装着も容易な軽量スパッツです。携行性に優れたショート丈のモデル。濡れた草原などを歩くのに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.104	0		""				"GORE-TEX ライトスパッツ ショート ( 品番 #1129431 )"
"セミロングスパッツ ( 品番 #1129432 )"	0	""	1	"日本"	"日本"	1	270.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"セミロング丈のハイキングから縦走まで3シーズンに対応するスパッツです。ファスナーフラップに芯を入れることでずり下がりからくる不快感を軽減しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.129	0		""				"セミロングスパッツ ( 品番 #1129432 )"
"ショートスパッツ ( 品番 #1129433 )"	0	""	1	"日本"	"日本"	1	234.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ショート丈の小石や雪が入りやすいガレ場や雪渓の備えに最適なスパッツです。ファスナーフラップに芯を入れることでずり下がりからくる不快感を軽減しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.106	0		""				"ショートスパッツ ( 品番 #1129433 )"
"ストレッチ ショートスパッツ ( 品番 #1129434 )"	0	""	1	"日本"	"日本"	1	306.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"優れたストレッチ性と通気性を備えたスパッツです。ローカットやミドルカットのシューズと相性がよく、ソールがフラットなシューズを着用しているときでも違和感なく装着できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.064	0		""				"ストレッチ ショートスパッツ ( 品番 #1129434 )"
