﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ブーツクリーナー ( 品番 #1824523 )"	0	""	1	"日本"	"日本"	1	90.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"生分解しやすく自然にやさしいクリーナー。フットウエアを洗うのに最適です。撥水処理をする前に使用すると効果的です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ブーツクリーナー ( 品番 #1824523 )"
"ヌバック&ファブリック WPスプレー ( 品番 #1824524 )"	0	""	1	"日本"	"日本"	1	90.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"生分解しやすく自然にやさしい撥水剤。一般的なレザーシューズから防水透湿性素材を使用したファブリック製ブーツまで対応するラインアップです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ヌバック&ファブリック WPスプレー ( 品番 #1824524 )"
"レザーウォータープルーフジェル ( 品番 #1824526 )"	0	""	1	"日本"	"日本"	1	90.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"生分解しやすく自然にやさしい撥水剤。一般的なレザーシューズから防水透湿性素材を使用したファブリック製ブーツまで対応するラインアップです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"レザーウォータープルーフジェル ( 品番 #1824526 )"
"レザースプレー 4 OZ ( 品番 #1824505 )"	0	""	1	"日本"	"日本"	1	86.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"フルグレイン・レザー専用の耐久性のある撥水スプレーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"レザースプレー 4 OZ ( 品番 #1824505 )"
"レザーブーツ ケアキット ( 品番 #1824527 )"	0	""	1	"日本"	"日本"	1	207.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"革靴を新品同様に保つために必要なケア用品が全て入っています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"レザーブーツ ケアキット ( 品番 #1824527 )"
"ヌバック・スエードブーツ ケアキット ( 品番 #1824528 )"	0	""	1	"日本"	"日本"	1	207.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ヌバック・スエード・ファブリックを併用した靴を新品同様に保つために必要なケア用品が全て入っています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ヌバック・スエードブーツ ケアキット ( 品番 #1824528 )"
"S.R.レザーシューズスプレー ( 品番 #1124019 )"	0	""	1	"日本"	"日本"	1	129.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"防汚性に優れた皮革製アウトドア・シューズ用の撥水スプレーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"S.R.レザーシューズスプレー ( 品番 #1124019 )"
"S.R.スプレー170ml ( 品番 #1124026 )"	0	""	1	"日本"	"日本"	1	78.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"水だけでなく油も弾くため防汚性にも優れた撥水・撥油スプレーです。テントやタープ、フットウェア、レインウェアから綿・ウール製品まで幅広く使用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"S.R.スプレー170ml ( 品番 #1124026 )"
"S.R.スプレー330ml ( 品番 #1124027 )"	0	""	1	"日本"	"日本"	1	112.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"水だけでなく油も弾くため防汚性にも優れた撥水・撥油スプレーです。テントやタープ、フットウェア、レインウェアから綿・ウール製品まで幅広く使用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"S.R.スプレー330ml ( 品番 #1124027 )"
"リールアジャストシステム リペアワイヤー1.0mm ( 品番 #1129117 )"	0	""	1	"日本"	"日本"	1	69.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"リールアジャストシステムを採用したシューズ専用の交換用ワイヤーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"リールアジャストシステム リペアワイヤー1.0mm ( 品番 #1129117 )"
"リールアジャストシステム リペアワイヤー0.85mm ( 品番 #1129118 )"	0	""	1	"日本"	"日本"	1	69.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"リールアジャストシステムを採用したシューズ専用の交換用ワイヤーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"リールアジャストシステム リペアワイヤー0.85mm ( 品番 #1129118 )"
"リールアジャストシステム ドライバー ( 品番 #1129119 )"	0	""	1	"日本"	"日本"	1	18.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"「リールアジャストシステムリペアワイヤー」を取り付ける際に使用する専用ドライバーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"リールアジャストシステム ドライバー ( 品番 #1129119 )"
"ドライワッフルフットベッド ( 品番 #1129147 )"	0	""	1	"日本"	"日本"	1	120.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"クッション性の高いE.V.A.を格子状に成型した立体メッシュ構造の中敷き。疲労を軽減するとともに、足裏の温度上昇を抑え、靴内部の蒸れを防止します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.03	0		""				"ドライワッフルフットベッド ( 品番 #1129147 )"
