﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"トレッキングパック 55 ( 品番 #1223355 )"	0	""	1	"日本"	"日本"	1	2225.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"独自のフレーム構造に加えて、バックパネルに「クイックアジャストシステム」を搭載することで、素早いフィッテングと抜群の安定感を実現したモデルです。大容量ポケットや取り外してアタックザックとしても単体利用できるトップリッドを備えるなど、機能性も充実。2、3泊程度のテント泊山行に適した容量です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		2.18	0		""				"トレッキングパック 55 ( 品番 #1223355 )"
"トレッキングパック 50 Women's ( 品番 #1223356 )"	0	""	1	"日本"	"日本"	1	2198.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"独自のフレーム構造に加えて、バックパネルに「クイックアジャストシステム」を搭載することで、素早いフィッテングと抜群の安定感を実現した女性用モデルです。大容量ポケットや取り外してアタックザックとしても単体利用できるトップリッドを備えるなど、機能性も充実。2、3泊程度のテント泊山行に適した容量です"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		2.13	0		""				"トレッキングパック 50 Women's ( 品番 #1223356 )"
"トレッキングパック 80 ( 品番 #1223357 )"	0	""	1	"日本"	"日本"	1	2333.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"独自のフレーム構造に加えて、バックパネルに「クイックアジャストシステム」を搭載することで、素早いフィッテングと抜群の安定感を実現したモデルです。大容量ポケットや取り外してアタックザックとしても単体利用できるトップリッドを備えるなど、機能性も充実。エクスペディションにも対応する容量です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		2.32	0		""				"トレッキングパック 80 ( 品番 #1223357 )"
"トレッキングパック 70 Women's ( 品番 #1223358 )"	0	""	1	"日本"	"日本"	1	2288.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"独自のフレーム構造に加えて、バックパネルに「クイックアジャストシステム」を搭載することで、素早いフィッテングと抜群の安定感を実現した女性用モデルです。大容量ポケットや取り外してアタックザックとしても単体利用できるトップリッドを備えるなど、機能性も充実。エクスペディションにも対応する容量です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		2.27	0		""				"トレッキングパック 70 Women's ( 品番 #1223358 )"
"アルパインパック50 ( 品番 #1223323 )"	0	""	1	"日本"	"日本"	1	1265.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"2、3泊程度のテント山行を想定した容量のパックです。スリムなシルエットなので狭い山道でもスムーズな歩行が可能。理想的な重量配分で優れた安定性を誇ります。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.62	0		""				"アルパインパック50 ( 品番 #1223323 )"
"アルパインパック50 ショート ( 品番 #1223324 )"	0	""	1	"日本"	"日本"	1	1265.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"2、3泊程度のテント山行を想定した容量のパックです。スリムなシルエットなので狭い山道でもスムーズな歩行が可能。理想的な重量配分で優れた安定性を誇ります。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.58	0		""				"アルパインパック50 ショート ( 品番 #1223324 )"
"アルパインパック60 ( 品番 #1223325 )"	0	""	1	"日本"	"日本"	1	1342.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"2、3泊程度のテント山行を想定した容量のパックです。スリムなシルエットなので狭い山道でもスムーズな歩行が可能。理想的な重量配分で優れた安定性を誇ります。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.65	0		""				"アルパインパック60 ( 品番 #1223325 )"
"アルパインパック60 ショート ( 品番 #1223326 )"	0	""	1	"日本"	"日本"	1	1342.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"2、3泊程度のテント山行を想定した容量のパックです。スリムなシルエットなので狭い山道でもスムーズな歩行が可能。理想的な重量配分で優れた安定性を誇ります。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.6	0		""				"アルパインパック60 ショート ( 品番 #1223326 )"
"エクスペディションパック70 ( 品番 #1223327 )"	0	""	1	"日本"	"日本"	1	1453.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"海外遠征、長期縦走などさまざまなエクスペディションに使用できるパックです。絶妙な重量バランスにより抜群の安定感を実現。大きく開くサイドアクセスジッパーを設け、荷物の出し入れが容易です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.77	0		""				"エクスペディションパック70 ( 品番 #1223327 )"
"スーパーエクスペディションパック90 ( 品番 #1223329 )"	0	""	1	"日本"	"日本"	1	1624.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高さを抑えた絶妙な重量バランスで大容量を感じさせない安定感のある背負い心地を実現しています。独自構造のフレームの採用や素材を厳選することで大型パックとして画期的な超軽量を達成。フロントパネルがU字に大きく開くため、荷物の出し入れが大変しやすくなっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.97	0		""				"スーパーエクスペディションパック90 ( 品番 #1223329 )"
"スーパーエクスペディションパック110 ( 品番 #1223330 )"	0	""	1	"日本"	"日本"	1	1709.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高さを抑えた絶妙な重量バランスで大容量を感じさせない安定感のある背負い心地を実現しています。独自構造のフレームの採用や素材を厳選することで大型パックとして画期的な超軽量を達成。フロントパネルがU字に大きく開くため、荷物の出し入れが大変しやすくなっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		2.02	0		""				"スーパーエクスペディションパック110 ( 品番 #1223330 )"
"メッシュギアコンテナ 50 ( 品番 #1123323 )"	0	""	1	"日本"	"日本"	1	453.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"手提げのときはジッパー式出し入れ口、バックパックのときはドローコードとSRバックルつき出し入れ口を使い分けられます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.68	0		""				"メッシュギアコンテナ 50 ( 品番 #1123323 )"
"スーパーウィッシュボーン ダブルフレーム ショルダーハーネス100&120用 ( 品番 #1223425 )"	0	""	1	"日本"	"日本"	1	300.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ショルダーのみのサイズを交換したい時などに便利な、取替用のパーツです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"スーパーウィッシュボーン ダブルフレーム ショルダーハーネス100&120用 ( 品番 #1223425 )"
