﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"キトラパック 40 ( 品番 #1223367 )"	0	""	1	"日本"	"日本"	1	1615.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"2気室仕様でありながら、隔壁を取り外すことで1気室パックとしても使用できるモデルです。大きく開くボトムジッパーや、簡単な操作で素早く背面長を調節できるシステムを採用。快適な背負い心地も追求しています。フロント部分にはアクアテクトジッパーを採用した大容量ポケット付き。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.67	0		""				"キトラパック 40 ( 品番 #1223367 )"
"チャチャパック 40 Women's ( 品番 #1223364 )"	0	""	1	"日本"	"日本"	1	1310.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"フィールドで求められる俊敏性と快適性を向上するための機能を多く備えた女性用モデルです。トップリッドを開かなくても荷室にアクセスできるサイドジッパーや、携行着を挟めるコンプレッション・ポケット、取り外してウエストバッグとして単体利用もできるトップリッドを搭載しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.52	0		""				"チャチャパック 40 Women's ( 品番 #1223364 )"
"グラナイトパック 40 ( 品番 #1223349 )"	0	""	1	"日本"	"日本"	1	923.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"狭く険しい山道でもスムーズな歩行を可能にするため、シンプルなデザインと細めのシルエットを採用した1気室タイプのモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.25	0		""				"グラナイトパック 40 ( 品番 #1223349 )"
"バランスライト40 ( 品番 #1223309 )"	0	""	1	"日本"	"日本"	1	812.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"シンプルなフォルムと軽量化されたボディで、使い勝手がよく汎用性の高い1気室の軽量パックです。背面のパッドを取り外せばサブザックとしても使用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.01	0		""				"バランスライト40 ( 品番 #1223309 )"
"バーサライトパック40 ( 品番 #1223333 )"	0	""	1	"日本"	"日本"	1	923.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"徹底的に軽量化を追求したウルトラライトモデル。超軽量でスピードハイクのようなハイペースな登山を目指す方だけでなく、荷物を軽くして体への負担を軽減したい方の使用にも適しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.05	0		""				"バーサライトパック40 ( 品番 #1223333 )"
"チャチャパック 45 ( 品番 #1223363 )"	0	""	1	"日本"	"日本"	1	1328.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"フィールドで求められる俊敏性と快適性を向上するための機能を多く備えたモデルです。トップリッドを開かなくても荷室にアクセスできるサイドジッパーや、携行着を挟めるコンプレッション・ポケット、取り外してウエストバッグとして単体利用もできるトップリッドを搭載しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.6	0		""				"チャチャパック 45 ( 品番 #1223363 )"
"ランドナーパック 40 ( 品番 #1223352 )"	0	""	1	"日本"	"日本"	1	1368.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"スキー板やスノーボード、スノーシューのバックカントリーツアーに必要なギアや装備を機能的に携行できるパックです。ツェルトや救急セットなどの団体装備の収納に対応する容量を備えながら、ライディング時のバランスも考慮したシルエットに仕上げています。ゴーグルなどを機能的に収納できるポケットを備えたトップリッドは荷物の量に応じて高さ調整が可能です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.56	0		""				"ランドナーパック 40 ( 品番 #1223352 )"
"フォトウォーカーパック 35 ( 品番 #1123846 )"	0	""	1	"日本"	"日本"	1	1328.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"素早く出し入れしたいカメラ機材と、汚れやすいトレッキングアイテムを分けて収納できる2気室仕様の軽量パックです。小屋泊まりにも対応するサイズです。パックカバー付き。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.3	0		""				"フォトウォーカーパック 35 ( 品番 #1123846 )"
"チャチャパック 35 ( 品番 #1223361 )"	0	""	1	"日本"	"日本"	1	1301.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"フィールドで求められる俊敏性と快適性を向上するための機能を多く備えたモデルです。トップリッドを開かなくても荷室にアクセスできるサイドジッパーや、携行着を挟めるコンプレッション・ポケット、取り外してウエストバッグとして単体利用もできるトップリッドを搭載しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.51	0		""				"チャチャパック 35 ( 品番 #1223361 )"
