﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"フレンチガイドパック17 ( 品番 #1123809 )"	0	""	1	"日本"	"日本"	1	942.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"本体には耐摩耗性に優れる生地を使用し、ストラップやボトムにはナチュラルな風合いの天然皮革を採用。アクセスしやすいサイドアクセスジッパーを装備。背面はパッド入りで荷物が背中に当たる不快感を解消しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.669	0		""				"フレンチガイドパック17 ( 品番 #1123809 )"
"フレンチガイドパック25 ( 品番 #1123810 )"	0	""	1	"日本"	"日本"	1	1005.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"本体には耐摩耗性に優れる生地を使用し、ストラップやボトムにはナチュラルな風合いの天然皮革を採用。アクセスしやすいサイドアクセスジッパーを装備。背面はパッド入りで荷物が背中に当たる不快感を解消しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.795	0		""				"フレンチガイドパック25 ( 品番 #1123810 )"
"フォトウォーカーパック 25 ( 品番 #1123845 )"	0	""	1	"日本"	"日本"	1	1041.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"素早く出し入れしたいカメラ機材と、汚れやすいトレッキングアイテムを分けて収納できる2気室仕様の軽量パックです。日帰りの行程に適したサイズです。パックカバー付き。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.89	0		""				"フォトウォーカーパック 25 ( 品番 #1123845 )"
"フラットアイアンパック 20 ( 品番 #1123738 )"	0	""	1	"日本"	"日本"	1	650.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で機能性に優れ、日帰り登山からスピードハイクまで幅広く対応するパックです。本体には車のライトなどに反射して光るロゴを付けています。ストックホルダー付き。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.53	0		""				"フラットアイアンパック 20 ( 品番 #1123738 )"
"フラットアイアンパック 25 ( 品番 #1123739 )"	0	""	1	"日本"	"日本"	1	675.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で機能性に優れ、日帰り登山からスピードハイクまで幅広く対応するパックです。本体には車のライトなどに反射して光るロゴを付けています。ストックホルダー付き。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.56	0		""				"フラットアイアンパック 25 ( 品番 #1123739 )"
"ハイキングパック 23 ( 品番 #1123348 )"	0	""	1	"日本"	"日本"	1	530.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"シンプルな形状で機能性に優れた1気室構造のデイパックです。トレッキングポールホルダーや小物ポケットなど、ハイキングに便利な機能を多数搭載。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.75	0		""				"ハイキングパック 23 ( 品番 #1123348 )"
"ベルニナ パック 5 ( 品番 #1123753 )"	0	""	1	"日本"	"日本"	1	411.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コンパクトなサイズで日常使いしやすいデイパックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.269	0		""				"ベルニナ パック 5 ( 品番 #1123753 )"
"ベルニナ パック 10 ( 品番 #1123754 )"	0	""	1	"日本"	"日本"	1	453.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コンパクトなサイズで日常使いしやすいデイパックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.314	0		""				"ベルニナ パック 10 ( 品番 #1123754 )"
"ベルニナ パック 15 ( 品番 #1123755 )"	0	""	1	"日本"	"日本"	1	496.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コンパクトなサイズで日常使いしやすいデイパックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.368	0		""				"ベルニナ パック 15 ( 品番 #1123755 )"
