﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"キッズフィールドパック 18 ( 品番 #1123861 )"	0	""	1	"日本"	"日本"	1	386.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"元気なカラーリングとデザインでお出掛けが楽しくなるデイパックシリーズです。軽くて背負いやすく、収納力にも優れています。フロントとショルダーハーネスには夜間の視認性を高める反射テープ付き。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.324	0		""				"キッズフィールドパック 18 ( 品番 #1123861 )"
"ジャストフィット パックカバー 40 ワイド ( 品番 #1128527 )"	0	""	1	"日本"	"日本"	1	256.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"独自のジャストフィットシステムで荷物の量によって、変化するパックの形状にぴったりとフィットする超軽量パックカバーです。強風時のばたつきを最小限に抑えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.118	0		""				"ジャストフィット パックカバー 40 ワイド ( 品番 #1128527 )"
"ジャストフィット パックカバー 60 ワイド ( 品番 #1128528 )"	0	""	1	"日本"	"日本"	1	292.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"独自のジャストフィットシステムで荷物の量によって、変化するパックの形状にぴったりとフィットする超軽量パックカバーです。強風時のばたつきを最小限に抑えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.171	0		""				"ジャストフィット パックカバー 60 ワイド ( 品番 #1128528 )"
"グラナイト パック Kid's 10 ( 品番 #1223371 )"	0	""	1	"日本"	"日本"	1	359.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"大人用グラナイトパックのデザインと機能を受け継いだ本格仕様の子ども用パックです。小学校低学年までの使用に適したサイズです。メイン荷室への開口部が逆U字型に開くジッパー仕様。ハイドレーション・システムにも対応しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.39	0		""				"グラナイト パック Kid's 10 ( 品番 #1223371 )"
"グラナイト パック Kid's 20 ( 品番 #1223372 )"	0	""	1	"日本"	"日本"	1	458.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"大人用グラナイトパックのデザインと機能を受け継いだ本格仕様の子ども用パックです。小学校中学年から高学年の子どもに最適なサイズです操作のしやすいコードロック付きドローコード開閉式で、ハイドレーション・システムにも対応しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.54	0		""				"グラナイト パック Kid's 20 ( 品番 #1223372 )"
"トレイルブレイザー ( 品番 #1821332 )"	0	""	1	"日本"	"日本"	1	808.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"日帰りハイキングに適したキッズ用ハイドレーション・パックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.42	0		""				"トレイルブレイザー ( 品番 #1821332 )"
"キッズフィールドパック 6 ( 品番 #1123700 )"	0	""	1	"日本"	"日本"	1	274.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"元気なカラーリングとデザインでお出掛けが楽しくなるデイパックシリーズです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.19	0		""				"キッズフィールドパック 6 ( 品番 #1123700 )"
"キッズフィールドパック 8 ( 品番 #1123701 )"	0	""	1	"日本"	"日本"	1	300.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"元気なカラーリングとデザインでお出掛けが楽しくなるデイパックシリーズです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.2	0		""				"キッズフィールドパック 8 ( 品番 #1123701 )"
"キッズフィールドパック 13 ( 品番 #1123702 )"	0	""	1	"日本"	"日本"	1	359.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"元気なカラーリングとデザインでお出掛けが楽しくなるデイパックシリーズです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.26	0		""				"キッズフィールドパック 13 ( 品番 #1123702 )"
"ゲッコウパック Kid's 15 ( 品番 #1123781 )"	0	""	1	"日本"	"日本"	1	419.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"前面に車のライトなどを反射して光る大きなテープを付け、ショルダーハーネスには防犯ベルが留められるフックを設けるなど、安全面にこだわったキッズパックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.379	0		""				"ゲッコウパック Kid's 15 ( 品番 #1123781 )"
"ツインポケットパック 10 ( 品番 #1123696 )"	0	""	1	"日本"	"日本"	1	342.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"荷物を整理して収納するのに便利な2つの大きなポケットが特徴のパックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.31	0		""				"ツインポケットパック 10 ( 品番 #1123696 )"
"ツインポケットパック 20 ( 品番 #1123697 )"	0	""	1	"日本"	"日本"	1	385.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"荷物を整理して収納するのに便利な2つの大きなポケットが特徴のパックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.36	0		""				"ツインポケットパック 20 ( 品番 #1123697 )"
"トリプルポケットパック 30 ( 品番 #1123698 )"	0	""	1	"日本"	"日本"	1	496.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"（一財）ボーイスカウト日本連盟・（公社）ガールスカウト日本連盟と共同開発した、林間学校や修学旅行に最適な容量を持つバックパックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.67	0		""				"トリプルポケットパック 30 ( 品番 #1123698 )"
"トリプルポケットパック 40 ( 品番 #1123699 )"	0	""	1	"日本"	"日本"	1	573.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"（一財）ボーイスカウト日本連盟・（公社）ガールスカウト日本連盟と共同開発した、林間学校や修学旅行に最適な容量を持つバックパックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.78	0		""				"トリプルポケットパック 40 ( 品番 #1123699 )"
"トリプルポケットパック 45-60 ( 品番 #1123735 )"	0	""	1	"日本"	"日本"	1	675.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"（一財）ボーイスカウト日本連盟・（公社）ガールスカウト日本連盟と共同開発した、子ども用大容量パックです。サイドのジッパーを開閉するだけで、45Lから60Lに容量の調節が行える可変サイズ仕様です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.01	0		""				"トリプルポケットパック 45-60 ( 品番 #1123735 )"
"トライパック Kid's ( 品番 #1123408 )"	0	""	1	"日本"	"日本"	1	513.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"（財）ボーイスカウト日本連盟・（社）ガールスカウト日本連盟と共同開発したパックです。日帰りの野外活動に必要なものは全て入れられる容量に設定。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.695	0		""				"トライパック Kid's ( 品番 #1123408 )"
"スカウト ( 品番 #1821269 )"	0	""	1	"日本"	"日本"	1	673.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"子ども専用のハイドレーションパック。ハンズフリーで簡単に水分補給ができるので行動中も安全です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.46	0		""				"スカウト ( 品番 #1821269 )"
