﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"フォーティナー24 ( 品番 #1821323 )"	0	""	1	"日本"	"日本"	1	1346.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"日帰りトレッキングに適した容量のモデルです。通気性がよく快適なNVバックパネルを採用しています。ウエアを挟める大型のものから、小物用まで各所に多くのポケットを備え、収納力抜群。トレッキング時に使いたいものにアクセスしやすいパックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.12	0		""				"フォーティナー24 ( 品番 #1821323 )"
"フォーティナー20 ( 品番 #1821324 )"	0	""	1	"日本"	"日本"	1	1122.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"日帰りトレッキングに適したパックです。コンパクトながら収納性もよく、使いやすい機能を備えています。NVバックパネルを搭載し、背負い心地も快適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.98	0		""				"フォーティナー20 ( 品番 #1821324 )"
"アヴェンチュラ22 ( 品番 #1821325 )"	0	""	1	"日本"	"日本"	1	1346.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"快適なNVバックパネルを搭載した、女性専用設計の日帰りトレッキングモデルです。フィット感に優れる女性専用のハーネスやヒップベルトを採用。ポケット数も多く、収納力もたっぷりです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.06	0		""				"アヴェンチュラ22 ( 品番 #1821325 )"
"アヴェンチュラ 18 ( 品番 #1821326 )"	0	""	1	"日本"	"日本"	1	1122.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"快適なNVバックパネルを搭載した女性向けパックです。コンパクトながら収納性にも配慮し、使いやすい機能を備えています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.91	0		""				"アヴェンチュラ 18 ( 品番 #1821326 )"
"エリート 18 ( 品番 #1821327 )"	0	""	1	"日本"	"日本"	1	718.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"アタックザックに適したサイズのモデルです。パック本体を裏返すと、中にあるリザーバーのスリーブ（ケース）として使用できます。普段はリザーバーケースとして、ときにサブザックとして使うことができる非常に軽量なパックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.28	0		""				"エリート 18 ( 品番 #1821327 )"
"リムランナー 22 ( 品番 #1821328 )"	0	""	1	"日本"	"日本"	1	897.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"日帰りハイキングに十分な量の荷物と水を装備できるモデルです。フロントパネルのループにカラビナなどを取り付けて使えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.73	0		""				"リムランナー 22 ( 品番 #1821328 )"
"クラウドウォーカー 18 ( 品番 #1821329 )"	0	""	1	"日本"	"日本"	1	763.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"さっと背負ってフィールドへ出かけられる、必要十分な容量と機能を備えた軽量モデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.58	0		""				"クラウドウォーカー 18 ( 品番 #1821329 )"
"ヘレナ 22 ( 品番 #1821330 )"	0	""	1	"日本"	"日本"	1	897.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"日帰りハイキングに十分な量の荷物と水を装備できるモデルです。女性専用のデザインにより背負い心地も快適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.69	0		""				"ヘレナ 22 ( 品番 #1821330 )"
"デイスター 18 ( 品番 #1821331 )"	0	""	1	"日本"	"日本"	1	763.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"日帰りハイキングに必要十分な水と荷物を入れることができるモデルです。女性専用設計で、シンプルなデザインです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.51	0		""				"デイスター 18 ( 品番 #1821331 )"
