﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ジャストフィット パックカバー 20 ( 品番 #1128517 )"	0	""	1	"日本"	"日本"	1	171.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"独自のジャストフィットシステムで荷物の量によって、変化するパックの形状にぴったりとフィットする超軽量パックカバーです。強風時のばたつきを最小限に抑えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.08	0		""				"ジャストフィット パックカバー 20 ( 品番 #1128517 )"
"ジャストフィット パックカバー 25 ( 品番 #1128518 )"	0	""	1	"日本"	"日本"	1	193.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"独自のジャストフィットシステムで荷物の量によって、変化するパックの形状にぴったりとフィットする超軽量パックカバーです。強風時のばたつきを最小限に抑えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.088	0		""				"ジャストフィット パックカバー 25 ( 品番 #1128518 )"
"ジャストフィット パックカバー 30 ( 品番 #1128519 )"	0	""	1	"日本"	"日本"	1	211.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"独自のジャストフィットシステムで荷物の量によって、変化するパックの形状にぴったりとフィットする超軽量パックカバーです。強風時のばたつきを最小限に抑えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.098	0		""				"ジャストフィット パックカバー 30 ( 品番 #1128519 )"
"ジャストフィット パックカバー 35 ( 品番 #1128520 )"	0	""	1	"日本"	"日本"	1	225.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"独自のジャストフィットシステムで荷物の量によって、変化するパックの形状にぴったりとフィットする超軽量パックカバーです。強風時のばたつきを最小限に抑えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.118	0		""				"ジャストフィット パックカバー 35 ( 品番 #1128520 )"
"ジャストフィット パックカバー 40 ( 品番 #1128521 )"	0	""	1	"日本"	"日本"	1	234.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"独自のジャストフィットシステムで荷物の量によって、変化するパックの形状にぴったりとフィットする超軽量パックカバーです。強風時のばたつきを最小限に抑えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.127	0		""				"ジャストフィット パックカバー 40 ( 品番 #1128521 )"
"ジャストフィット パックカバー 50 ( 品番 #1128522 )"	0	""	1	"日本"	"日本"	1	252.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"独自のジャストフィットシステムで荷物の量によって、変化するパックの形状にぴったりとフィットする超軽量パックカバーです。強風時のばたつきを最小限に抑えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.138	0		""				"ジャストフィット パックカバー 50 ( 品番 #1128522 )"
"ジャストフィット パックカバー 60 ( 品番 #1128523 )"	0	""	1	"日本"	"日本"	1	274.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"独自のジャストフィットシステムで荷物の量によって、変化するパックの形状にぴったりとフィットする超軽量パックカバーです。強風時のばたつきを最小限に抑えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.147	0		""				"ジャストフィット パックカバー 60 ( 品番 #1128523 )"
"ジャストフィット パックカバー 70 ( 品番 #1128524 )"	0	""	1	"日本"	"日本"	1	292.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"独自のジャストフィットシステムで荷物の量によって、変化するパックの形状にぴったりとフィットする超軽量パックカバーです。強風時のばたつきを最小限に抑えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.157	0		""				"ジャストフィット パックカバー 70 ( 品番 #1128524 )"
"ジャストフィット パックカバー 90 ( 品番 #1128525 )"	0	""	1	"日本"	"日本"	1	323.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"独自のジャストフィットシステムで荷物の量によって、変化するパックの形状にぴったりとフィットする超軽量パックカバーです。強風時のばたつきを最小限に抑えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.176	0		""				"ジャストフィット パックカバー 90 ( 品番 #1128525 )"
"ジャストフィット パックカバー 110 ( 品番 #1128526 )"	0	""	1	"日本"	"日本"	1	355.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"独自のジャストフィットシステムで荷物の量によって、変化するパックの形状にぴったりとフィットする超軽量パックカバーです。強風時のばたつきを最小限に抑えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.19	0		""				"ジャストフィット パックカバー 110 ( 品番 #1128526 )"
