﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"バーティカル アタッチャブルベルト ( 品番 #1123787 )"	0	""	1	"日本"	"日本"	1	43.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"「アタッチャブルポーチ」をバックパックのショルダーハーネスに取り付ける際に使用するアタッチメントです。ベルクロ留めでスピーディーに着脱できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.01	0		""				"バーティカル アタッチャブルベルト ( 品番 #1123787 )"
"サイドリリース バックル 20mm ( 品番 #1124355 )"	0	""	1	"日本"	"日本"	1	18.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"長さ調整機能を備えたバックルです。破損したバックルと交換して、着脱やフィット感の調節が容易に行えます。2個入り。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"サイドリリース バックル 20mm ( 品番 #1124355 )"
"サイドリリース バックル 25mm ( 品番 #1124356 )"	0	""	1	"日本"	"日本"	1	21.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"長さ調整機能を備えたバックルです。破損したバックルと交換して、着脱やフィット感の調節が容易に行えます。2個入り。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"サイドリリース バックル 25mm ( 品番 #1124356 )"
"サイドリリース バックル 30mm ( 品番 #1124357 )"	0	""	1	"日本"	"日本"	1	29.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"長さ調整機能を備えたバックルです。破損したバックルと交換して、着脱やフィット感の調節が容易に行えます。2個入り。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"サイドリリース バックル 30mm ( 品番 #1124357 )"
"サイドリリース バックル 38mm 両引き ( 品番 #1124358 )"	0	""	1	"日本"	"日本"	1	23.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"長さ調整機能を備えたバックルです。破損したバックルと交換して、着脱やフィット感の調節が容易に行えます。1個入り。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"サイドリリース バックル 38mm 両引き ( 品番 #1124358 )"
"サイドリリース バックル 50mm 両引き ( 品番 #1124359 )"	0	""	1	"日本"	"日本"	1	28.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"長さ調整機能を備えたバックルです。破損したバックルと交換して、着脱やフィット感の調節が容易に行えます。1個入り。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"サイドリリース バックル 50mm 両引き ( 品番 #1124359 )"
"テープアジャスター 20mm ( 品番 #1124360 )"	0	""	1	"日本"	"日本"	1	11.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ウェストポーチやパックのベルト部分の長さを調節する際に使用します。2個入り。テープは別売です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"テープアジャスター 20mm ( 品番 #1124360 )"
"テープアジャスター 25mm ( 品番 #1124361 )"	0	""	1	"日本"	"日本"	1	12.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ウェストポーチやパックのベルト部分の長さを調節する際に使用します。2個入り。テープは別売です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"テープアジャスター 25mm ( 品番 #1124361 )"
"テープアジャスター 30mm ( 品番 #1124362 )"	0	""	1	"日本"	"日本"	1	13.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ウェストポーチやパックのベルト部分の長さを調節する際に使用します。2個入り。テープは別売です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"テープアジャスター 30mm ( 品番 #1124362 )"
