﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ランバーパック 4 ( 品番 #1123723 )"	0	""	1	"日本"	"日本"	1	341.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ウエストバッグとしてはもちろん、ウエストベルトを背面に収納して手提げで、付属のショルダーテープ（取り外し可能）を用いてショルダーバッグとしても使用できる3ウェイ仕様のバッグです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.37	0		""				"ランバーパック 4 ( 品番 #1123723 )"
"トレールランバーパック 4 ( 品番 #1123721 )"	0	""	1	"日本"	"日本"	1	306.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ハイキングやウォーキングにぴったりな、軽量でスポーティーなウエストバッグです。サイドコンプレッション・ベルトをしっかりと引き付ければパックが揺れず、抜群の安定感を発揮します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.29	0		""				"トレールランバーパック 4 ( 品番 #1123721 )"
"ランバーパック レインカバー S ( 品番 #1128529 )"	0	""	1	"日本"	"日本"	1	126.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"「ランバーパック」と「トレールランバーパック」にフィットする、耐久性・防水性に優れたレインカバーです。5Lサイズまでのモデルに対応します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.032	0		""				"ランバーパック レインカバー S ( 品番 #1128529 )"
"トレールランバーパック 7 ( 品番 #1123722 )"	0	""	1	"日本"	"日本"	1	341.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ハイキングやウォーキングにぴったりな、軽量でスポーティーなウエストバッグです。サイドコンプレッション・ベルトをしっかりと引き付ければパックが揺れず、抜群の安定感を発揮します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.32	0		""				"トレールランバーパック 7 ( 品番 #1123722 )"
"ランバーパック 8 ( 品番 #1123724 )"	0	""	1	"日本"	"日本"	1	395.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ウエストバッグとしてはもちろん、ウエストベルトを背面に収納して手提げで、付属のショルダーテープ（取り外し可能）を用いてショルダーバッグとしても使用できる3ウェイ仕様のバッグです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.48	0		""				"ランバーパック 8 ( 品番 #1123724 )"
"ランバーパック レインカバー M ( 品番 #1128530 )"	0	""	1	"日本"	"日本"	1	153.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"「ランバーパック」と「トレールランバーパック」にフィットする、耐久性・防水性に優れたレインカバーです。10Lサイズまでのモデルに対応します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.042	0		""				"ランバーパック レインカバー M ( 品番 #1128530 )"
"ポケッタブル ライトバナナポーチ ( 品番 #1123594 )"	0	""	1	"日本"	"日本"	1	171.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量コンパクトなポケッタブル仕様。旅行やサブバック、普段のエコバッグとしても最適です。豊富なカラーバリエーションをご用意しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.1	0		""				"ポケッタブル ライトバナナポーチ ( 品番 #1123594 )"
"ポケッタブル ライトポーチ ( 品番 #1123595 )"	0	""	1	"日本"	"日本"	1	163.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量コンパクトなポケッタブル仕様。旅行やサブバック、普段のエコバッグとしても最適です。豊富なカラーバリエーションをご用意しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.1	0		""				"ポケッタブル ライトポーチ ( 品番 #1123595 )"
"クロスランナーポーチ S ( 品番 #1123646 )"	0	""	1	"日本"	"日本"	1	163.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"荷物を身体にフィットさせるという独自の視点から開発したウエストポーチです。ポケットはパワーメッシュを採用し、収納物の揺れを抑えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.075	0		""				"クロスランナーポーチ S ( 品番 #1123646 )"
