﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"タフトート M ( 品番 #1123234 )"	0	""	1	"日本"	"日本"	1	334.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"厚手で丈夫な割に軽く防水性があり、アウトドアでの使用に最適。上部周囲と出し入れ口にコンプレッションストラップをつけ、荷物の量に応じて調節可能。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.58	0		""				"タフトート M ( 品番 #1123234 )"
"タフトート L ( 品番 #1123235 )"	0	""	1	"日本"	"日本"	1	419.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"厚手で丈夫な割に軽く防水性があり、アウトドアでの使用に最適。上部周囲と出し入れ口にコンプレッションストラップをつけ、荷物の量に応じて調節可能。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.81	0		""				"タフトート L ( 品番 #1123235 )"
"ポケッタブル ライトトート S ( 品番 #1123590 )"	0	""	1	"日本"	"日本"	1	189.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量コンパクトなポケッタブル仕様。旅行やサブバック、普段のエコバッグとしても最適です。豊富なカラーバリエーションをご用意しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.135	0		""				"ポケッタブル ライトトート S ( 品番 #1123590 )"
"ポケッタブル ライトトート M ( 品番 #1123591 )"	0	""	1	"日本"	"日本"	1	214.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量コンパクトなポケッタブル仕様。旅行やサブバック、普段のエコバッグとしても最適です。豊富なカラーバリエーションをご用意しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.16	0		""				"ポケッタブル ライトトート M ( 品番 #1123591 )"
"ポケッタブル ライトトート L ( 品番 #1123592 )"	0	""	1	"日本"	"日本"	1	240.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量コンパクトなポケッタブル仕様。旅行やサブバック、普段のエコバッグとしても最適です。豊富なカラーバリエーションをご用意しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.18	0		""				"ポケッタブル ライトトート L ( 品番 #1123592 )"
"ギアコンテナ S ( 品番 #1223290 )"	0	""	1	"日本"	"日本"	1	274.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ハンドグリップの長さが調節でき、用途に応じて手提げ、肩掛けと持ち方を選べ、ショルダーハーネスで背負うことも可能な3ウェイバッグ。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.28	0		""				"ギアコンテナ S ( 品番 #1223290 )"
"ギアコンテナ M ( 品番 #1223291 )"	0	""	1	"日本"	"日本"	1	291.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ハンドグリップの長さが調節でき、用途に応じて手提げ、肩掛けと持ち方を選べ、ショルダーハーネスで背負うことも可能な3ウェイバッグ。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.32	0		""				"ギアコンテナ M ( 品番 #1223291 )"
"ギアコンテナ L ( 品番 #1223292 )"	0	""	1	"日本"	"日本"	1	325.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ハンドグリップの長さが調節でき、用途に応じて手提げ、肩掛けと持ち方を選べ、ショルダーハーネスで背負うことも可能な3ウェイバッグ。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.34	0		""				"ギアコンテナ L ( 品番 #1223292 )"
"メッシュトートバッグ S ( 品番 #1123267 )"	0	""	1	"日本"	"日本"	1	325.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ウォータースポーツのギアなどの持ち運びに便利なメッシュ製のトートバッグです。出し入れ口はドローコードによる開閉式です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.47	0		""				"メッシュトートバッグ S ( 品番 #1123267 )"
