﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ブリーフケース ( 品番 #1123361 )"	0	""	1	"日本"	"日本"	1	248.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ハンドグリップを使って手提げとして、またハンドグリップを収納ポケットにしまってクラッチバッグのように小脇に抱えて持つこともできる、たいへん薄く軽量なケースです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.27	0		""				"ブリーフケース ( 品番 #1123361 )"
"ブリーフバッグ ( 品番 #1123577 )"	0	""	1	"日本"	"日本"	1	556.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"程よい大きさで日々のビジネスシーンに最適な軽量ブリーフバッグです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.61	0		""				"ブリーフバッグ ( 品番 #1123577 )"
"ユティリティバッグ ( 品番 #1123578 )"	0	""	1	"日本"	"日本"	1	590.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"優れた収納力を備え、日々のビジネスシーンから日帰り出張まで幅広く活用できるバッグです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.66	0		""				"ユティリティバッグ ( 品番 #1123578 )"
"トライパック ミニ ( 品番 #1123579 )"	0	""	1	"日本"	"日本"	1	761.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"持つ、背負う、肩に掛けるの使い方ができる2気室・3WAY仕様のバッグです。内容物にかかわらず、独自のフレームシステムにより型くずれしにくく、あらゆるビジネスシーンで広範囲に使用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.82	0		""				"トライパック ミニ ( 品番 #1123579 )"
"セパレート ブリーフバッグ ( 品番 #1123580 )"	0	""	1	"日本"	"日本"	1	1103.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"持つ、背負う、肩に掛けるという使い方ができる3WAY仕様のバッグです。メインラゲッジとブリーフケースが分離できるセパレートタイプなので、普段使いから短期出張まで幅広く活用していただけます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.12	0		""				"セパレート ブリーフバッグ ( 品番 #1123580 )"
"ユティリテイ デイパック ( 品番 #1123581 )"	0	""	1	"日本"	"日本"	1	641.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"スーツにもマッチするシンプルなデザインで、電車通勤でも持ちやすい大型ハンドルを搭載したバックパックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.69	0		""				"ユティリテイ デイパック ( 品番 #1123581 )"
"プロテクションインナー PCバッグ S ( 品番 #1123650 )"	0	""	1	"日本"	"日本"	1	214.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"縦横2方向からアクセスできるため、ビジネスバッグだけでなくデイパックに収納した状態でも出し入れしやすいインナーバッグ。CDやなどの収納に便利な仕切ポケットつき。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.2	0		""				"プロテクションインナー PCバッグ S ( 品番 #1123650 )"
"プロテクションインナー PCバッグ M ( 品番 #1123651 )"	0	""	1	"日本"	"日本"	1	231.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"縦横2方向からアクセスできるため、ビジネスバッグだけでなくデイパックに収納した状態でも出し入れしやすいインナーバッグ。CDやなどの収納に便利な仕切ポケットつき。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.22	0		""				"プロテクションインナー PCバッグ M ( 品番 #1123651 )"
"プロテクションインナー PCバッグ L ( 品番 #1123652 )"	0	""	1	"日本"	"日本"	1	248.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"縦横2方向からアクセスできるため、ビジネスバッグだけでなくデイパックに収納した状態でも出し入れしやすいインナーバッグ。CDやなどの収納に便利な仕切ポケットつき。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.24	0		""				"プロテクションインナー PCバッグ L ( 品番 #1123652 )"
