﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ウィーリーバッグ35 ( 品番 #1123813 )"	0	""	1	"日本"	"日本"	1	1561.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"シンプルな構造で使い勝手のよいトラベルバッグです。キャリーハンドルとハンドグリップ、ショルダーストラップを用いた3通りの使い方が可能です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		2.94	0		""				"ウィーリーバッグ35 ( 品番 #1123813 )"
"ウィーリーバッグ45 ( 品番 #1123814 )"	0	""	1	"日本"	"日本"	1	1606.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"シンプルな構造で使い勝手のよいトラベルバッグです。キャリーハンドルとハンドグリップ、ショルダーストラップを用いた3通りの使い方が可能です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		3.05	0		""				"ウィーリーバッグ45 ( 品番 #1123814 )"
"ウィーリーバッグ60 ( 品番 #1123815 )"	0	""	1	"日本"	"日本"	1	1651.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"シンプルな構造で使い勝手のよいトラベルバッグです。キャリーハンドルとハンドグリップ、ショルダーストラップを用いた3通りの使い方が可能です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		3.35	0		""				"ウィーリーバッグ60 ( 品番 #1123815 )"
"トライパック30 ( 品番 #1123816 )"	0	""	1	"日本"	"日本"	1	933.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"3通りの持ち方ができる軽量なトラベルバッグです。国内線の機内に持ち込みできるサイズです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.33	0		""				"トライパック30 ( 品番 #1123816 )"
"トライパック45 ( 品番 #1123817 )"	0	""	1	"日本"	"日本"	1	987.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"3通りの持ち方ができる軽量なトラベルバッグです。国内線の機内に持ち込みできるサイズです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.47	0		""				"トライパック45 ( 品番 #1123817 )"
"バッグカバー ウィーリーダッフル 80 ( 品番 #1128373 )"	0	""	1	"日本"	"日本"	1	288.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"耐水・耐久性に優れた素材を使用した「ウィーリーダッフル」専用レインカバーです。荷物の量に合わせてベルクロでフィット感を調整可能。使用しないときは軽量コンパクトに収納できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.203	0		""				"バッグカバー ウィーリーダッフル 80 ( 品番 #1128373 )"
"バッグカバー ウィーリーダッフル 100 ( 品番 #1128374 )"	0	""	1	"日本"	"日本"	1	306.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"耐水・耐久性に優れた素材を使用した「ウィーリーダッフル」専用レインカバーです。使用しないときは軽量コンパクトに収納できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.217	0		""				"バッグカバー ウィーリーダッフル 100 ( 品番 #1128374 )"
"バッグカバー ウィーリーバッグ 35 ( 品番 #1128375 )"	0	""	1	"日本"	"日本"	1	243.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"耐水・耐久性に優れた素材を使用した「ウィーリーバッグ」専用レインカバーです。使用しないときは軽量コンパクトに収納できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.142	0		""				"バッグカバー ウィーリーバッグ 35 ( 品番 #1128375 )"
"バッグカバー ウィーリーバッグ 45 ( 品番 #1128376 )"	0	""	1	"日本"	"日本"	1	270.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"耐水・耐久性に優れた素材を使用した「ウィーリーバッグ」専用レインカバーです。使用しないときは軽量コンパクトに収納できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.16	0		""				"バッグカバー ウィーリーバッグ 45 ( 品番 #1128376 )"
