﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"アクアペル ビジブルバッグ0.3L ( 品番 #1123834 )"	0	""	1	"日本"	"日本"	1	72.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"全ての縫い目にシームテープ処理を施した防水性の高いケースに、中身が確認しやすい小窓を設けたアイテムです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.017	0		""				"アクアペル ビジブルバッグ0.3L ( 品番 #1123834 )"
"アクアペル スタッフバッグ0.5L ( 品番 #1123835 )"	0	""	1	"日本"	"日本"	1	77.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"財布やタオルなど、濡らしたくない荷物の収納に便利な防水性の高いバッグです。バックパックに収納した際もデッドスペースを作りにくい丸底デザインを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.02	0		""				"アクアペル スタッフバッグ0.5L ( 品番 #1123835 )"
"アクアペル スタッフバッグ3L ( 品番 #1123836 )"	0	""	1	"日本"	"日本"	1	90.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"財布やタオルなど、濡らしたくない荷物の収納に便利な防水性の高いバッグです。バックパックに収納した際もデッドスペースを作りにくい丸底デザインを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.035	0		""				"アクアペル スタッフバッグ3L ( 品番 #1123836 )"
"アクアペル スタッフバッグ10L ( 品番 #1123837 )"	0	""	1	"日本"	"日本"	1	108.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"財布やタオルなど、濡らしたくない荷物の収納に便利な防水性の高いバッグです。バックパックに収納した際もデッドスペースを作りにくい丸底デザインを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.058	0		""				"アクアペル スタッフバッグ10L ( 品番 #1123837 )"
"アクアペル スタッフバッグ15L ( 品番 #1123838 )"	0	""	1	"日本"	"日本"	1	144.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"財布やタオルなど、濡らしたくない荷物の収納に便利な防水性の高いバッグです。バックパックに収納した際もデッドスペースを作りにくい丸底デザインを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.069	0		""				"アクアペル スタッフバッグ15L ( 品番 #1123838 )"
"プロテクション アクアペル 0.5L ( 品番 #1123839 )"	0	""	1	"日本"	"日本"	1	108.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ホコリや濡れ、衝撃からカメラ機材などを保護する防水バッグです。縫い目にはシームテープ処理を施すことで防水性を高めています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.046	0		""				"プロテクション アクアペル 0.5L ( 品番 #1123839 )"
"プロテクション アクアペル 1L ( 品番 #1123840 )"	0	""	1	"日本"	"日本"	1	122.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ホコリや濡れ、衝撃からカメラ機材などを保護する防水バッグです。縫い目にはシームテープ処理を施すことで防水性を高めています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.055	0		""				"プロテクション アクアペル 1L ( 品番 #1123840 )"
"プロテクション アクアペル 2L ( 品番 #1123841 )"	0	""	1	"日本"	"日本"	1	131.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ホコリや濡れ、衝撃からカメラ機材などを保護する防水バッグです。縫い目にはシームテープ処理を施すことで防水性を高めています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.08	0		""				"プロテクション アクアペル 2L ( 品番 #1123841 )"
"プロテクション アクアペル 3L ( 品番 #1123842 )"	0	""	1	"日本"	"日本"	1	144.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ホコリや濡れ、衝撃からカメラ機材などを保護する防水バッグです。縫い目にはシームテープ処理を施すことで防水性を高めています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.101	0		""				"プロテクション アクアペル 3L ( 品番 #1123842 )"
