﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ライトスタッフバッグ2L ( 品番 #1123826 )"	0	""	1	"日本"	"日本"	1	72.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"全ての縫い目にシームテープ処理を施すことで高い防水性を実現したスタッフバッグです。バックパックに収納した際もデッドスペースができにくい丸底デザインを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.017	0		""				"ライトスタッフバッグ2L ( 品番 #1123826 )"
"ライトスタッフバッグ5L ( 品番 #1123827 )"	0	""	1	"日本"	"日本"	1	81.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"全ての縫い目にシームテープ処理を施すことで高い防水性を実現したスタッフバッグです。バックパックに収納した際もデッドスペースができにくい丸底デザインを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.026	0		""				"ライトスタッフバッグ5L ( 品番 #1123827 )"
"ライトスタッフバッグ10L ( 品番 #1123828 )"	0	""	1	"日本"	"日本"	1	99.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"全ての縫い目にシームテープ処理を施すことで高い防水性を実現したスタッフバッグです。バックパックに収納した際もデッドスペースができにくい丸底デザインを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.036	0		""				"ライトスタッフバッグ10L ( 品番 #1123828 )"
"ライトスタッフバッグ15L ( 品番 #1123829 )"	0	""	1	"日本"	"日本"	1	104.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"全ての縫い目にシームテープ処理を施すことで高い防水性を実現したスタッフバッグです。バックパックに収納した際もデッドスペースができにくい丸底デザインを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.044	0		""				"ライトスタッフバッグ15L ( 品番 #1123829 )"
"ライトスタッフバッグ20L ( 品番 #1123830 )"	0	""	1	"日本"	"日本"	1	144.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"全ての縫い目にシームテープ処理を施すことで高い防水性を実現したスタッフバッグです。バックパックに収納した際もデッドスペースができにくい丸底デザインを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.053	0		""				"ライトスタッフバッグ20L ( 品番 #1123830 )"
"ライトスタッフバッグ40L ( 品番 #1123831 )"	0	""	1	"日本"	"日本"	1	171.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"全ての縫い目にシームテープ処理を施すことで高い防水性を実現したスタッフバッグです。バックパックに収納した際もデッドスペースができにくい丸底デザインを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.079	0		""				"ライトスタッフバッグ40L ( 品番 #1123831 )"
"ライトスタッフバッグ60L ( 品番 #1123832 )"	0	""	1	"日本"	"日本"	1	193.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"全ての縫い目にシームテープ処理を施すことで高い防水性を実現したスタッフバッグです。バックパックに収納した際もデッドスペースができにくい丸底デザインを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.094	0		""				"ライトスタッフバッグ60L ( 品番 #1123832 )"
"ライトスタッフバッグセット ( 品番 #1123833 )"	0	""	1	"日本"	"日本"	1	323.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"小物の収納に便利な2Lサイズから、着替えやタオルなども入れられる15Lサイズまで、4サイズをセットにしました。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.122	0		""				"ライトスタッフバッグセット ( 品番 #1123833 )"
"メッシュスタッフバッグセット ( 品番 #1123158 )"	0	""	1	"日本"	"日本"	1	300.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"4サイズが1セットになっており、下着、着替え、洗面用具など用途別の収納や荷物の整理に便利です。開閉口はコードロックつきのドローコード仕様。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.08	0		""				"メッシュスタッフバッグセット ( 品番 #1123158 )"
