﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ステラリッジ テント 1型 ( 品番 #1122464 )"	0	""	1	"日本"	"日本"	1	3153.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"山岳用テントに求められる軽量性と剛性、居住性を世界最高レベルで実現したモデルです。別売のスノーフライやグラウンドシートなど、豊富なオプションとの併用で、オールシーズンあらゆる状況に対応します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.25	0		""				"ステラリッジ テント 1型 ( 品番 #1122464 )"
"ステラリッジ テント 2型 ( 品番 #1122465 )"	0	""	1	"日本"	"日本"	1	3495.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"山岳用テントに求められる軽量性と剛性、居住性を世界最高レベルで実現したモデルです。別売のスノーフライやグラウンドシートなど、豊富なオプションとの併用で、オールシーズンあらゆる状況に対応します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.42	0		""				"ステラリッジ テント 2型 ( 品番 #1122465 )"
"ステラリッジ テント 3型 ( 品番 #1122466 )"	0	""	1	"日本"	"日本"	1	3922.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"山岳用テントに求められる軽量性と剛性、居住性を世界最高レベルで実現したモデルです。別売のスノーフライやグラウンドシートなど、豊富なオプションとの併用で、オールシーズンあらゆる状況に対応します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.8	0		""				"ステラリッジ テント 3型 ( 品番 #1122466 )"
"ステラリッジ テント 4型 ( 品番 #1122467 )"	0	""	1	"日本"	"日本"	1	4263.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"山岳用テントに求められる軽量性と剛性、居住性を世界最高レベルで実現したモデルです。別売のスノーフライやグラウンドシートなど、豊富なオプションとの併用で、オールシーズンあらゆる状況に対応します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		2.05	0		""				"ステラリッジ テント 4型 ( 品番 #1122467 )"
"ステラリッジテント 6型 ( 品番 #1122424 )"	0	""	1	"日本"	"日本"	1	7288.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"Light&Fastを追求したステラリッジテントの大型モデル。軽量性と機能性の高さが評価され、エベレスト登山のベースキャンプとしても採用されています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		4.99	0		""				"ステラリッジテント 6型 ( 品番 #1122424 )"
"ステラリッジ1 グラウンドシート ( 品番 #1122425 )"	0	""	1	"日本"	"日本"	1	248.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高い強度と耐水圧を持つ生地を採用した、ステラリッジテント専用のグラウンドシートです。設営の際はコーティング面が地面に接しないよう上側に、インナーとして使用する際はコーティング面が下側に来るように敷きます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.21	0		""				"ステラリッジ1 グラウンドシート ( 品番 #1122425 )"
"ステラリッジ2 グラウンドシート ( 品番 #1122426 )"	0	""	1	"日本"	"日本"	1	317.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高い強度と耐水圧を持つ生地を採用した、ステラリッジテント専用のグラウンドシートです。設営の際はコーティング面が地面に接しないよう上側に、インナーとして使用する際はコーティング面が下側に来るように敷きます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.27	0		""				"ステラリッジ2 グラウンドシート ( 品番 #1122426 )"
"ステラリッジ3 グラウンドシート ( 品番 #1122427 )"	0	""	1	"日本"	"日本"	1	359.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高い強度と耐水圧を持つ生地を採用した、ステラリッジテント専用のグラウンドシートです。設営の際はコーティング面が地面に接しないよう上側に、インナーとして使用する際はコーティング面が下側に来るように敷きます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.37	0		""				"ステラリッジ3 グラウンドシート ( 品番 #1122427 )"
"ステラリッジ4 グラウンドシート ( 品番 #1122428 )"	0	""	1	"日本"	"日本"	1	419.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高い強度と耐水圧を持つ生地を採用した、ステラリッジテント専用のグラウンドシートです。設営の際はコーティング面が地面に接しないよう上側に、インナーとして使用する際はコーティング面が下側に来るように敷きます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.44	0		""				"ステラリッジ4 グラウンドシート ( 品番 #1122428 )"
