﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ムーンライトテント1型 ( 品番 #1122286 )"	0	""	1	"日本"	"日本"	1	1692.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"モンベル・テントの中で最も歴史のある定番モデルです。素早く設営ができ、優れた防水性・通気性を誇ります。また、軽量ながら広々とした居住空間を確保しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		2.1	0		""				"ムーンライトテント1型 ( 品番 #1122286 )"
"ムーンライトテント2型 ( 品番 #1122287 )"	0	""	1	"日本"	"日本"	1	2205.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"モンベル・テントの中で最も歴史のある定番モデルです。素早く設営ができ、優れた防水性・通気性を誇ります。また、軽量ながら広々とした居住空間を確保しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		2.6	0		""				"ムーンライトテント2型 ( 品番 #1122287 )"
"ムーンライトテント3型 ( 品番 #1122288 )"	0	""	1	"日本"	"日本"	1	2717.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"モンベル・テントの中で最も歴史のある定番モデルです。素早く設営ができ、優れた防水性・通気性を誇ります。また、軽量ながら広々とした居住空間を確保しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		3.6	0		""				"ムーンライトテント3型 ( 品番 #1122288 )"
"ムーンライトテント5型 ( 品番 #1122289 )"	0	""	1	"日本"	"日本"	1	3999.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"モンベル・テントの中で最も歴史のある定番モデルです。素早く設営ができ、優れた防水性・通気性を誇ります。また、軽量ながら広々とした居住空間を確保しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		4.9	0		""				"ムーンライトテント5型 ( 品番 #1122289 )"
"ムーンライトテント7型 ( 品番 #1122290 )"	0	""	1	"日本"	"日本"	1	5365.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"モンベル・テントの中で最も歴史のある定番モデルです。素早く設営ができ、優れた防水性・通気性を誇ります。また、軽量ながら広々とした居住空間を確保しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		7.8	0		""				"ムーンライトテント7型 ( 品番 #1122290 )"
"ムーンライトテント9型 ( 品番 #1122291 )"	0	""	1	"日本"	"日本"	1	7074.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"モンベル・テントの中で最も歴史のある定番モデルです。素早く設営ができ、優れた防水性・通気性を誇ります。また、軽量ながら広々とした居住空間を確保しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		11.0	0		""				"ムーンライトテント9型 ( 品番 #1122291 )"
"ムーンライト 1 グラウンドシート ( 品番 #1122315 )"	0	""	1	"日本"	"日本"	1	240.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"雨の日や濡れた地面の上での設営時に、テントの底からの浸水や汚れを防止。また、フレームとフライシートのみで自立式タープとしても使えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.44	0		""				"ムーンライト 1 グラウンドシート ( 品番 #1122315 )"
"ムーンライト 2 グラウンドシート ( 品番 #1122316 )"	0	""	1	"日本"	"日本"	1	274.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"雨の日や濡れた地面の上での設営時に、テントの底からの浸水や汚れを防止。また、フレームとフライシートのみで自立式タープとしても使えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.58	0		""				"ムーンライト 2 グラウンドシート ( 品番 #1122316 )"
"ムーンライト 3 グラウンドシート ( 品番 #1122317 )"	0	""	1	"日本"	"日本"	1	325.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"雨の日や濡れた地面の上での設営時に、テントの底からの浸水や汚れを防止。また、フレームとフライシートのみで自立式タープとしても使えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.71	0		""				"ムーンライト 3 グラウンドシート ( 品番 #1122317 )"
