﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"アルミ Y ペグ ( 品番 #1122419 )"	0	""	1	"日本"	"日本"	1	16.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"超軽量なアルミニウムを使用し、断面をY字形状にすることで、高い強度も持たせたペグです。接地面積が大きいため抜けにくいのが特徴。軽量性を高めた山岳テントへの使用に適しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.013	0		""				"アルミ Y ペグ ( 品番 #1122419 )"
"アルミランナー ミニ ( 品番 #1122434 )"	0	""	1	"日本"	"日本"	1	26.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"張り綱に取り付けて長さを調節するランナーです。テントなどに使用するφ3mmの張り綱用。8個入り。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"アルミランナー ミニ ( 品番 #1122434 )"
"スチールVペグ20 ( 品番 #1122311 )"	0	""	1	"日本"	"日本"	1	22.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"スチール製のV字断面ペグで、接地面積が大きいため抜けにくいのが特徴です。タープ全般に使用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.075	0		""				"スチールVペグ20 ( 品番 #1122311 )"
"スチールVペグ30 ( 品番 #1122312 )"	0	""	1	"日本"	"日本"	1	26.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"スチール製のV字断面ペグで、接地面積が大きいため抜けにくいのが特徴です。タープ全般に使用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.125	0		""				"スチールVペグ30 ( 品番 #1122312 )"
"アルミピンペグ ( 品番 #1122310 )"	0	""	1	"日本"	"日本"	1	13.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"打ち込みやすく撤収も簡単なアルミ製の軽量なペグです。ムーンライトテントなどに使用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.018	0		""				"アルミピンペグ ( 品番 #1122310 )"
"アルミランナー ( 品番 #1122308 )"	0	""	1	"日本"	"日本"	1	43.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"張り綱に取り付けて長さを調節するランナーです。タープなどに使用するφ4mmの張り綱用。8個入り。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"アルミランナー ( 品番 #1122308 )"
"リフレクティブ張り綱 3mm ( 品番 #1122321 )"	0	""	1	"日本"	"日本"	1	12.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ポリプロピレン製の張り綱です。吸水率がゼロなので保水せず、紫外線にも強いため耐候劣化しにくく丈夫です。 少ない光でも反射する加工を施しているため、夜間でも張り綱の存在を確認できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"リフレクティブ張り綱 3mm ( 品番 #1122321 )"
"リフレクティブ張り綱 4mm ( 品番 #1122322 )"	0	""	1	"日本"	"日本"	1	13.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ポリプロピレン製の張り綱です。吸水率がゼロなので保水せず、紫外線にも強いため耐候劣化しにくく丈夫です。タープなどにお使いいただけます。 少ない光でも反射する加工を施しているため、夜間でも張り綱の存在を確認できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"リフレクティブ張り綱 4mm ( 品番 #1122322 )"
"張り綱 3mm ( 品番 #1122307 )"	0	""	1	"日本"	"日本"	1	5.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ポリプロピレン製の張り綱です。吸水率がゼロなので保水せず、紫外線にも強いため耐候劣化しにくく丈夫です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"張り綱 3mm ( 品番 #1122307 )"
"張り綱 4mm ( 品番 #1122306 )"	0	""	1	"日本"	"日本"	1	6.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ポリプロピレン製の張り綱です。吸水率がゼロなので保水せず、紫外線にも強いため耐候劣化しにくく丈夫です。タープなどにお使いいただけます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"張り綱 4mm ( 品番 #1122306 )"
"張り綱セット レクタ用 ( 品番 #1122305 )"	0	""	1	"日本"	"日本"	1	206.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"タープ用の張り綱とランナーのセットです。ビッグルーフレクタなどのレクタングラー（長方形）デザイン用。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"張り綱セット レクタ用 ( 品番 #1122305 )"
"張り綱セット ヘキサ用 ( 品番 #1122304 )"	0	""	1	"日本"	"日本"	1	171.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"タープ用の張り綱とランナーのセットです。ビッグタープHXなどのヘキサゴン（六角形）デザイン用。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"張り綱セット ヘキサ用 ( 品番 #1122304 )"
"メッシュアンカー ( 品番 #1122124 )"	0	""	1	"日本"	"日本"	1	103.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"河原などでペグが使えないときにたいへん役に立つのが、このメッシュアンカーです。キャンプ道具入れに常備しておくと便利です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.09	0		""				"メッシュアンカー ( 品番 #1122124 )"
