﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"トレッキンググラス メタル ( 品番 #1109130 )"	0	""	1	"日本"	"日本"	1	575.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"スタイリッシュなデザインのメタルフレームを採用したサングラスです。抜群のコンパクト性を実現しているため、携行に大変便利です。クリーニングクロス、ケース付き。UVカット率99%以上。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.032	0		""				"トレッキンググラス メタル ( 品番 #1109130 )"
"トレッキンググラス ( 品番 #1109131 )"	0	""	1	"日本"	"日本"	1	575.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"スポーティなプラスチック・フレームを採用したサングラスです。軽量で寒冷地でも使用できます。クリーニングクロス、ケース付き。UVカット率99%以上。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.023	0		""				"トレッキンググラス ( 品番 #1109131 )"
"PLトレッキンググラス メタル ( 品番 #1109125 )"	0	""	1	"日本"	"日本"	1	838.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"スタイリッシュなデザインのメタルフレームを採用した偏光サングラスです。コンパクト性に優れます。クリーニングクロス、ケースつき。UVカット率99%以上。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.032	0		""				"PLトレッキンググラス メタル ( 品番 #1109125 )"
"PLトレッキンググラス ( 品番 #1109126 )"	0	""	1	"日本"	"日本"	1	769.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"スポーティなプラスチック・フレームを採用した偏光サングラスです。軽量で寒冷地でも使用できます。クリーニングクロス、ケースつき。UVカット率99%以上。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.023	0		""				"PLトレッキンググラス ( 品番 #1109126 )"
"シールドグラス ( 品番 #1109105 )"	0	""	1	"日本"	"日本"	1	462.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"目の周りを覆う形状により、目に有害な紫外線や風を効果的に防ぐグラスです。レンズとフレームを一体成形することにより軽量化を達成。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.02	0		""				"シールドグラス ( 品番 #1109105 )"
"トレッキンググラス Kid's ( 品番 #1109127 )"	0	""	1	"日本"	"日本"	1	257.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"歪みが少なく、長時間使用しても疲れにくいリアルビューレンズを採用した、子ども用サングラスです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0225	0		""				"トレッキンググラス Kid's ( 品番 #1109127 )"
"ノーズパッド ( 品番 #1109119 )"	0	""	1	"日本"	"日本"	1	69.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"サングラスや眼鏡用の滑り止めパッド。フィット感を高め、汗によるズレを防ぎます。また、サイズの合わないサングラスの鼻モリとしても使用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ノーズパッド ( 品番 #1109119 )"
"テンプルフック ( 品番 #1109120 )"	0	""	1	"日本"	"日本"	1	69.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"眼鏡のテンプルの先に付けて使用し、運動時にもはずれにくくします。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"テンプルフック ( 品番 #1109120 )"
"テンプルカバー ( 品番 #1109121 )"	0	""	1	"日本"	"日本"	1	69.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"眼鏡のテンプルに取り付けて使用し、うつむいた時などに眼鏡がズリ落ちにくくします。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"テンプルカバー ( 品番 #1109121 )"
