﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ストラップ クマ ( 品番 #1124498 )"	0	""	1	"日本"	"日本"	1	63.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"モンベルストアでおなじみのクマのマスコットがストラップになりました。ワンタッチで取り外すことができます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.014	0		""				"ストラップ クマ ( 品番 #1124498 )"
"キーカラビナ フラットDカン 4 ( 品番 #1124333 )"	0	""	1	"日本"	"日本"	1	24.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"着脱が簡単なカラビナ型アクセサリー。ベルトやバッグなどいろいろなところに取り付けてキーホルダーとしてご使用ください。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0050	0		""				"キーカラビナ フラットDカン 4 ( 品番 #1124333 )"
"キーカラビナ フラットDカン 6 ( 品番 #1124334 )"	0	""	1	"日本"	"日本"	1	34.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"着脱が簡単なカラビナ型アクセサリー。ベルトやバッグなどいろいろなところに取り付けてキーホルダーとしてご使用ください。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.011	0		""				"キーカラビナ フラットDカン 6 ( 品番 #1124334 )"
"キーカラビナ フラットDカン 7 ( 品番 #1124335 )"	0	""	1	"日本"	"日本"	1	34.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"着脱が簡単なカラビナ型アクセサリー。ベルトやバッグなどいろいろなところに取り付けてキーホルダーとしてご使用ください。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.016	0		""				"キーカラビナ フラットDカン 7 ( 品番 #1124335 )"
"キーカラビナ フラットナスカン 5 ( 品番 #1124336 )"	0	""	1	"日本"	"日本"	1	24.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"着脱が簡単なカラビナ型アクセサリー。ベルトやバッグなどいろいろなところに取り付けてキーホルダーとしてご使用ください。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0060	0		""				"キーカラビナ フラットナスカン 5 ( 品番 #1124336 )"
"キーカラビナ フラットナスカン 6 ( 品番 #1124337 )"	0	""	1	"日本"	"日本"	1	34.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"着脱が簡単なカラビナ型アクセサリー。ベルトやバッグなどいろいろなところに取り付けてキーホルダーとしてご使用ください。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.012	0		""				"キーカラビナ フラットナスカン 6 ( 品番 #1124337 )"
"キーカラビナ ナスカン 6 ( 品番 #1124338 )"	0	""	1	"日本"	"日本"	1	36.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"着脱が簡単なカラビナ型アクセサリー。ベルトやバッグなどいろいろなところに取り付けてキーホルダーとしてご使用ください。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.012	0		""				"キーカラビナ ナスカン 6 ( 品番 #1124338 )"
"キーカラビナ ロックナスカン 6 ( 品番 #1124339 )"	0	""	1	"日本"	"日本"	1	49.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"着脱が簡単なカラビナ型アクセサリー。ベルトやバッグなどいろいろなところに取り付けてキーホルダーとしてご使用ください。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.015	0		""				"キーカラビナ ロックナスカン 6 ( 品番 #1124339 )"
"D-RING ボトルバンデット ( 品番 #3712031 )"	0	""	1	"日本"	"日本"	1	78.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ラバーリングで多様なボトルに装着可能なボトルホルダーです。カラビナでどこにでも吊り下げられます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"D-RING ボトルバンデット ( 品番 #3712031 )"
