﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ミニクリアボトル 20ml ( 品番 #1124424 )"	0	""	1	"日本"	"日本"	1	18.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"耐久性に優れた、BPA（ビスフェノールA）を含まないPET素材を採用したミニボトルです。大変軽量・コンパクトながら、密封性の高いキャップを使用しているため液漏れしにくくなっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0020	0		""				"ミニクリアボトル 20ml ( 品番 #1124424 )"
"ミニクリアボトル 30ml ( 品番 #1124425 )"	0	""	1	"日本"	"日本"	1	22.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"耐久性に優れた、BPA（ビスフェノールA）を含まないPET素材を採用したミニボトルです。大変軽量・コンパクトながら、密封性の高いキャップを使用しているため液漏れしにくくなっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0050	0		""				"ミニクリアボトル 30ml ( 品番 #1124425 )"
"ミニクリアボトル 50ml ( 品番 #1124426 )"	0	""	1	"日本"	"日本"	1	28.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"耐久性に優れた、BPA（ビスフェノールA）を含まないPET素材を採用したミニボトルです。大変軽量・コンパクトながら、密封性の高いキャップを使用しているため液漏れしにくくなっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.01	0		""				"ミニクリアボトル 50ml ( 品番 #1124426 )"
"ゴータブ S 3PCS ( 品番 #1899057 )"	0	""	1	"日本"	"日本"	1	72.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ゴータブは片手で容易に開閉することができる小物ケースです。工具やアクセサリーはもちろん、BPAフリーなのでサプリメントやお菓子などの食品にいたるまで安心して使用することが可能。開ける時はふたの側面を軽くつまみ、閉じる時はふたをかぶせて抑えるだけです。3パック入りなので種類別に収納することができ大変便利です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0060	0		""				"ゴータブ S 3PCS ( 品番 #1899057 )"
"ゴータブ M 3PCS ( 品番 #1899058 )"	0	""	1	"日本"	"日本"	1	90.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ゴータブは片手で容易に開閉することができる小物ケースです。工具やアクセサリーはもちろん、BPAフリーなのでサプリメントやお菓子などの食品にいたるまで安心して使用することが可能。開ける時はふたの側面を軽くつまみ、閉じる時はふたをかぶせて抑えるだけです。3パック入りなので種類別に収納することができ大変便利です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.02	0		""				"ゴータブ M 3PCS ( 品番 #1899058 )"
"レーションコンテナ ( 品番 #1127163 )"	0	""	1	"日本"	"日本"	1	214.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"広口の防水ポリエチレンボトル。壊れにくく、バッグなどに入れても潰れることがないのでナッツやスナック類なども安心して入れられます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.22	0		""				"レーションコンテナ ( 品番 #1127163 )"
"ゴートゥーブ 1.25OZ ( 品番 #1899051 )"	0	""	1	"日本"	"日本"	1	72.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"やわらかく耐久性があるシリコン製のチューブです。押し出しがしやすく、したたりにくい構造になっています。シャンプーやローションなどを入れて持ち運びができます。また調味料なども入れることができます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ゴートゥーブ 1.25OZ ( 品番 #1899051 )"
"ゴートゥーブ 2.0OZ ( 品番 #1899052 )"	0	""	1	"日本"	"日本"	1	81.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ＮＨＫニュースおはよう日本『まちかど情報室』で"シャンプーなどを入れて浴室に付けて使う容器"として紹介されました。 やわらかく耐久性があるシリコン製のチューブです。押し出しがしやすく、したたりにくい構造になっています。シャンプーやローションなどを入れて持ち運びができます。また調味料なども入れることができます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ゴートゥーブ 2.0OZ ( 品番 #1899052 )"
"ゴートゥーブ 3.0OZ ( 品番 #1899053 )"	0	""	1	"日本"	"日本"	1	90.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"やわらかく耐久性があるシリコン製のチューブです。押し出しがしやすく、したたりにくい構造になっています。シャンプーやローションなどを入れて持ち運びができます。また調味料なども入れることができます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ゴートゥーブ 3.0OZ ( 品番 #1899053 )"
