﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"野点シート ( 品番 #1124563 )"	0	""	1	"日本"	"日本"	1	413.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"フィールドに茶の間を演出する野点用シートです。裏面にウレタンコーティングを施しているため、優れた防水性を備えます。レジャーシートとしても使用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.589	0		""				"野点シート ( 品番 #1124563 )"
"カーシートカバ- ( 品番 #1127375 )"	0	""	1	"日本"	"日本"	1	270.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"愛車のシートを濡れや汚れから守るカバーです。シンプルな構造で着脱しやすく、使用しないときはベルクロテープで小さく畳んでおけます。さまざまな車種の座席に対応します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.181	0		""				"カーシートカバ- ( 品番 #1127375 )"
"ロックアウトスピーカー2 ( 品番 #1893162 )"	0	""	1	"日本"	"日本"	1	539.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"アウトドアシーンで使える革新的なソーラーパワーシステム製品を提供する米国・GOAL ZERO社の製品です。リチウムイオンバッテリー内蔵で、ソーラーパネルなどから充電が可能。最大出力3Wステレオスピーカーで、アウトドアで楽しめるポータブルスピーカーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.36	0		""				"ロックアウトスピーカー2 ( 品番 #1893162 )"
"フリーロック ストラップ 3m ( 品番 #1124437 )"	0	""	1	"日本"	"日本"	1	66.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ギア類を収束してまとめる際に便利なベルクロテープです。テープ幅は20mm。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"フリーロック ストラップ 3m ( 品番 #1124437 )"
"フリーロック ストラップ 5m ( 品番 #1124438 )"	0	""	1	"日本"	"日本"	1	108.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ギア類を収束してまとめる際に便利なベルクロテープです。テープ幅は20mm。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"フリーロック ストラップ 5m ( 品番 #1124438 )"
"グローインストラップ ( 品番 #1827641 )"	0	""	1	"日本"	"日本"	1	162.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"蛍光リフレクター付きのストラップです。点滅と常時点灯モードで夜間の視認性を高めています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.026	0		""				"グローインストラップ ( 品番 #1827641 )"
"ロックアウトスピーカー ( 品番 #1893157 )"	0	""	1	"日本"	"日本"	1	377.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"アウトドアシーンで使える革新的なソーラーパワーシステム製品を提供する米国・GOAL ZERO社の製品です。付属のUSBケーブルを使用して周辺電子機器から充電することが可能で、アウトドアで活躍するポータブルスピーカーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.4	0		""				"ロックアウトスピーカー ( 品番 #1893157 )"
"ビクトリノックス　トラベラー　モンベルロゴ ( 品番 #3506666 )"	0	""	1	"日本"	"日本"	1	345.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ビクトリノックスの人気モデル「トラベラー」に、モンベルオリジナルデザインのハンドルを装着しました。3つのカラーからお選びください。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.081	0		""				"ビクトリノックス　トラベラー　モンベルロゴ ( 品番 #3506666 )"
"ビクトリノックス　クラシックSD　モンベルロゴ ( 品番 #3506667 )"	0	""	1	"日本"	"日本"	1	144.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"小さなボディの中に、はさみや爪やすりなど、日常に便利な7つの機能が入ったビクトリノックスの人気モデル「クラシックSD」に、モンベルオリジナルデザインのハンドルを装着しました。4つのカラーからお選びください。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.021	0		""				"ビクトリノックス　クラシックSD　モンベルロゴ ( 品番 #3506667 )"
