﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ジェットボイル SOL ( 品番 #1824376 )"	0	""	1	"日本"	"日本"	1	1346.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ZIPと同じ容量で、-6度でも安定した火力を発揮するサーモレギュレートテクノロジーを搭載し、軽量かつ高出力を実現した究極の性能と信頼性を持つコンパクトモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.37	0		""				"ジェットボイル SOL ( 品番 #1824376 )"
"ジェットボイル PCS FLASH ( 品番 #1824329 )"	0	""	1	"日本"	"日本"	1	1167.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"保温クッカーと熱効率の高いストーブがセットになった簡単便利なアウトドア用調理器具。クッカーの底のフラックスリングが抜群の熱効率を実現しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.47	0		""				"ジェットボイル PCS FLASH ( 品番 #1824329 )"
"ジェットボイル ZIP ( 品番 #1824325 )"	0	""	1	"日本"	"日本"	1	853.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ジェットボイルの高い熱効率はそのままにコッヘルの容量を小型化した軽量・シンプルなモデル。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.4	0		""				"ジェットボイル ZIP ( 品番 #1824325 )"
"ジェットボイル SOL チタニウム ( 品番 #1824377 )"	0	""	1	"日本"	"日本"	1	1705.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ZIPと同じ容量で、-6度でも安定した火力を発揮するサーモレギュレートテクノロジーを搭載し、軽量かつ高出力を実現した究極の性能と信頼性を持つコンパクトモデルです。より軽量なチタニウム製。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.34	0		""				"ジェットボイル SOL チタニウム ( 品番 #1824377 )"
"SUMO ( 品番 #1824331 )"	0	""	1	"日本"	"日本"	1	1436.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"-6度でも安定した火力を発揮するサーモレギュレートテクノロジーを搭載し、軽量かつ高出力を実現した究極の性能と信頼性を持つクッキングシステム。グループでの使用を前提にした大容量タイプです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.49	0		""				"SUMO ( 品番 #1824331 )"
"SUMO チタニウム ( 品番 #1824330 )"	0	""	1	"日本"	"日本"	1	1974.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"-6度でも安定した火力を発揮するサーモレギュレートテクノロジーを搭載し、軽量かつ高出力を実現した究極の性能と信頼性を持つクッキングシステム。グループでの使用を前提にした大容量タイプです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.446	0		""				"SUMO チタニウム ( 品番 #1824330 )"
"SUMOコンパニオンボウルセット ( 品番 #1824373 )"	0	""	1	"日本"	"日本"	1	223.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"SUMO専用の省スペース設計のボウルセット。フタ付きで大2個・小1個の組み合わせです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.19	0		""				"SUMOコンパニオンボウルセット ( 品番 #1824373 )"
"コンパニオン SOL ( 品番 #1824334 )"	0	""	1	"日本"	"日本"	1	539.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"フラックスリングを装備した0.8Lのジェットボイル用クッカーの単体販売品です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.22	0		""				"コンパニオン SOL ( 品番 #1824334 )"
"コンパニオン SOL チタニウム ( 品番 #1824335 )"	0	""	1	"日本"	"日本"	1	1032.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"フラックスリングを装備した0.8Lのクッカーの単体販売品です。チタニウムの本体を持つ超軽量クッカー。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.185	0		""				"コンパニオン SOL チタニウム ( 品番 #1824335 )"
