﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"アルパインクッカー ディープ11 ( 品番 #1124449 )"	0	""	1	"日本"	"日本"	1	163.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"大変軽量で熱伝導性が高いアルミニウム製クッカーです。深型で収納性に優れ、ガスカートリッジやストーブなどとスタッキングできるようになっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.229	0		""				"アルパインクッカー ディープ11 ( 品番 #1124449 )"
"アルパインクッカー ディープ13 ( 品番 #1124450 )"	0	""	1	"日本"	"日本"	1	189.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"大変軽量で熱伝導性が高いアルミニウム製クッカーです。深型で収納性に優れ、ガスカートリッジやストーブなどとスタッキングできるようになっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.27	0		""				"アルパインクッカー ディープ13 ( 品番 #1124450 )"
"アルパインクッカー ディープ11+13セット ( 品番 #1124451 )"	0	""	1	"日本"	"日本"	1	300.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"大変軽量で熱伝導性が高いアルミニウム製クッカーです。深型で収納性に優れ、ガスカートリッジやストーブなどとスタッキングできるようになっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.498	0		""				"アルパインクッカー ディープ11+13セット ( 品番 #1124451 )"
"アルパインクッカー 14 ( 品番 #1124452 )"	0	""	1	"日本"	"日本"	1	163.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"大変軽量で熱伝導性が高いアルミニウム製クッカーです。適度な深さで調理がしやすい広口タイプ。ふたには蒸気孔と、調理中でも自立する取っ手付き。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.18	0		""				"アルパインクッカー 14 ( 品番 #1124452 )"
"アルパインクッカー 16 ( 品番 #1124453 )"	0	""	1	"日本"	"日本"	1	189.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"大変軽量で熱伝導性が高いアルミニウム製クッカーです。適度な深さで調理がしやすい広口タイプ。ふたには蒸気孔と、調理中でも自立する取っ手付き。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.25	0		""				"アルパインクッカー 16 ( 品番 #1124453 )"
"アルパイン フライパン 16 ( 品番 #1124569 )"	0	""	1	"日本"	"日本"	1	122.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"非常に軽量で、優れた熱伝導性を備えたアルミニウム製のフライパンです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.16	0		""				"アルパイン フライパン 16 ( 品番 #1124569 )"
"アルパイン フライパン 18 ( 品番 #1124570 )"	0	""	1	"日本"	"日本"	1	135.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"非常に軽量で、優れた熱伝導性を備えたアルミニウム製のフライパンです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.192	0		""				"アルパイン フライパン 18 ( 品番 #1124570 )"
"アルパイン フライパン 20 ( 品番 #1124571 )"	0	""	1	"日本"	"日本"	1	149.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"非常に軽量で、優れた熱伝導性を備えたアルミニウム製のフライパンです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.24	0		""				"アルパイン フライパン 20 ( 品番 #1124571 )"
"アルパインクッカー 16+18パンセット ( 品番 #1124567 )"	0	""	1	"日本"	"日本"	1	440.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"非常に軽量で、優れた熱伝導性を備えたアルミニウム製のクッカーセットです。「アルパインクッカー16」と「アルパインクッカー18」のセットに、「アルパイン フライパン 18」を付属。4人程度のキャンプに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.741	0		""				"アルパインクッカー 16+18パンセット ( 品番 #1124567 )"
