﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"サーモタンブラー 300 モンベルロゴ ( 品番 #1124559 )"	0	""	1	"日本"	"日本"	1	68.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で優れた保温性・保冷性を備えたタンブラーです。車などのドリンクホルダーにフィットする形状です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.14	0		""				"サーモタンブラー 300 モンベルロゴ ( 品番 #1124559 )"
"サーモタンブラー 400 モンベルロゴ ( 品番 #1124560 )"	0	""	1	"日本"	"日本"	1	95.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で優れた保温性・保冷性を備えたタンブラーです。ふたは気密性の高い開閉式です。車などのドリンクホルダーにフィットする形状です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.213	0		""				"サーモタンブラー 400 モンベルロゴ ( 品番 #1124560 )"
"サーモマグ 200 モンベルロゴ ( 品番 #1124561 )"	0	""	1	"日本"	"日本"	1	59.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で優れた保温性・保冷性を備えたマグカップです。握りやすい取っ手付き。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.104	0		""				"サーモマグ 200 モンベルロゴ ( 品番 #1124561 )"
"サーモマグ 330 モンベルロゴ ( 品番 #1124562 )"	0	""	1	"日本"	"日本"	1	93.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で優れた保温性・保冷性を備えたマグカップです。握りやすい取っ手付き。ふたは気密性の高い開閉式です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.206	0		""				"サーモマグ 330 モンベルロゴ ( 品番 #1124562 )"
"ステンレスカップ 280 ( 品番 #1124565 )"	0	""	1	"日本"	"日本"	1	54.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"さびにくく、丈夫な18-8ステンレスを使用した、登山にも適したカップです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.063	0		""				"ステンレスカップ 280 ( 品番 #1124565 )"
"ステンレスカップ 390 ( 品番 #1124566 )"	0	""	1	"日本"	"日本"	1	63.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"さびにくく、丈夫な18-8ステンレスを使用した、登山にも適したカップです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.071	0		""				"ステンレスカップ 390 ( 品番 #1124566 )"
"チタンサーモマグ 220 ( 品番 #1124517 )"	0	""	1	"日本"	"日本"	1	248.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"二重構造にすることで保温・保冷効果を高めたチタン製マグカップです。抜群の軽量性を誇り、耐久性・耐食性にも優れています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.1	0		""				"チタンサーモマグ 220 ( 品番 #1124517 )"
"チタンサーモマグ 300 ( 品番 #1124518 )"	0	""	1	"日本"	"日本"	1	291.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"二重構造にすることで保温・保冷効果を高めたチタン製マグカップです。抜群の軽量性を誇り、耐久性・耐食性にも優れています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.12	0		""				"チタンサーモマグ 300 ( 品番 #1124518 )"
"ステンレスサーモマグ 220 ( 品番 #1124492 )"	0	""	1	"日本"	"日本"	1	112.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"さびにくい18-8ステンレスを使用し、二重構造にすることで保温・保冷効果を持たせた丈夫なマグカップです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.101	0		""				"ステンレスサーモマグ 220 ( 品番 #1124492 )"
