﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"プルトップ アクティブボトル 0.7L ( 品番 #1124564 )"	0	""	1	"日本"	"日本"	1	60.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ランニングやサイクリングなどのアクティビティ時に、効率的に水分補給を行えるストロー付きボトルです。においが付きにくいポリプロピレン製。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.065	0		""				"プルトップ アクティブボトル 0.7L ( 品番 #1124564 )"
"エディボトルキャップ ( 品番 #1821783 )"	0	""	1	"日本"	"日本"	1	90.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"エディボトル・シリーズ専用の交換用キャップとストローのセットです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"エディボトルキャップ ( 品番 #1821783 )"
"ステンレス サーモボトル 0.35L ( 品番 #1124494 )"	0	""	1	"日本"	"日本"	1	120.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"真空二層構造で優れた保温・保冷効果を発揮するステンレス製ボトルです。無駄な凹凸をなくしたストレート形状でかさばらず、日常使いだけでなく、登山やキャンプまで幅広く活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.31	0		""				"ステンレス サーモボトル 0.35L ( 品番 #1124494 )"
"ステンレス サーモボトル 0.45L ( 品番 #1124495 )"	0	""	1	"日本"	"日本"	1	129.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"真空二層構造で優れた保温・保冷効果を発揮するステンレス製ボトルです。無駄な凹凸をなくしたストレート形状でかさばらず、日常使いだけでなく、登山やキャンプまで幅広く活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.34	0		""				"ステンレス サーモボトル 0.45L ( 品番 #1124495 )"
"ステンレス サーモボトル 0.75L ( 品番 #1124496 )"	0	""	1	"日本"	"日本"	1	171.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"真空二層構造で優れた保温・保冷効果を発揮するステンレス製ボトルです。無駄な凹凸をなくしたストレート形状でかさばらず、日常使いだけでなく、登山やキャンプまで幅広く活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.515	0		""				"ステンレス サーモボトル 0.75L ( 品番 #1124496 )"
"オールクリア ( 品番 #1821619 )"	0	""	1	"日本"	"日本"	1	1692.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"キャップ内側についているライトからボトル内の水に短波の紫外線を照射することにより、バクテリアやウイルスなどの活動を抑制する高機能ボトルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.302	0		""				"オールクリア ( 品番 #1821619 )"
"クリアボトル 0.5L ( 品番 #1124419 )"	0	""	1	"日本"	"日本"	1	81.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で耐久性に優れ、においも少なく、BPA（ビスフェノールA）を含まない安心素材のボトルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.095	0		""				"クリアボトル 0.5L ( 品番 #1124419 )"
"クリアボトル 0.75L ( 品番 #1124420 )"	0	""	1	"日本"	"日本"	1	89.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で耐久性に優れ、においも少なく、BPA（ビスフェノールA）を含まない安心素材のボトルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.12	0		""				"クリアボトル 0.75L ( 品番 #1124420 )"
"クリアボトル 1.0L ( 品番 #1124421 )"	0	""	1	"日本"	"日本"	1	107.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で耐久性に優れ、においも少なく、BPA（ビスフェノールA）を含まない安心素材のボトルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.13	0		""				"クリアボトル 1.0L ( 品番 #1124421 )"
