﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ウエスト ボトルケージ ( 品番 #1123862 )"	0	""	1	"日本"	"日本"	1	350.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"サイクリングやランニングなどのアクティビティ時にスムーズに水分補給を行うために作られたウエスト・ボトルホルダーです。軽量な「プルトップ アクティブボトル 0.7L」が付属します。また、500mLペットボトルなども装着することができます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.065	0		""				"ウエスト ボトルケージ ( 品番 #1123862 )"
"ペットボトルホルダー 0.35L ( 品番 #1123631 )"	0	""	1	"日本"	"日本"	1	82.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"出し入れ口にネオプレンを使用し保温・保冷効果を高めた、0.35Lのペットボトル用携帯ホルダーです。ベルクロ留めベルトループつき。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.045	0		""				"ペットボトルホルダー 0.35L ( 品番 #1123631 )"
"ペットボトルホルダー 0.5L ( 品番 #1123632 )"	0	""	1	"日本"	"日本"	1	90.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"出し入れ口にネオプレンを使用し保温・保冷効果を高めた、0.5Lのペットボトル用携帯ホルダーです。ベルクロ留めベルトループつき。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.05	0		""				"ペットボトルホルダー 0.5L ( 品番 #1123632 )"
"ペットボトルホルダー 1L ( 品番 #1123633 )"	0	""	1	"日本"	"日本"	1	103.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"出し入れ口にネオプレンを使用し保温・保冷効果を高めた、1Lのペットボトル用携帯ホルダーです。にぎりやすいようハンドループを縫いつけてあります。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.06	0		""				"ペットボトルホルダー 1L ( 品番 #1123633 )"
"ペットボトルホルダー スクエア 1L ( 品番 #1123634 )"	0	""	1	"日本"	"日本"	1	103.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"出し入れ口にネオプレンを使用し保温・保冷効果を高めた、スクエアタイプの1Lペットボトル用携帯ホルダーです。にぎりやすいようハンドループを縫いつけてあります。別売のショルダーストラップも取り付け可能です。同サイズのアルミボトルにも対応します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.06	0		""				"ペットボトルホルダー スクエア 1L ( 品番 #1123634 )"
"ショルダーストラップ ( 品番 #1123670 )"	0	""	1	"日本"	"日本"	1	39.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"「ペットボトルホルダー」などにフックで簡単に取り付けられるショルダーストラップです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.035	0		""				"ショルダーストラップ ( 品番 #1123670 )"
"クリアボトル サーモカバー 0.5L ( 品番 #1123732 )"	0	""	1	"日本"	"日本"	1	82.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"クリアボトル専用の携帯ホルダーです。入り口をネオプレンで密閉することで、保温・保冷効果を高めています。ショルダーストラップ（別売）などを引っ掛けられるDリング付き。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.045	0		""				"クリアボトル サーモカバー 0.5L ( 品番 #1123732 )"
"クリアボトル サーモカバー 0.75L ( 品番 #1123733 )"	0	""	1	"日本"	"日本"	1	90.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"クリアボトル専用の携帯ホルダーです。入り口をネオプレンで密閉することで、保温・保冷効果を高めています。ショルダーストラップ（別売）などを引っ掛けられるDリング付き。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.05	0		""				"クリアボトル サーモカバー 0.75L ( 品番 #1123733 )"
"クリアボトル サーモカバー 1.0L ( 品番 #1123734 )"	0	""	1	"日本"	"日本"	1	103.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"クリアボトル専用の携帯ホルダーです。入り口をネオプレンで密閉することで、保温・保冷効果を高めています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.055	0		""				"クリアボトル サーモカバー 1.0L ( 品番 #1123734 )"
"ランバーパックボトルケージ ( 品番 #1123363 )"	0	""	1	"日本"	"日本"	1	69.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ウエストバッグやバックパックにも簡単に装着できるボトル用のソフトケースです。底部のディッピングメッシュがボトルの結露を逃がし、保温材を使用していないので軽く、コンパクトです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ランバーパックボトルケージ ( 品番 #1123363 )"
