﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"アルパインポール ( 品番 #1140167 )"	0	""	1	"日本"	"日本"	1	413.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"登山やトレッキングに最適な2本使いを基本としたポールです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.257	0		""				"アルパインポール ( 品番 #1140167 )"
"アルパインポール S ( 品番 #1140168 )"	0	""	1	"日本"	"日本"	1	404.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"登山やトレッキングに最適な2本使いを基本としたポールです。女性に最適なスモールハンドモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.233	0		""				"アルパインポール S ( 品番 #1140168 )"
"アルパインポール アンチショック ( 品番 #1140169 )"	0	""	1	"日本"	"日本"	1	449.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"登山やトレッキングに最適な2本使いを基本としたポールです。内蔵スプリングによる衝撃吸収システムを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.272	0		""				"アルパインポール アンチショック ( 品番 #1140169 )"
"アルパインポール アンチショック S ( 品番 #1140170 )"	0	""	1	"日本"	"日本"	1	440.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"登山やトレッキングに最適な2本使いを基本としたポールです。内蔵スプリングによる衝撃吸収システムを採用しています。女性に最適なスモールハンドモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.247	0		""				"アルパインポール アンチショック S ( 品番 #1140170 )"
"アルパインポール カムロック ( 品番 #1140171 )"	0	""	1	"日本"	"日本"	1	431.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"登山やトレッキングに最適な2本使いを基本としたポールです。カムロック・システムの採用により、グローブをしたままでも簡単にサイズ調節が行えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.257	0		""				"アルパインポール カムロック ( 品番 #1140171 )"
"アルパインポール カムロック S ( 品番 #1140172 )"	0	""	1	"日本"	"日本"	1	422.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"登山やトレッキングに最適な2本使いを基本としたポールです。カムロック・システムの採用により、グローブをしたままでも簡単にサイズ調節が行えます。女性に最適なスモールハンドモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.231	0		""				"アルパインポール カムロック S ( 品番 #1140172 )"
"アルパインポール カムロック アンチショック ( 品番 #1140173 )"	0	""	1	"日本"	"日本"	1	467.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"登山やトレッキングに最適な2本使いを基本としたポールです。カムロック・システムの採用により、グローブをしたままでも簡単にサイズ調節が行えます。内蔵スプリングによる衝撃吸収システムを採用したモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.276	0		""				"アルパインポール カムロック アンチショック ( 品番 #1140173 )"
"アルパインポール カムロック アンチショック S ( 品番 #1140174 )"	0	""	1	"日本"	"日本"	1	458.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"登山やトレッキングに最適な2本使いを基本としたポールです。カムロック・システムの採用により、グローブをしたままでも簡単にサイズ調節が行えます。内蔵スプリングによる衝撃吸収システムを採用したモデルです。女性に最適なスモールハンドモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.252	0		""				"アルパインポール カムロック アンチショック S ( 品番 #1140174 )"
"アルパイン カーボンポール アンチショック ( 品番 #1140175 )"	0	""	1	"日本"	"日本"	1	700.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"7001超々ジュラルミンの芯を剛性に優れるカーボン繊維強化樹脂で包み込むことで、高い強度と驚異的な軽さを両立させたポールです。内蔵スプリングによる衝撃吸収システムを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.181	0		""				"アルパイン カーボンポール アンチショック ( 品番 #1140175 )"
"アルパイン カーボンポール アンチショック S ( 品番 #1140176 )"	0	""	1	"日本"	"日本"	1	682.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"7001超々ジュラルミンの芯を剛性に優れるカーボン繊維強化樹脂で包み込むことで、高い強度と驚異的な軽さを両立させたポールです。内蔵スプリングによる衝撃吸収システムを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.169	0		""				"アルパイン カーボンポール アンチショック S ( 品番 #1140176 )"
"U.L.フォールディングポール ( 品番 #1140177 )"	0	""	1	"日本"	"日本"	1	386.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"内蔵されたコードを引くだけの簡単操作でスピーディーに組み立てができる超軽量ポールです。スタッフバッグ付きで大変コンパクトに収納可能。3サイズ展開で、自身の身長に合わせたモデルをお選びいただけます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.14	0		""				"U.L.フォールディングポール ( 品番 #1140177 )"
"アルパイン カーボンポール ( 品番 #1140182 )"	0	""	1	"日本"	"日本"	1	673.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"7001超々ジュラルミンの芯を剛性に優れるカーボン繊維強化樹脂で包み込むことで、高い強度と驚異的な軽さを両立させたポールです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.169	0		""				"アルパイン カーボンポール ( 品番 #1140182 )"
"アルパイン カーボンポール S ( 品番 #1140183 )"	0	""	1	"日本"	"日本"	1	655.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"7001超々ジュラルミンの芯を剛性に優れるカーボン繊維強化樹脂で包み込むことで、高い強度と驚異的な軽さを両立させたポールです。女性に最適なスモールハンドモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.158	0		""				"アルパイン カーボンポール S ( 品番 #1140183 )"
