﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"スノーバスケット ( 品番 #1140180 )"	0	""	1	"日本"	"日本"	1	27.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"「トレッキングバスケット」と同じ構造を採用した、径が大きめの積雪期用バスケットです。低温でも硬化しにくく割れにくい樹脂製。1個からお求めいただけます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.017	0		""				"スノーバスケット ( 品番 #1140180 )"
"ポイントプロテクター　ウォーキング ( 品番 #1140181 )"	0	""	1	"日本"	"日本"	1	36.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"石突きにかぶせるラバー製のキャップです。推進力を高める形状で、より楽に歩行できます。独自の構造（意匠登録済）で脱落を防止。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.036	0		""				"ポイントプロテクター　ウォーキング ( 品番 #1140181 )"
"ポイントプロテクター ( 品番 #1140152 )"	0	""	1	"日本"	"日本"	1	26.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"石突きにかぶせる柔軟なラバーキャップです。内側に設けた溝にポールの先端の突起が引っ掛かる独自の構造で脱落を防ぎます（意匠登録済）。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.01	0		""				"ポイントプロテクター ( 品番 #1140152 )"
"ポールクリップ ( 品番 #1140154 )"	0	""	1	"日本"	"日本"	1	26.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"収納時に便利な、2本のポールをまとめるためのクリップです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0070	0		""				"ポールクリップ ( 品番 #1140154 )"
"トレッキングバスケット ( 品番 #1140155 )"	0	""	1	"日本"	"日本"	1	26.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"岩の割れ目などにポールが挟まる危険を防ぐ樹脂製バスケットです。ねじ込み式で取り付けやすく、使用中に緩んで外れてしまうといったことが起こりにくい構造です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0070	0		""				"トレッキングバスケット ( 品番 #1140155 )"
"メドーポール ラッセルリング ( 品番 #1140203 )"	0	""	1	"日本"	"日本"	1	81.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"旧モデルの「メドーポール マルチグリップ（1140202）」にお使いいただけるオプション・パーツ。特に深雪での使用に適したメドーポール専用のバスケットです。樹脂製リングと丈夫な牛革ベルトの構成。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.052	0		""				"メドーポール ラッセルリング ( 品番 #1140203 )"
"メドーポール スノーバスケット ( 品番 #1140204 )"	0	""	1	"日本"	"日本"	1	27.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"旧モデルの「メドーポール マルチグリップ」にお使いいただけるオプション・パーツ。低温でも硬化しにくく、雪上を快適に歩けるバスケットです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.012	0		""				"メドーポール スノーバスケット ( 品番 #1140204 )"
"メドーポール スノーバスケット ( 品番 #1140209 )"	0	""	1	"日本"	"日本"	1	31.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"「メドーポール マルチグリップ」「スーパーカーボンポール　パワーロック」にお使いいただけるオプション・パーツ。低温でも硬化しにくく、雪上を快適に歩けるバスケットです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.013	0		""				"メドーポール スノーバスケット ( 品番 #1140209 )"
"スノーフレークバスケット(3.5インチ) ( 品番 #1835198 )"	0	""	1	"日本"	"日本"	1	54.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"パウダースノー（軟雪）用の直径3.5インチ（8.9センチ）の大型スノーバスケットです。（2個1セット）"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"スノーフレークバスケット(3.5インチ) ( 品番 #1835198 )"
"ディスクバスケット(2.5インチ) ( 品番 #1835199 )"	0	""	1	"日本"	"日本"	1	54.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ゲレンデ（硬雪）用の直径2.5インチ（6.4センチ）の小型スノーバスケットです。（2個1セット）"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ディスクバスケット(2.5インチ) ( 品番 #1835199 )"
"トレッキングバスケット ( 品番 #1835200 )"	0	""	1	"日本"	"日本"	1	54.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ブッシュや小石などをひっかけない独自のデザイン。急斜面でも、しっかり地面をグリップします。（2個1セット）"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"トレッキングバスケット ( 品番 #1835200 )"
"デュラフレックスチップ ( 品番 #1835201 )"	0	""	1	"日本"	"日本"	1	103.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"カーボンシャフトポールの交換用フレックスチップ。カーボンプロ、エーデルワイス、ガイド、マウンテンリリー、AC/BC、フリースキーに対応。（2個1セット）"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"デュラフレックスチップ ( 品番 #1835201 )"
