﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"モバイル パワーパック ( 品番 #1124444 )"	0	""	1	"日本"	"日本"	1	197.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"フィールドや外出先、緊急時など、電源のない場所でも携帯電話やスマートフォンをはじめとするモバイル機器を充電できる予備バッテリーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.071	0		""				"モバイル パワーパック ( 品番 #1124444 )"
"ガイド10プラス リチャージングキット ( 品番 #1893108 )"	0	""	1	"日本"	"日本"	1	1212.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"アウトドアシーンで使える革新的なソーラーパワーシステム製品を提供する米国・GOAL ZERO社の製品です。 発電力に優れコンパクトに収納できる折りたたみ式ソーラーパネル「ノマド7」と、バッテリーパック「ガイド10プラス」のセット。付属のループやお手持ちのカラビナを使ってバックパックに取り付けることもできる、ユニークで画期的なポータブル・ソーラーチャージャーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ガイド10プラス リチャージングキット ( 品番 #1893108 )"
"スイッチ8 リチャージングキット ( 品番 #1893107 )"	0	""	1	"日本"	"日本"	1	1077.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"アウトドアシーンで使える革新的なソーラーパワーシステム製品を提供する米国・GOAL ZERO社の製品です。 CDジャケットサイズに折りたためるコンパクト設計のソーラーパネル「ノマド3.5」と、リチウムイオン・バッテリーパック「スイッチ8」のセット。バックパックに取り付けることもできる、ユニークで画期的なポータブル・ソーラーチャージャーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"スイッチ8 リチャージングキット ( 品番 #1893107 )"
"シェルパ50リチャージングキット ( 品番 #1893103 )"	0	""	1	"日本"	"日本"	1	4665.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"アウトドアシーンで使える革新的なソーラーパワーシステム製品を提供する米国・GOAL ZERO社の製品です。 発電力に優れコンパクトに収納できる折りたたみ式ソーラーパネル「ノマド13」と、高性能リチウムイオンバッテリーパック「シェルパ50リチャージャー」のセット。GPSやノートパソコンも充電可能なパワフルな仕様です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"シェルパ50リチャージングキット ( 品番 #1893103 )"
"ボルダー15ソーラーパネル ( 品番 #1893114 )"	0	""	1	"日本"	"日本"	1	1436.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"アウトドアシーンで使える革新的なソーラーパワーシステム製品を提供する米国・GOAL ZERO社の製品です。最大出力15Wのハイパフォーマンスモデル。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ボルダー15ソーラーパネル ( 品番 #1893114 )"
"ボルダー30 ソーラーパネル ( 品番 #1893115 )"	0	""	1	"日本"	"日本"	1	2692.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"アウトドアシーンで使える革新的なソーラーパワーシステム製品を提供する米国・GOAL ZERO社の製品です。軽量アルミパネルにマウントされた、最大出力30Wを発生させるソーラーパネルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		2.9	0		""				"ボルダー30 ソーラーパネル ( 品番 #1893115 )"
"ガイド 10 PLUS デンチナシ ( 品番 #1893139 )"	0	""	1	"日本"	"日本"	1	359.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ニッケル水素充電池用のバッテリーパックです。ゴールゼロ・ノマド7ソーラーパネルや、パソコンなどのUSBポートを持っている機器から単3型/単4型充電池を再充電できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ガイド 10 PLUS デンチナシ ( 品番 #1893139 )"
"ソーラートライポッド ( 品番 #1893158 )"	0	""	1	"日本"	"日本"	1	1794.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"大型パネルの複数使用に不可欠な「ボルダー30」を最大4枚マウントできる三脚です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ソーラートライポッド ( 品番 #1893158 )"
"ガイド10 シリコンスリーブ ( 品番 #1893152 )"	0	""	1	"日本"	"日本"	1	90.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"GOAL ZERO（ゴールゼロ）の「ガイド10プラス アドベンチャーキット」（#1893101）に付属されている電池パック（バッテリーパック）を保護するためのシリコン製ケースです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.08	0		""				"ガイド10 シリコンスリーブ ( 品番 #1893152 )"
