﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ローマーリーシュ ( 品番 #1874416 )"	0	""	1	"日本"	"日本"	1	341.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"犬の動きに合わせて伸び縮みする、ラフウェア独自のウェーブレングスウェビングを採用したリーシュです。カラーやハーネスに片手で素早く安全に装着できるタロンクリップを採用し、持ち手のループは素早く広げてウエストリードに変更することができます。 ※係留用ではありません。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.136	0		""				"ローマーリーシュ ( 品番 #1874416 )"
"フーピーカラー ( 品番 #1874417 )"	0	""	1	"日本"	"日本"	1	207.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"柔らかなテープを利用していますが、非常に高い強度を誇る首輪です。ネームタグ専用のリングが独立して設けられているので、リードの金具とタグがぶつかる不快な音がしません。同素材のフラットアウトリーシュとの併用もおすすめ。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.048	0		""				"フーピーカラー ( 品番 #1874417 )"
"フラットアウトリーシュ ( 品番 #1874418 )"	0	""	1	"日本"	"日本"	1	297.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"持ち手部分のバックルの調節で、ループを素早く広げてウエストリードに変更することが可能です。クリップには片手で素早く安全に着脱できるタロンクリップを採用。犬を引き寄せてコントロールするときにはクリップ近くの二重のベルト部分をハンドルとして使用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.159	0		""				"フラットアウトリーシュ ( 品番 #1874418 )"
"スラックラインリーシュ ( 品番 #1874420 )"	0	""	1	"日本"	"日本"	1	404.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"前方のバックルで長さを調整することができるリーシュです。また、持ち手部分のバックルの調節で、ループを素早く広げてウエストリードに変更することも可能。クリップには片手で素早く安全に着脱できるタロンクリップを採用。 ※係留用ではありません。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.114	0		""				"スラックラインリーシュ ( 品番 #1874420 )"
"ウェブマスターハーネス ( 品番 #1874101 )"	0	""	1	"日本"	"日本"	1	557.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"犬の体格を考慮したデザインにより、愛犬を抱え上げる際に体重が分散しバランスがとりやすいハーネスです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.244	0		""				"ウェブマスターハーネス ( 品番 #1874101 )"
"ドッグキャリーハーネス ( 品番 #1124261 )"	0	""	1	"日本"	"日本"	1	279.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"犬が超えられないような地形に出くわしたときや、負傷して動けないときに活躍する軽量コンパクト・キャリアです。また老犬などの介護用にも便利です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.46	0		""				"ドッグキャリーハーネス ( 品番 #1124261 )"
"ドギーリード S ( 品番 #1124464 )"	0	""	1	"日本"	"日本"	1	180.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"クライミング用のウェビングテープにも使われている高強度素材を採用したリードです。付属のカラビナを用いて腰に巻いたり、たすき掛けにするといった使い方もできます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.08	0		""				"ドギーリード S ( 品番 #1124464 )"
"ドギーリード M ( 品番 #1124465 )"	0	""	1	"日本"	"日本"	1	225.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"クライミング用のウェビングテープにも使われている高強度素材を採用したリードです。バンジーコードを備えることで愛犬への負担を軽減。付属のカラビナを用いて腰に巻いたり、たすき掛けにするといった使い方もできます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.145	0		""				"ドギーリード M ( 品番 #1124465 )"
"ドギーリード L ( 品番 #1124466 )"	0	""	1	"日本"	"日本"	1	252.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"クライミング用のウェビングテープにも使われている高強度素材を採用したリードです。バンジーコードを備えることで愛犬への負担を軽減。付属のカラビナを用いて腰に巻いたり、たすき掛けにするといった使い方もできます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.185	0		""				"ドギーリード L ( 品番 #1124466 )"
