﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"アクアボディ ハーフスリーブシャツ Kid's ( 品番 #1127347 )"	0	""	1	"日本"	"日本"	1	265.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"川や海で元気に遊ぶ子どもたちを冷えや紫外線、擦り傷などから守るウエアです。水に濡れても保水せず、冷えを最小限に抑えることが可能になりました。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.125	0		""				"アクアボディ ハーフスリーブシャツ Kid's ( 品番 #1127347 )"
"アクアボディ ハーフスリーブシャツ Kid's ( 品番 #1127348 )"	0	""	1	"日本"	"日本"	1	240.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"川や海で元気に遊ぶ子どもたちを冷えや紫外線、擦り傷などから守るウエアです。水に濡れても保水せず、冷えを最小限に抑えることが可能になりました。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.093	0		""				"アクアボディ ハーフスリーブシャツ Kid's ( 品番 #1127348 )"
"アクアボディ ロングスリーブシャツ Kid's ( 品番 #1127349 )"	0	""	1	"日本"	"日本"	1	300.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"川や海で元気に遊ぶ子どもたちを冷えや紫外線、擦り傷などから守るウエアです。水に濡れても保水せず、冷えを最小限に抑えることが可能になりました。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.15	0		""				"アクアボディ ロングスリーブシャツ Kid's ( 品番 #1127349 )"
"アクアボディ ロングスリーブシャツ Kid's ( 品番 #1127350 )"	0	""	1	"日本"	"日本"	1	265.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"川や海で元気に遊ぶ子どもたちを冷えや紫外線、擦り傷などから守るウエアです。水に濡れても保水せず、冷えを最小限に抑えることが可能になりました。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.105	0		""				"アクアボディ ロングスリーブシャツ Kid's ( 品番 #1127350 )"
"アクアボディ ショーツ Kid's ( 品番 #1127295 )"	0	""	1	"日本"	"日本"	1	282.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"川や海で元気に遊ぶ子どもたちを冷えや紫外線、擦り傷などから守るウエアです。水に濡れても保水せず、冷えを最小限に抑えることが可能になりました。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.095	0		""				"アクアボディ ショーツ Kid's ( 品番 #1127295 )"
"アクアボディ ショーツ Kid's ( 品番 #1127296 )"	0	""	1	"日本"	"日本"	1	248.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"川や海で元気に遊ぶ子どもたちを冷えや紫外線、擦り傷などから守るウエアです。水に濡れても保水せず、冷えを最小限に抑えることが可能になりました。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.077	0		""				"アクアボディ ショーツ Kid's ( 品番 #1127296 )"
"アクアボディ タイツ Kid's ( 品番 #1127297 )"	0	""	1	"日本"	"日本"	1	308.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"川や海で元気に遊ぶ子どもたちを冷えや紫外線、擦り傷などから守るウエアです。水に濡れても保水せず、冷えを最小限に抑えることが可能になりました。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.155	0		""				"アクアボディ タイツ Kid's ( 品番 #1127297 )"
"アクアボディ タイツ Kid's ( 品番 #1127298 )"	0	""	1	"日本"	"日本"	1	282.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"川や海で元気に遊ぶ子どもたちを冷えや紫外線、擦り傷などから守るウエアです。水に濡れても保水せず、冷えを最小限に抑えることが可能になりました。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.1	0		""				"アクアボディ タイツ Kid's ( 品番 #1127298 )"
"アクアボディ シャツ Baby's ( 品番 #1127299 )"	0	""	1	"日本"	"日本"	1	248.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"夏の水遊びで、冷えや紫外線、擦り傷などから赤ちゃんの体を守るシャツとビブです。水に濡れても生地が保水しにくく、水から出たときの冷えを最小限に抑えることができます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.088	0		""				"アクアボディ シャツ Baby's ( 品番 #1127299 )"
