﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"チュート 0.75L ( 品番 #1821646 )"	0	""	1	"日本"	"日本"	1	153.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"飲み口が小さく、開けやすいため、非常に飲みやすいボトルです。キャップは半回転で開けることができ、また飲み口部分はねじが内側に切られているため、口当たりが非常に滑らかです。キャップにはシリコン製のリーシュが付いており、ふた部分に素早く固定できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.158	0		""				"チュート 0.75L ( 品番 #1821646 )"
"チュート 1.0L ( 品番 #1821647 )"	0	""	1	"日本"	"日本"	1	162.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"飲み口が小さく、開けやすいため、非常に飲みやすいボトルです。キャップは半回転で開けることができ、また飲み口部分はねじが内側に切られているため、口当たりが非常に滑らかです。キャップにはシリコン製のリーシュが付いており、ふた部分に素早く固定できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.182	0		""				"チュート 1.0L ( 品番 #1821647 )"
"ポディウムチルジャケットボトル0.61 ( 品番 #1821648 )"	0	""	1	"日本"	"日本"	1	126.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高い保冷効果を持ちながら、ボトル本体が柔らかいため、飲む動作をストレスなく行えます。飲み口にはジェットバルブを採用。弁を内蔵しており、逆さにしても漏れず、好みの量を吸い出すことができます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.105	0		""				"ポディウムチルジャケットボトル0.61 ( 品番 #1821648 )"
"ポディウムビッグチルボトル0.75L ( 品番 #1821649 )"	0	""	1	"日本"	"日本"	1	144.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高い保冷効果を持ちながら、ボトル本体が柔らかいため、飲む動作をストレスなく行えます。飲み口にはジェットバルブを採用。弁を内蔵しており、逆さにしても漏れず、好みの量を吸い出すことができます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.12	0		""				"ポディウムビッグチルボトル0.75L ( 品番 #1821649 )"
"エディキッズボトル0.4L ( 品番 #1821650 )"	0	""	1	"日本"	"日本"	1	140.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"子ども用のハイドレーション・ボトルです。バルブを噛んで引っ張っても外れないので誤飲の危険が少なく安心です。カラフルで楽しいデザインを揃えました。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.129	0		""				"エディキッズボトル0.4L ( 品番 #1821650 )"
"パフォーマンス ハンズフリー アダプター ( 品番 #1821784 )"	0	""	1	"日本"	"日本"	1	86.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"パフォーマンスボトルハンズフリー用の交換アダプターです。通常のパフォーマンスボトルのバイトバルブと交換してハンズフリーにすることも可能です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"パフォーマンス ハンズフリー アダプター ( 品番 #1821784 )"
"クイックグリップ ( 品番 #1821622 )"	0	""	1	"日本"	"日本"	1	297.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"2重構造のチルジャケット サーマルインシュレーションを内蔵し、保冷に優れます。凹凸の少ない内壁構造でお手入れも簡単です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.132	0		""				"クイックグリップ ( 品番 #1821622 )"
"ベターボトルバルブ&ストロー ( 品番 #1821775 )"	0	""	1	"日本"	"日本"	1	108.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ベターボトルの交換用バルブとストローが各2個ずつ入ったセットです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ベターボトルバルブ&ストロー ( 品番 #1821775 )"
"エディバイトバルブ&ストロー ( 品番 #1821778 )"	0	""	1	"日本"	"日本"	1	108.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"エディシリーズ専用のバイトバルブとストローのスペアパーツです。（2セット入り）"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"エディバイトバルブ&ストロー ( 品番 #1821778 )"
