﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"アンチドートライトリザーバー2.5L ( 品番 #1821712 )"	0	""	1	"日本"	"日本"	1	332.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"初めてリザーバーを使う方におすすめの入門モデル。シンプルでコストパフォーマンスに優れています。ドライヤーアーム、バッフル、クイックリンクシステムは搭載していません。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.16	0		""				"アンチドートライトリザーバー2.5L ( 品番 #1821712 )"
"アンチドートリザーバー1.5L ( 品番 #1821707 )"	0	""	1	"日本"	"日本"	1	359.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"給水・メンテナンスがこれまでになく簡単におこなえるリザーバーです。特許取得済みのビッグバイトバルブをはじめ、ハイドロロック・ハイドロガードなどの最新テクノロジーを駆使してつくりこまれています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.165	0		""				"アンチドートリザーバー1.5L ( 品番 #1821707 )"
"アンチドートリザーバー2.0L ( 品番 #1821708 )"	0	""	1	"日本"	"日本"	1	386.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"給水・メンテナンスがこれまでになく簡単におこなえるリザーバーです。特許取得済みのビッグバイトバルブをはじめ、ハイドロロック・ハイドロガードなどの最新テクノロジーを駆使してつくりこまれています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.18	0		""				"アンチドートリザーバー2.0L ( 品番 #1821708 )"
"アンチドートリザーバー3.0L ( 品番 #1821709 )"	0	""	1	"日本"	"日本"	1	413.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"給水・メンテナンスがこれまでになく簡単におこなえるリザーバーです。特許取得済みのビッグバイトバルブをはじめ、ハイドロロック・ハイドロガードなどの最新テクノロジーを駆使してつくりこまれています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.195	0		""				"アンチドートリザーバー3.0L ( 品番 #1821709 )"
"アンチドートLRリザーバー2.0L ( 品番 #1821710 )"	0	""	1	"日本"	"日本"	1	422.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"横に長い形にデザインされたリザーバーです。ウォーキング・ランニング時に、リザーバー内の液体の上下動が少なく、安定性に優れています。（容量2.0L）"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.18	0		""				"アンチドートLRリザーバー2.0L ( 品番 #1821710 )"
"アンチドートLRリザーバー3.0L ( 品番 #1821711 )"	0	""	1	"日本"	"日本"	1	467.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"横に長い形にデザインされたリザーバーです。ウォーキング・ランニング時に、リザーバー内の液体の上下動が少なく、安定性に優れています。（容量3.0L）"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.187	0		""				"アンチドートLRリザーバー3.0L ( 品番 #1821711 )"
"アンボトル2.0L ( 品番 #1821233 )"	0	""	1	"日本"	"日本"	1	458.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"保冷カバー付きリザーバーです。 どのタイプのバックパックでも収納可能。簡単に追加で補給ができるエクスターナルフィル機能をもつ、外付け可能なモデルです"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.27	0		""				"アンボトル2.0L ( 品番 #1821233 )"
"アンボトル3.0L ( 品番 #1821234 )"	0	""	1	"日本"	"日本"	1	494.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"保冷カバー付きリザーバーです。 どのタイプのバックパックでも収納可能。簡単に追加で補給ができるエクスターナルフィル機能をもつ、外付け可能なモデルです"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.3	0		""				"アンボトル3.0L ( 品番 #1821234 )"
"ストアウェイ2.0L ( 品番 #1821321 )"	0	""	1	"日本"	"日本"	1	512.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"外気温の影響を受けにくくするため、ケース、チューブカバー、バルブカバーが付いたリザーバーです。夏季の液温上昇、冬季や寒冷地での飲料の凍結を遅らせる効果があります。お手持ちのパックに収納して使用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.36	0		""				"ストアウェイ2.0L ( 品番 #1821321 )"
