﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"トライアングルバッグ S ( 品番 #1130379 )"	0	""	1	"日本"	"日本"	1	162.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"トップチューブとシートチューブに簡単に装着でき、フレームのデッドスペースを有効活用することができる、フレームバッグです。ペダリングを妨げず、ストレスなく使用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.08	0		""				"トライアングルバッグ S ( 品番 #1130379 )"
"トライアングルバッグ M ( 品番 #1130380 )"	0	""	1	"日本"	"日本"	1	180.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"トップチューブとシートチューブに簡単に装着でき、フレームのデッドスペースを有効活用することができる、フレームバッグです。ペダリングを妨げず、ストレスなく使用できます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.099	0		""				"トライアングルバッグ M ( 品番 #1130380 )"
"サドルポーチ S ( 品番 #1130381 )"	0	""	1	"日本"	"日本"	1	171.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"工具類などの収納に適したサドル用の軽量ポーチです。乗り降りやペダリングの妨げにならないコンパクトなフォルムを採用し、自転車に簡単に装着することができます。車のライトなどを反射して光るプリント、バックライトホルダー付き。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.07	0		""				"サドルポーチ S ( 品番 #1130381 )"
"サドルポーチ M ( 品番 #1130382 )"	0	""	1	"日本"	"日本"	1	180.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"工具類などの収納に適したサドル用の軽量ポーチです。乗り降りやペダリングの妨げにならないコンパクトなフォルムを採用し、自転車に簡単に装着することができます。車のライトなどを反射して光るプリント、バックライトホルダー付き。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.091	0		""				"サドルポーチ M ( 品番 #1130382 )"
"サドルポーチ L ( 品番 #1130383 )"	0	""	1	"日本"	"日本"	1	189.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"工具類などの収納に適したサドル用の軽量ポーチです。乗り降りやペダリングの妨げにならないコンパクトなフォルムを採用し、自転車に簡単に装着することができます。車のライトなどを反射して光るプリント、バックライトホルダー付き。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.106	0		""				"サドルポーチ L ( 品番 #1130383 )"
"U.L.サドルポーチ ( 品番 #1130384 )"	0	""	1	"日本"	"日本"	1	108.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"工具や小物類の収納に便利な超軽量ポーチです。シートピラーとサドルレールに、ベルクロで簡単に装着することが可能。背面には車のライトなどを反射して光るプリントを施し、視認性を高めています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.049	0		""				"U.L.サドルポーチ ( 品番 #1130384 )"
"フロントバッグ ( 品番 #1130385 )"	0	""	1	"日本"	"日本"	1	270.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ストラップで容易にハンドルバーへ固定できるフロントバッグです。メイン荷室には行動食やレインウエア、小物などが入れられる容量。サイドポケットは予備のチューブなどが収まるサイズです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.211	0		""				"フロントバッグ ( 品番 #1130385 )"
"ヘッドポーチ ( 品番 #1130386 )"	0	""	1	"日本"	"日本"	1	144.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"トップチューブとステムにベルクロで簡単に装着できるポーチです。上部にはスマートフォンやGPSの収納に適したポケットを配置。タッチパネルの操作も可能です。夜間、車のライトなどを反射して光るロゴが視認性を高めます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.116	0		""				"ヘッドポーチ ( 品番 #1130386 )"
"ツーリング フロントバッグ 9 ( 品番 #1130387 )"	0	""	1	"日本"	"日本"	1	440.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ハンドルバーへの着脱はワンタッチで行え、本体荷室と上部のマップケースの開口部はライダー側に設けています。専用のストラップ、レインカバーが付属します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.46	0		""				"ツーリング フロントバッグ 9 ( 品番 #1130387 )"
"ツーリング シートバッグ 9 ( 品番 #1130388 )"	0	""	1	"日本"	"日本"	1	431.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"安定性・軽量性に優れた、ツーリングなどに最適なシートバッグです。装着は底部に設けたベルクロをキャリアに通すだけで簡単に行えます。専用のレインカバーとショルダーベルトが付属します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.33	0		""				"ツーリング シートバッグ 9 ( 品番 #1130388 )"
"ドライ フロントバッグ 8 ( 品番 #1130391 )"	0	""	1	"日本"	"日本"	1	440.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ウェルディング加工を施すことで極めて高い防水性を実現したフロントバッグです。「フロントバッグ マウント」と「フロントバッグ フレーム」を用いて、ハンドルバーの前方にワンタッチで着脱可能。取り外し可能なマップケースとショルダーベルトが付属します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.406	0		""				"ドライ フロントバッグ 8 ( 品番 #1130391 )"
"ドライ サイドバッグ 20 ( 品番 #1130392 )"	0	""	1	"日本"	"日本"	1	969.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ウェルディング加工を施すことで極めて高い防水性を実現したサイドバッグです。付属のアタッチメントをキャリアにフックするだけで、前輪・後輪の両サイドに簡単に装着でき、確実にホールドします。 2個1セット。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.26	0		""				"ドライ サイドバッグ 20 ( 品番 #1130392 )"
"ドライ サイドバッグ 40 ( 品番 #1130393 )"	0	""	1	"日本"	"日本"	1	1059.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ウェルディング加工を施すことで極めて高い防水性を実現したサイドバッグです。付属のアタッチメントをキャリアにフックするだけで、前輪・後輪の両サイドに簡単に装着でき、確実にホールドします。 2個1セット。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.58	0		""				"ドライ サイドバッグ 40 ( 品番 #1130393 )"
"ドライ シートバッグ 10 ( 品番 #1130394 )"	0	""	1	"日本"	"日本"	1	440.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ウェルディング加工を施すことで極めて高い防水性を備えたシートパックです。キャリアへの取り付けは簡単に行え、しっかりと固定することができます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.43	0		""				"ドライ シートバッグ 10 ( 品番 #1130394 )"
"ドライ サドルバッグ S ( 品番 #1130395 )"	0	""	1	"日本"	"日本"	1	175.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"専用のアタッチメント付きで簡単に着脱できるサドルバッグです。気密性の高い仕様で、濡らしたくないアイテムの収納に適しています。車のライトなどを反射して光るプリントを施し、視認性を高めています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.145	0		""				"ドライ サドルバッグ S ( 品番 #1130395 )"
"ドライ サドルバッグ M ( 品番 #1130396 )"	0	""	1	"日本"	"日本"	1	184.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"専用のアタッチメント付きで簡単に着脱できるサドルバッグです。気密性の高い仕様で、濡らしたくないアイテムの収納に適しています。車のライトなどを反射して光るプリントを施し、視認性を高めています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.173	0		""				"ドライ サドルバッグ M ( 品番 #1130396 )"
"ドライ サドルバッグ L ( 品番 #1130397 )"	0	""	1	"日本"	"日本"	1	193.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"専用のアタッチメント付きで簡単に着脱できるサドルバッグです。気密性の高い仕様で、濡らしたくないアイテムの収納に適しています。車のライトなどを反射して光るプリントを施し、視認性を高めています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.205	0		""				"ドライ サドルバッグ L ( 品番 #1130397 )"
"フロントバッグ マウント ( 品番 #1130406 )"	0	""	1	"日本"	"日本"	1	135.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"「ツーリング フロントバッグ 9」と「ドライ フロントバッグ 8」をハンドルバーに装着するためのマウントとフレームです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.14	0		""				"フロントバッグ マウント ( 品番 #1130406 )"
"フロントポーチ M マウントセット ( 品番 #1130360 )"	0	""	1	"日本"	"日本"	1	291.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"防水性の高いアクアテクト ジッパーを採用したポーチです。フラップが不要なので開閉しやすく、フルオープン時も中の物がこぼれ落ちないよう両サイドには三角マチを設けています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.45	0		""				"フロントポーチ M マウントセット ( 品番 #1130360 )"
"フロントポーチ L マウントセット ( 品番 #1130361 )"	0	""	1	"日本"	"日本"	1	308.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"防水性の高いアクアテクト ジッパーを採用したポーチです。フラップが不要なので開閉しやすく、フルオープン時も中の物がこぼれ落ちないよう両サイドには三角マチを設けています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.5	0		""				"フロントポーチ L マウントセット ( 品番 #1130361 )"
"ステムバッグ ( 品番 #1130251 )"	0	""	1	"日本"	"日本"	1	180.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ハンドルステムにベルクロで簡単に取り付けられるバッグです。開閉口が手前にあるので、物の出し入れが簡単に行え、工具やウインドブレーカーなどを入れるのに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.18	0		""				"ステムバッグ ( 品番 #1130251 )"
