﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ターポン100 アングラー ( 品番 #1844535 )"	0	""	1	"日本"	"日本"	1	10047.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ウィルダネスシステムズが誇るベストセラーのシット・オン・トップカヤック、ターポンシリーズに、ロッドホルダーやフラッグなどが標準装備されたモデルです。 すぐにでもフィッシングに行きたい人に最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		27.0	0		""				"ターポン100 アングラー ( 品番 #1844535 )"
"ターポン120 アングラー ( 品番 #1844536 )"	0	""	1	"日本"	"日本"	1	11841.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ウィルダネスシステムズが誇るベストセラーのシット・オン・トップカヤック、ターポンシリーズに、ロッドホルダーやフラッグなどが標準装備されたモデルです。 すぐにでもフィッシングに行きたい人に最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		32.0	0		""				"ターポン120 アングラー ( 品番 #1844536 )"
"ターポン140 アングラー ( 品番 #1844537 )"	0	""	1	"日本"	"日本"	1	13007.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ウィルダネスシステムズが誇るベストセラーのシット・オン・トップカヤック、ターポンシリーズに、ロッドホルダーやフラッグなどが標準装備されたモデルです。 すぐにでもフィッシングに行きたい人に最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		34.0	0		""				"ターポン140 アングラー ( 品番 #1844537 )"
"トライブ9.5 アングラー ( 品番 #1845556 )"	0	""	1	"日本"	"日本"	1	6997.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コストパフォーマンスに優れ、シンプルで扱いやすい、人気のトライブシリーズのアングラーモデルです。カヤックフィッシングのスターターモデルとして、磯遊び、素潜り、カヤックフィッシングに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		21.0	0		""				"トライブ9.5 アングラー ( 品番 #1845556 )"
"トライブ11.5 アングラー ( 品番 #1845557 )"	0	""	1	"日本"	"日本"	1	7894.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コストパフォーマンスに優れ、シンプルで扱いやすい、人気のトライブシリーズのアングラーモデルです。カヤックフィッシングのスターターモデルとして、磯遊び、素潜り、カヤックフィッシングに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		24.0	0		""				"トライブ11.5 アングラー ( 品番 #1845557 )"
"ターポン100 ( 品番 #1844529 )"	0	""	1	"日本"	"日本"	1	8253.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"最小ボディにフルサイズと変わらぬ装備を搭載したシット・オン・トップ・カヤック。本場アメリカの権威あるカヤック専門誌「シーカヤックマガジン」の「読者が選ぶベスト・シット・オン・トップ賞」に選ばれています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		25.0	0		""				"ターポン100 ( 品番 #1844529 )"
"ターポン120 ( 品番 #1844530 )"	0	""	1	"日本"	"日本"	1	10047.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"最もバランスのとれたターポンシリーズのスタンダード。本場アメリカの権威あるカヤック専門誌「シーカヤックマガジン」の「読者が選ぶベスト・シット・オン・トップ賞」に選ばれています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		29.0	0		""				"ターポン120 ( 品番 #1844530 )"
"ターポン140 ( 品番 #1844531 )"	0	""	1	"日本"	"日本"	1	11213.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"大積載量・ハイスピードを誇る大物フィッシング向きベスト・シット・オン・トップ・カヤック。本場アメリカの権威あるカヤック専門誌「シーカヤックマガジン」の「読者が選ぶベスト・シット・オン・トップ賞」に選ばれています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		31.0	0		""				"ターポン140 ( 品番 #1844531 )"
"トライブ9.5 ( 品番 #1845553 )"	0	""	1	"日本"	"日本"	1	5831.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"漕ぎやすくて楽しく、軽くてリーズナブルなトライブ・シリーズ。磯遊びや素潜りのお供に、カヤックフィッシング用のベース艇としても好評です！"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		21.0	0		""				"トライブ9.5 ( 品番 #1845553 )"
"トライブ11.5 ( 品番 #1845554 )"	0	""	1	"日本"	"日本"	1	6728.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"漕ぎやすくて楽しく、軽くてリーズナブルなトライブ・シリーズ。磯遊びや素潜りのお供に、カヤックフィッシング用のベース艇としても好評です！　※1人乗り艇です"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		24.0	0		""				"トライブ11.5 ( 品番 #1845554 )"
"トライブ13.5 ( 品番 #1845555 )"	0	""	1	"日本"	"日本"	1	7356.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"漕ぎやすくて楽しく、軽くてリーズナブルなトライブ・シリーズ。磯遊びや素潜りのお供に、カヤックフィッシング用のベース艇としても好評です！"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		30.0	0		""				"トライブ13.5 ( 品番 #1845555 )"
