﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"テンペスト165プロ ( 品番 #1844315 )"	0	""	1	"日本"	"日本"	1	26731.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高いスピード性能と安定性を併せ持つ、トータルバランスに優れたスケグ仕様のツーリングカヤックです。2次安定性に優れており、快適なシートとあいまって長時間のパドリングでも疲労を軽減してくれます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		22.0	0		""				"テンペスト165プロ ( 品番 #1844315 )"
"アルト175PRO(ラダー付) ( 品番 #1844321 )"	0	""	1	"日本"	"日本"	1	24937.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ショートツーリングはもちろん、キャンプしながらのロングツーリングにも対応できる、FRP製の本格的なツーリングカヤックです。船体は堅ろうで耐久性に優れています。高い安定性を確保しながら、ターンの切れやスピード面でも高い性能を発揮します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		26.0	0		""				"アルト175PRO(ラダー付) ( 品番 #1844321 )"
"テンペスト170PRO ( 品番 #1844322 )"	0	""	1	"日本"	"日本"	1	26731.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高いスピード性能と安定性を併せ持つ、トータルバランスに優れたスケグ仕様のツーリングカヤックです。2次安定性に優れており、快適なシートとあいまって長時間のパドリングでも疲労を軽減してくれます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		23.0	0		""				"テンペスト170PRO ( 品番 #1844322 )"
"アルケミー14.0S ( 品番 #1843513 )"	0	""	1	"日本"	"日本"	1	13366.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"初心者パドラーにもベテランパドラー対応する安定性・ターン性に優れるモデル。ショートツーリングに充分な積載能力を持ち、快適なクルージングが楽しめるカヤックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		23.0	0		""				"アルケミー14.0S ( 品番 #1843513 )"
"ノーススター（ラダーツキ） ( 品番 #1844310 )"	0	""	1	"日本"	"日本"	1	25116.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"安心して乗れる優れた安定性。大量の荷物が積める大容量の荷室。快適なパドリングと座り心地が楽しめる座席周り。ロングツーリングに対応する、2人乗りツーリングカヤックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		43.0	0		""				"ノーススター（ラダーツキ） ( 品番 #1844310 )"
"テンペスト170 ( 品番 #1844311 )"	0	""	1	"日本"	"日本"	1	16864.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"シャープな外見どおりの高いスピード性能と高い安定性能を持つカヤックです。快適なシートとあいまって、長時間のパドリングでも疲労を軽減してくれます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		25.0	0		""				"テンペスト170 ( 品番 #1844311 )"
"ツナミ140（ラダーツキ） ( 品番 #1844312 )"	0	""	1	"日本"	"日本"	1	14352.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"小柄なパドラーの方にも非常に漕ぎやすく快適な操作性を持っています。安定性を重視したデザインと快適なシートがすばらしい乗り心地を発揮します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		27.0	0		""				"ツナミ140（ラダーツキ） ( 品番 #1844312 )"
"アルト165プロ(ラダーツキ) ( 品番 #1844316 )"	0	""	1	"日本"	"日本"	1	24937.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"本格的なFRP艇。最高の性能を実現したロングツーリングカヤック"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"アルト165プロ(ラダーツキ) ( 品番 #1844316 )"
"アルト160プロ(ラダーツキ) ( 品番 #1844317 )"	0	""	1	"日本"	"日本"	1	24937.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"本格的なFRP艇。最高の性能を実現したロングツーリングカヤック"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"アルト160プロ(ラダーツキ) ( 品番 #1844317 )"
