﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"MOBIUS 49 ( 品番 #1844067 )"	0	""	1	"日本"	"日本"	1	13097.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"連続したフリースタイルムーブを生み出す、最新のフリースタイルカヤックです。フリースタイル初心者がスピーディに技術を習得することを可能にし、熟練者も満足できる一艇です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		14.0	0		""				"MOBIUS 49 ( 品番 #1844067 )"
"MOBIUS 57 ( 品番 #1844068 )"	0	""	1	"日本"	"日本"	1	13097.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"連続したフリースタイルムーブを生み出す、最新のフリースタイルカヤックです。フリースタイル初心者がスピーディに技術を習得することを可能にし、熟練者も満足できる一艇です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		15.0	0		""				"MOBIUS 57 ( 品番 #1844068 )"
"グリーンボート ( 品番 #1843234 )"	0	""	1	"日本"	"日本"	1	12644.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"“チームダガー”専用艇として設計・開発されたカヤック。長い艇身と適度なロッカーは長距離ダウンリバーや、ビッグウォーターダウンリバーに抜群の性能を発揮。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		23.0	0		""				"グリーンボート ( 品番 #1843234 )"
"マンバ7.6 ( 品番 #1843235 )"	0	""	1	"日本"	"日本"	1	12379.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"世界中のインストラクターが認める代表的リバーランニングカヤック"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"マンバ7.6 ( 品番 #1843235 )"
"マンバ8.1 ( 品番 #1843236 )"	0	""	1	"日本"	"日本"	1	12379.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"世界中のインストラクターが認める代表的リバーランニングカヤック"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"マンバ8.1 ( 品番 #1843236 )"
"JITSU 5.5 ( 品番 #1843237 )"	0	""	1	"日本"	"日本"	1	12379.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ウェーブ、ホールともに強い理想のフリースタイルカヤック"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"JITSU 5.5 ( 品番 #1843237 )"
"JITSU 5.9 ( 品番 #1843238 )"	0	""	1	"日本"	"日本"	1	12379.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ウェーブ、ホールともに強い理想のフリースタイルカヤック"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"JITSU 5.9 ( 品番 #1843238 )"
"AXIOM 8.0 ( 品番 #1843242 )"	0	""	1	"日本"	"日本"	1	11482.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"クイック＆スピーディなリバーランニングが味わえるカヤックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		16.0	0		""				"AXIOM 8.0 ( 品番 #1843242 )"
"AXIOM 8.5 ( 品番 #1843243 )"	0	""	1	"日本"	"日本"	1	11482.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"クイック＆スピーディなリバーランニングが味わえるカヤックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		20.0	0		""				"AXIOM 8.5 ( 品番 #1843243 )"
"フューズ35 ( 品番 #1844054 )"	0	""	1	"日本"	"日本"	1	7446.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ダウンリバーカヤックとフリースタイルカヤックの“ハイブリッド”カヤックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		12.0	0		""				"フューズ35 ( 品番 #1844054 )"
