﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"KATANA 9.7 ( 品番 #1843246 )"	0	""	1	"日本"	"日本"	1	11482.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"穏やかな水域でのレクリエーショナルカヤックから、1～2級クラスのダウンリバーまで楽しめる、入門者向けモデルです。出し入れ可能なスケグを装備し、コックピット内には小物が収納できる小さなバッグが付属しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		21.0	0		""				"KATANA 9.7 ( 品番 #1843246 )"
"ザイディゴ9.0 ( 品番 #1843715 )"	0	""	1	"日本"	"日本"	1	5562.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"湖や川のトロ場など静水域での安定性とコントロールの良さはもちろん、流れのある川や、穏やかな海の沿岸部分（スプレースカートの装着が必要です）でも快適に楽しむことのできる入門者向けモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		16.5	0		""				"ザイディゴ9.0 ( 品番 #1843715 )"
"コンディット 14.0 タンデム ( 品番 #1845681 )"	0	""	1	"日本"	"日本"	1	8881.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"キッズシートが付属した、ファミリーにうってつけの2.5人乗りレクリエーショナルカヤックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		36.0	0		""				"コンディット 14.0 タンデム ( 品番 #1845681 )"
"パムリコ135T ( 品番 #1844519 )"	0	""	1	"日本"	"日本"	1	10765.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コンパクトなボディに本格装備を掲載した2人乗りレクリエーショナルカヤックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		33.0	0		""				"パムリコ135T ( 品番 #1844519 )"
"ASPIRE 100 ( 品番 #1844527 )"	0	""	1	"日本"	"日本"	1	7894.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"流れのない湖でも、流れのある川でも楽しく漕げる、シット・イン・カヤック"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ASPIRE 100 ( 品番 #1844527 )"
"トリビュート10.0 ( 品番 #1845667 )"	0	""	1	"日本"	"日本"	1	8970.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"小柄な方や女性が快適にパドリングを楽しめるように、人間工学に基づいて設計されました。短い艇身ながらスピード性能もよく、軽量でカートップの積み降ろしも楽になりました。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		17.0	0		""				"トリビュート10.0 ( 品番 #1845667 )"
"プロディジー2 14.5 ( 品番 #1845670 )"	0	""	1	"日本"	"日本"	1	11661.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ファミリーにうってつけの2.5人乗りレクリエーショナルカヤックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		33.0	0		""				"プロディジー2 14.5 ( 品番 #1845670 )"
"チャーター10.0 ( 品番 #1845672 )"	0	""	1	"日本"	"日本"	1	4306.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"乗りやすさと安心と楽しさをもっともリーズナブルにお届けするカヤックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		18.0	0		""				"チャーター10.0 ( 品番 #1845672 )"
"プロディジー13.5 ( 品番 #1845673 )"	0	""	1	"日本"	"日本"	1	8970.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"子供や愛犬とカヤックにのりたい！ そんな声に応えた1.5人乗りクラスのカヤックです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		28.0	0		""				"プロディジー13.5 ( 品番 #1845673 )"
