﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"エクスプローラー16LT（ウッド） ( 品番 #1841121 )"	0	""	1	"日本"	"日本"	1	19735.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"デイ・ツーリングからロングトリップまで、また、ゆるやかな流れの川から湖に代表されるフラットウォーター（静水）まで、しかもソロからタンデムまでを十分にこなすことができる、マッドリバーを代表するオールラウンド・モデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		31.0	0		""				"エクスプローラー16LT（ウッド） ( 品番 #1841121 )"
"セレナーデ 13GLS（アルミ） ( 品番 #1841122 )"	0	""	1	"日本"	"日本"	1	16595.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"FRP製のカヌーに、カヤックのシートとフットブレイスを組み合わせました。シングルパドルでもダブルパドルでも快適に漕ぐことができます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		19.0	0		""				"セレナーデ 13GLS（アルミ） ( 品番 #1841122 )"
"エクスプローラー15フィート ( 品番 #1841178 )"	0	""	1	"日本"	"日本"	1	17761.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"積載能力、安定性、操作性、さらに耐久性に優れたオールラウンドモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		28.0	0		""				"エクスプローラー15フィート ( 品番 #1841178 )"
"アドベンチャー16 ( 品番 #1841186 )"	0	""	1	"日本"	"日本"	1	10316.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ポリエチレン製のまったく新しいカヌーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		38.0	0		""				"アドベンチャー16 ( 品番 #1841186 )"
"アドベンチャー14 ( 品番 #1841187 )"	0	""	1	"日本"	"日本"	1	8791.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"カナディアンカヌーの楽しさをより手軽に簡単に味わえる、レクリエーショナルタイプのカナディアンカヌーです。取り回しにすぐれたコンパクトなサイズはフィッシングやレクリエーションに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		34.0	0		""				"アドベンチャー14 ( 品番 #1841187 )"
"アウトレイジ(ビニール) ( 品番 #1841203 )"	0	""	1	"日本"	"日本"	1	15249.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"激流と戯れることを目的に開発されたホワイトウォーター用のカナディアン・カヌーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		23.5	0		""				"アウトレイジ(ビニール) ( 品番 #1841203 )"
"ジャーニー156TT ( 品番 #1841205 )"	0	""	1	"日本"	"日本"	1	12110.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"本格的なスタイルを持つレクリエーショナルユースのカナディアンカヌーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		38.0	0		""				"ジャーニー156TT ( 品番 #1841205 )"
"エクスプローラーRX16(ビニール) ( 品番 #1841207 )"	0	""	1	"日本"	"日本"	1	16146.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"手間がかからず、非常にメンテナンス性の高いビニールガンネル仕様のカヌーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		33.0	0		""				"エクスプローラーRX16(ビニール) ( 品番 #1841207 )"
"エクスプローラーRX15(ビニール) ( 品番 #1841208 )"	0	""	1	"日本"	"日本"	1	15249.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"手間がかからず、非常にメンテナンス性の高いビニールガンネル仕様のカヌーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		28.0	0		""				"エクスプローラーRX15(ビニール) ( 品番 #1841208 )"
