﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ユーコンパドル カーボン ( 品番 #2351112 )"	0	""	1	"日本"	"日本"	1	2602.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ツーリングに最適なパドルです。ブレード面積が大きく、川でも安心して使えます。カーボンを使用した軽量モデル。（2ピース）"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.693	0		""				"ユーコンパドル カーボン ( 品番 #2351112 )"
"レックパドル　Ｋｉｄ'ｓ ( 品番 #2351114 )"	0	""	1	"日本"	"日本"	1	252.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"子ども用のお求めやすい価格のパドルです。左右が分かりやすいように、ドロップリングの色を変えてあります。（2ピースパドル）"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.99	0		""				"レックパドル　Ｋｉｄ'ｓ ( 品番 #2351114 )"
"XCEPTION SUPERLIGHT ( 品番 #1852712 )"	0	""	1	"日本"	"日本"	1	5383.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ATのツーリングパドル中、最軽量のフルカーボンモデルです。＜AT エリートシリーズ＞"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.794	0		""				"XCEPTION SUPERLIGHT ( 品番 #1852712 )"
"EXODUS SUPERLIGHT ( 品番 #1852713 )"	0	""	1	"日本"	"日本"	1	5383.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"大きなブレードを持ちパワフルかつブレのないストロークを行える軽量パドル。＜AT エリートシリーズ＞"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.852	0		""				"EXODUS SUPERLIGHT ( 品番 #1852713 )"
"XCEPTION STANDARD ( 品番 #1852714 )"	0	""	1	"日本"	"日本"	1	4216.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"カーボンファイバーとケブラーで構成されたシャフトと、ファイバーグラス製のファームコアブレードのユニークな組み合わせのバランスのとれたツーリングパドル。＜AT エリートシリーズ＞"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.852	0		""				"XCEPTION STANDARD ( 品番 #1852714 )"
"EXODUS STANDARD ( 品番 #1852715 )"	0	""	1	"日本"	"日本"	1	4216.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"大きなブレードを持ちパワフルかつブレのないストロークを行えるパドル。＜AT エリートシリーズ＞"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.909	0		""				"EXODUS STANDARD ( 品番 #1852715 )"
"EXODUS FISHSTIX ( 品番 #1852716 )"	0	""	1	"日本"	"日本"	1	4216.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"パドル全体にカモフラージュ模様が施されている、カヤックアングラーに好評のEXODUSモデル。＜AT エリートシリーズ＞"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.909	0		""				"EXODUS FISHSTIX ( 品番 #1852716 )"
"QUEST CARBON ( 品番 #1852717 )"	0	""	1	"日本"	"日本"	1	3858.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ブレードの素材はフォームコアを使わずに、カーボンファイバーと樹脂のみで作られています。フォームコア製に次いで軽量に作ることができ、非常に頑丈で衝撃にも強く、高い耐久性を実現したパドルです。＜アドバンスドシリーズ＞"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.781	0		""				"QUEST CARBON ( 品番 #1852717 )"
"QUEST CARBONストレートシャフト ( 品番 #1852718 )"	0	""	1	"日本"	"日本"	1	3140.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ブレードの素材はフォームコアを使わずに、カーボンファイバーと樹脂のみで作られています。フォームコア製に次いで軽量に作ることができ、非常に頑丈で衝撃にも強く、高い耐久性を実現したパドルです。＜アドバンスドシリーズ＞"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.781	0		""				"QUEST CARBONストレートシャフト ( 品番 #1852718 )"
