﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"リバーランナー ( 品番 #1127558 )"	0	""	1	"日本"	"日本"	1	675.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"リバーランニングやツーリングなどに適した、高い汎用性と耐久性を誇るライフジャケットです。フロントオープンで着脱しやすい仕様です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.74	0		""				"リバーランナー ( 品番 #1127558 )"
"リバーランナー プロ ( 品番 #1127559 )"	0	""	1	"日本"	"日本"	1	940.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"リバーガイドやレスキュー隊の意見を取り入れ開発された、運動性・機能性・収納力の高いモデルです。別売りの「カウテール」や「シートウイングライン」の装着も可能で、胸部分に大型ポケット、左肩部にナイフホルダーを搭載しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		1.15	0		""				"リバーランナー プロ ( 品番 #1127559 )"
"アクアバット ( 品番 #1127560 )"	0	""	1	"日本"	"日本"	1	582.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高い浮力を持ちながら、激流下りやフリースタイルプレイなどの激しい動きにも対応する、シンプルなサイドオープン仕様のライフジャケットです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.72	0		""				"アクアバット ( 品番 #1127560 )"
"アクアバット プロ ( 品番 #1127561 )"	0	""	1	"日本"	"日本"	1	761.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"「アクアバット」にレスキューベルトを搭載し、運動性と収納力、レスキュー機能を備えたモデルです。別売の「カウテール」や「トウイングライン」の装着も可能で、胸部分に大型ポケットと、腹部にナイフホルダーなどを搭載しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.91	0		""				"アクアバット プロ ( 品番 #1127561 )"
"アクアファン ( 品番 #1127562 )"	0	""	1	"日本"	"日本"	1	496.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ダウンリバーやツーリングなどさまざまな場面で気軽に使用できるフロントオープン仕様のモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.67	0		""				"アクアファン ( 品番 #1127562 )"
"フリーダム ( 品番 #1127563 )"	0	""	1	"日本"	"日本"	1	530.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"フリー・アジャスト・システムを採用し、XSからXXLサイズの方まで幅広く対応でき、さまざまな用途に使用できるフリーサイズのライフジャケットです。着脱しやすいフロントオープン仕様です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.78	0		""				"フリーダム ( 品番 #1127563 )"
"ビッグウェイブ ( 品番 #1127566 )"	0	""	1	"日本"	"日本"	1	940.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"シーカヤッカーの内田正洋さんの意見を採り入れ、ツーリングを快適に行うための機能を追求したベストです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.97	0		""				"ビッグウェイブ ( 品番 #1127566 )"
"マーメイド ( 品番 #1127567 )"	0	""	1	"日本"	"日本"	1	880.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"女性カヤッカーの意見を採り入れ、女性が快適・安全にパドルスポーツを楽しむために開発されたベスト。浮力体の形状を女性の体のラインに合わせて立体形成することで胸の圧迫感を解消しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.91	0		""				"マーメイド ( 品番 #1127567 )"
"アクアライト ( 品番 #1127568 )"	0	""	1	"日本"	"日本"	1	582.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"スラロームなどの競技や、フリースタイルカヤッキングなどに最適な軽量ライフジャケットです。アームホールを大きく取ることで激しい動きも妨げず、快適なパドリングを実現しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.68	0		""				"アクアライト ( 品番 #1127568 )"
