﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"トレントフライヤー ジャケット Men's ( 品番 #1128336 )"	0	""	1	"日本"	"日本"	1	1750.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"世界最高水準の防水透湿性と抜群の軽量コンパクト性を誇るパックライトプロダクト テクノロジーを採用し、世界最軽量・最小収納サイズ※を実現したオールウエザー・クロージングです。 （※ゴアテックスメンブレンを使用したレインウエアにおいて。2014年1月モンベル調べ）"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.205	0		""				"トレントフライヤー ジャケット Men's ( 品番 #1128336 )"
"トレントフライヤー ジャケット Women's ( 品番 #1128337 )"	0	""	1	"日本"	"日本"	1	1750.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"世界最高水準の防水透湿性と抜群の軽量コンパクト性を誇るパックライトプロダクト テクノロジーを採用し、世界最軽量・最小収納サイズ※を実現したオールウエザー・クロージングです。 ※ゴアテックスメンブレンを使用したレインウエアにおいて。2014年1月モンベル調べ"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.187	0		""				"トレントフライヤー ジャケット Women's ( 品番 #1128337 )"
"トレントフライヤー パンツ Men's ( 品番 #1128338 )"	0	""	1	"日本"	"日本"	1	1301.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"世界最高水準の防水透湿性と抜群の軽量コンパクト性を誇るパックライトプロダクト テクノロジーを採用し、世界最軽量・最小収納サイズ※を実現したオールウエザー・クロージングです。 ※ゴアテックスメンブレンを使用したレインウエアにおいて。2014年1月モンベル調べ"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.161	0		""				"トレントフライヤー パンツ Men's ( 品番 #1128338 )"
"トレントフライヤー パンツ Women's ( 品番 #1128339 )"	0	""	1	"日本"	"日本"	1	1301.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"世界最高水準の防水透湿性と抜群の軽量コンパクト性を誇るパックライトプロダクト テクノロジーを採用し、世界最軽量・最小収納サイズ※を実現したオールウエザー・クロージングです。 ※ゴアテックスメンブレンを使用したレインウエアにおいて。2014年1月モンベル調べ"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.149	0		""				"トレントフライヤー パンツ Women's ( 品番 #1128339 )"
"レイントレッカー Kid's ( 品番 #1128358 )"	0	""	1	"日本"	"日本"	1	619.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"カラフルな配色で雨の日のお出掛けも楽しくなるレインスーツです。3レイヤーの高い防水透湿性を備えた生地を使用しているため、裏面の肌離れもよく快適な着心地。車のライトなどを反射して光るロゴやテープを配することで安全面にも配慮しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.268	0		""				"レイントレッカー Kid's ( 品番 #1128358 )"
"フィールド レインアノラック ( 品番 #1132101 )"	0	""	1	"日本"	"日本"	1	1669.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"世界最高レベルの防水透湿性を実現したゴアテックスファブリクスを採用し、機能性と耐久性を追求した、農業などの野外作業に最適なレインウエアです。一般的な生地と比較して3倍以上の耐摩耗性を誇るモンベル独自のシェル素材を採用。前身頃に大容量のポケットを設けています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.395	0		""				"フィールド レインアノラック ( 品番 #1132101 )"
"フィールド レインジャケット ( 品番 #1132102 )"	0	""	1	"日本"	"日本"	1	1705.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"世界最高レベルの防水透湿性を実現したゴアテックスファブリクスを採用し、機能性と耐久性を追求した、農業などの野外作業に最適なレインウエアです。一般的な生地と比較して3倍以上の耐摩耗性を誇るモンベル独自のシェル素材を採用。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.438	0		""				"フィールド レインジャケット ( 品番 #1132102 )"
"フィールド レインビブ ( 品番 #1132103 )"	0	""	1	"日本"	"日本"	1	1507.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"世界最高レベルの防水透湿性を実現したゴアテックスファブリクスを採用し、機能性と耐久性を追求した、農業などの野外作業に最適なレインウエアです。一般的な生地と比較して3倍以上の耐摩耗性を誇るモンベル独自のシェル素材を採用。水を使った作業時にも活躍するビブタイプです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.381	0		""				"フィールド レインビブ ( 品番 #1132103 )"
"ストームクルーザー ジャケット Men's ( 品番 #1128256 )"	0	""	1	"日本"	"日本"	1	1660.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量化と耐久性の向上にこだわり、レインウエアとしての機能を極めた全天候型のジャケットです。ウインドブレーカーや防寒着としても活躍する汎用性の高いモデルです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.28	0		""				"ストームクルーザー ジャケット Men's ( 品番 #1128256 )"
