﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"GORE-TEX バードビルキャップ ( 品番 #1128508 )"	0	""	1	"日本"	"日本"	1	274.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"すっきりとしたデザインで、フィット感に優れる全天候型キャップです。本体とツバの接合部にもシームテープ処理を施すことで高い防水性を確保しています。樹脂製の芯を入れたツバは、好みの角度に曲げることができ、収納時はコンパクトに丸めておくことも可能。車のライトなどを反射して光るロゴを設け、夜間の視認性を高めています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"GORE-TEX バードビルキャップ ( 品番 #1128508 )"
"GORE-TEX メドーキャップ ( 品番 #1128509 )"	0	""	1	"日本"	"日本"	1	297.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コットンのような落ち着いた風合いの生地を採用した全天候型キャップです。本体とツバの接合部を含む全ての縫い目にシームテープ処理を施すことで高い防水性を確保。メッシュの裏地を設けているため、汗をかいても快適なかぶり心地です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"GORE-TEX メドーキャップ ( 品番 #1128509 )"
"GORE-TEX メドーハット Men's ( 品番 #1128510 )"	0	""	1	"日本"	"日本"	1	332.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コットンのような落ち着いた風合いの生地を採用した全天候型ハットです。本体とツバの接合部を含む全ての縫い目にシームテープ処理を施すことで高い防水性を確保。メッシュの裏地を設けているため、汗をかいても快適なかぶり心地です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"GORE-TEX メドーハット Men's ( 品番 #1128510 )"
"GORE-TEX メドーハット Women's ( 品番 #1128511 )"	0	""	1	"日本"	"日本"	1	306.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コットンのような落ち着いた風合いの生地を採用した全天候型ハットです。本体とツバの接合部を含む全ての縫い目にシームテープ処理を施すことで高い防水性を確保。メッシュの裏地を設けているため、汗をかいても快適なかぶり心地です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"GORE-TEX メドーハット Women's ( 品番 #1128511 )"
"GORE-TEX クラッシャーハット Men's ( 品番 #1128512 )"	0	""	1	"日本"	"日本"	1	332.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"襟元への不快な雨だれを防ぐ全天候型ハットです。本体とひさしの接合部にもシームテープ処理を施し高い防水性を確保。ひさしには厚みのある芯を入れていないため、使用しないときはコンパクトにまとめておくことができます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"GORE-TEX クラッシャーハット Men's ( 品番 #1128512 )"
"GORE-TEX クラッシャーハット Women's ( 品番 #1128513 )"	0	""	1	"日本"	"日本"	1	297.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"襟元への不快な雨だれを防ぐ全天候型ハットです。本体とひさしの接合部にもシームテープ処理を施し高い防水性を確保。ひさしには厚みのある芯を入れていないため、使用しないときはコンパクトにまとめておくことができます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"GORE-TEX クラッシャーハット Women's ( 品番 #1128513 )"
"GORE-TEX ストームハット ( 品番 #1128514 )"	0	""	1	"日本"	"日本"	1	341.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"柔らかな芯を入れた大きなひさしで襟元への不快な雨だれを防ぐ全天候型ハットです。本体とひさしの接合部にもシームテープ処理を施すことで高い防水性を確保しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"GORE-TEX ストームハット ( 品番 #1128514 )"
"ストームハット Kid's ( 品番 #1128515 )"	0	""	1	"日本"	"日本"	1	234.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"レインウエアのフードをかぶるのが苦手な子どもにおすすめの、防水透湿性を備えたハットです。ひさし後部をやや長めに設定したデザインで、襟首への不快な雨だれも防ぎます。夜間の安全性を高める反射マークとあごひもを通せるループ付き。 ※縫い目には防水処理を施していません。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"ストームハット Kid's ( 品番 #1128515 )"
"GORE-TEX ワークキャップ ( 品番 #1128516 )"	0	""	1	"日本"	"日本"	1	297.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コットンのような落ち着いた風合いの生地を採用した全天候型キャップです。本体とツバの接合部を含む全ての縫い目にシームテープ処理を施すことで高い防水性を確保。日常生活から旅行まで、幅広く活用していただけます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"GORE-TEX ワークキャップ ( 品番 #1128516 )"
