﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"WIC.ライト シングルポケット ロングスリーブシャツ Men's ( 品番 #1104945 )"	0	""	1	"日本"	"日本"	1	503.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"吸水速乾性に優れ、サラサラとした着心地が持続する薄手のシャツです。シンプルなデザインで、フィールドから日常使いまで、幅広い場面で活躍します。着始めからしっくりと肌になじむしなやかな風合いです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.195	0		""				"WIC.ライト シングルポケット ロングスリーブシャツ Men's ( 品番 #1104945 )"
"WIC.ライト シングルポケット ロングスリーブシャツ Women's ( 品番 #1104946 )"	0	""	1	"日本"	"日本"	1	467.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"吸水速乾性に優れ、サラサラとした着心地が持続する薄手のシャツです。シンプルなデザインで、フィールドから日常使いまで、幅広い場面で活躍します。着始めからしっくりと肌になじむしなやかな風合いです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.158	0		""				"WIC.ライト シングルポケット ロングスリーブシャツ Women's ( 品番 #1104946 )"
"WIC.ドライタッチ ロングスリーブシャツ Men's ( 品番 #1104949 )"	0	""	1	"日本"	"日本"	1	503.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"生地表面に独特の凹凸を持つサッカー地を使用した、の爽やかで涼しい着心地ボタンダウンシャツです。速乾性に優れ、シワになりにくく型くずれもしにくいため、長期の旅行やクールビズにもお薦めです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.196	0		""				"WIC.ドライタッチ ロングスリーブシャツ Men's ( 品番 #1104949 )"
"WIC.ドライタッチ ロングスリーブシャツ Women's ( 品番 #1104950 )"	0	""	1	"日本"	"日本"	1	467.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"生地表面に独特の凹凸を持つサッカー地を使用した、の爽やかで涼しい着心地ボタンダウンシャツです。速乾性に優れ、シワになりにくく型くずれもしにくいため、長期の旅行やクールビズにもお薦めです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.159	0		""				"WIC.ドライタッチ ロングスリーブシャツ Women's ( 品番 #1104950 )"
"WIC.ドライタッチ ロングスリーブシャツ Kid's ( 品番 #1104953 )"	0	""	1	"日本"	"日本"	1	189.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"生地表面に独特の凹凸を持つサッカー地を使用した、爽やかで涼しい着心地のボタンダウンシャツです。洗濯してもすぐ乾き、シワや型くずれもほとんどありません。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.128	0		""				"WIC.ドライタッチ ロングスリーブシャツ Kid's ( 品番 #1104953 )"
"WIC.ドライタッチ ロングスリーブシャツ Kid's ( 品番 #1104954 )"	0	""	1	"日本"	"日本"	1	171.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"生地表面に独特の凹凸を持つサッカー地を使用した、爽やかで涼しい着心地のボタンダウンシャツです。洗濯してもすぐ乾き、シワや型くずれもほとんどありません。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.102	0		""				"WIC.ドライタッチ ロングスリーブシャツ Kid's ( 品番 #1104954 )"
"KAMICO プルオーバーシャツ Women's ( 品番 #2104450 )"	0	""	1	"日本"	"日本"	1	402.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高い通気性を備えた、肌離れのよいシャツです。暑い季節でも清涼感のある快適な着心地が持続。ゆったりとしたシルエットで、旅先や日常でのリラックスウエアとしてお薦めです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"KAMICO プルオーバーシャツ Women's ( 品番 #2104450 )"
"メドーシャツ ( 品番 #1104240 )"	0	""	1	"日本"	"日本"	1	582.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コットンのような風合いで肌ざわりのよい薄手シャツです。吸水加工により肌にベタつかず、シワになりにくいので旅行などに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.24	0		""				"メドーシャツ ( 品番 #1104240 )"
"WIC.ブリーズスパン シェイドカフ クリックシャツ Women's ( 品番 #1104394 )"	0	""	1	"日本"	"日本"	1	359.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"汗をかいても通気性は劣らず、真夏でも涼しい爽快なTシャツです。手の甲や首回りを日焼けから守ります。胸にダーツを入れているのでスッキリとしたシルエットです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.16	0		""				"WIC.ブリーズスパン シェイドカフ クリックシャツ Women's ( 品番 #1104394 )"
