﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"WIC.ラガーシャツ ロングスリーブ Men's ( 品番 #1104782 )"	0	""	1	"日本"	"日本"	1	633.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ソフトな肌触りで消臭効果も備えるラガーシャツです。吸水拡散性やUVカット効果にも優れ、炎天下のアクティビティでも快適な着心地です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.28	0		""				"WIC.ラガーシャツ ロングスリーブ Men's ( 品番 #1104782 )"
"WIC.ラガーシャツロングスリーブ Women's ( 品番 #1104783 )"	0	""	1	"日本"	"日本"	1	573.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ソフトな肌触りで消臭効果も備えるラガーシャツです。身幅に程よいゆとりを持たせたシルエットを採用。さらに、襟元の開きを長くすることで化粧汚れが付きにくくなっています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.21	0		""				"WIC.ラガーシャツロングスリーブ Women's ( 品番 #1104783 )"
"WIC.ロングスリーブ ポロシャツ Men's ( 品番 #1104786 )"	0	""	1	"日本"	"日本"	1	488.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"速乾性と通気性に優れ、消臭機能も備える素材を鹿の子に編んだポロシャツです。肌離れがよく、真夏でも爽快に着用することができます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.285	0		""				"WIC.ロングスリーブ ポロシャツ Men's ( 品番 #1104786 )"
"WIC.O.D.シャツ Men's ( 品番 #1104861 )"	0	""	1	"日本"	"日本"	1	718.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"柔らかな風合いで、適度な保温性を備えた中厚手のシャツです。汗を素早く吸水拡散するため、登山での休憩時やキャンプでも汗冷えを起こさず快適。消臭機能も備えています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.335	0		""				"WIC.O.D.シャツ Men's ( 品番 #1104861 )"
"WIC.O.D.シャツ Women's ( 品番 #1104862 )"	0	""	1	"日本"	"日本"	1	675.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"柔らかな風合いで、適度な保温性を備えた中厚手のシャツです。汗を素早く吸水拡散するため、登山での休憩時やキャンプでも汗冷えを起こさず快適。消臭機能も備えています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.275	0		""				"WIC.O.D.シャツ Women's ( 品番 #1104862 )"
"コアスパン オックスフォード ボタンダウンシャツ ( 品番 #2104103 )"	0	""	1	"日本"	"日本"	1	496.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コットンの風合いを持ちながらも速乾性に優れ、高い強度を持つ素材を使用したボタンダウンシャツです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.3	0		""				"コアスパン オックスフォード ボタンダウンシャツ ( 品番 #2104103 )"
"グアテマランハンドウーブン ロングスリーブシャツ Men's ( 品番 #2104293 )"	0	""	1	"日本"	"日本"	1	616.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"グアテマラの職人が一つ一つ織った生地はやわらかい風合い。肌ばなれがいいので、風通しがよく、日常生活や旅行のリラックスタイムなどに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.25	0		""				"グアテマランハンドウーブン ロングスリーブシャツ Men's ( 品番 #2104293 )"
"グアテマランハンドウーブン ロングスリーブシャツ Women's ( 品番 #2104294 )"	0	""	1	"日本"	"日本"	1	573.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"グアテマラの職人が一つ一つ織った生地はやわらかい風合い。肌ばなれがいいので、風通しがよく、日常生活や旅行のリラックスタイムなどに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.23	0		""				"グアテマランハンドウーブン ロングスリーブシャツ Women's ( 品番 #2104294 )"
"WIC.ラガーシャツ Kid's ( 品番 #1104914 )"	0	""	1	"日本"	"日本"	1	334.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ソフトな肌触りで、UVカット効果に優れ、消臭機能も備えたラガーシャツです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.15	0		""				"WIC.ラガーシャツ Kid's ( 品番 #1104914 )"
"WIC.ラガーシャツ Kid's ( 品番 #1104915 )"	0	""	1	"日本"	"日本"	1	300.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ソフトな肌触りで、UVカット効果に優れ、消臭機能も備えたラガーシャツです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.11	0		""				"WIC.ラガーシャツ Kid's ( 品番 #1104915 )"
