﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"WIC.ライト シングルポケット ハーフスリーブシャツ Men's ( 品番 #1104947 )"	0	""	1	"日本"	"日本"	1	467.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"吸水速乾性に優れ、サラサラとした着心地が持続する薄手のシャツです。シンプルなデザインで、フィールドから日常使いまで、幅広い場面で活躍します。着始めからしっくりと肌になじむしなやかな風合いです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.155	0		""				"WIC.ライト シングルポケット ハーフスリーブシャツ Men's ( 品番 #1104947 )"
"WIC.ライト シングルポケット ハーフスリーブシャツ Women's ( 品番 #1104948 )"	0	""	1	"日本"	"日本"	1	449.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"吸水速乾性に優れ、サラサラとした着心地が持続する薄手のシャツです。シンプルなデザインで、フィールドから日常使いまで、幅広い場面で活躍します。着始めからしっくりと肌になじむしなやかな風合いです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.12	0		""				"WIC.ライト シングルポケット ハーフスリーブシャツ Women's ( 品番 #1104948 )"
"WIC.ドライタッチ ハーフスリーブシャツ Men's ( 品番 #1104951 )"	0	""	1	"日本"	"日本"	1	449.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"生地表面に独特の凹凸を持つサッカー地を使用した、の爽やかで涼しい着心地ボタンダウンシャツです。速乾性に優れ、シワになりにくく型くずれもしにくいため、長期の旅行やクールビズにもお薦めです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.157	0		""				"WIC.ドライタッチ ハーフスリーブシャツ Men's ( 品番 #1104951 )"
"WIC.ドライタッチ ハーフスリーブシャツ Women's ( 品番 #1104952 )"	0	""	1	"日本"	"日本"	1	431.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"生地表面に独特の凹凸を持つサッカー地を使用した、の爽やかで涼しい着心地ボタンダウンシャツです。速乾性に優れ、シワになりにくく型くずれもしにくいため、長期の旅行やクールビズにもお薦めです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.114	0		""				"WIC.ドライタッチ ハーフスリーブシャツ Women's ( 品番 #1104952 )"
"KAMICO ハーフスリーブシャツ Men's ( 品番 #2104476 )"	0	""	1	"日本"	"日本"	1	419.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高い通気性を備えた、肌離れのよいシャツです。暑い季節でも清涼感のある快適な着心地が持続。ゆったりとしたシルエットで、旅先や日常でのリラックスウエアとしてお薦めです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.0	0		""				"KAMICO ハーフスリーブシャツ Men's ( 品番 #2104476 )"
"WIC.ライト ハーフスリーブシャツ Men's ( 品番 #1104908 )"	0	""	1	"日本"	"日本"	1	530.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"吸水速乾性に優れ、サラサラとした着心地が持続する薄手のシャツです。抜群のUVカット効果と高い通気性を備え、日差しの強いフィールドでも快適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.166	0		""				"WIC.ライト ハーフスリーブシャツ Men's ( 品番 #1104908 )"
"WIC.ライト ハーフスリーブシャツ Women's ( 品番 #1104909 )"	0	""	1	"日本"	"日本"	1	496.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"吸水速乾性に優れ、サラサラとした着心地が持続する薄手のシャツです。抜群のUVカット効果と高い通気性を備え、日差しの強いフィールドでも快適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.136	0		""				"WIC.ライト ハーフスリーブシャツ Women's ( 品番 #1104909 )"
"グアテマランハンドウーブン ハーフスリーブオープンシャツ Men's ( 品番 #2104297 )"	0	""	1	"日本"	"日本"	1	479.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"グアテマラの職人が一つ一つ織った生地はやわらかい風合い。肌ばなれがいいので、風通しがよく、日常生活や旅行のリラックスタイムなどに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.265	0		""				"グアテマランハンドウーブン ハーフスリーブオープンシャツ Men's ( 品番 #2104297 )"
"グアテマランハンドウーブン ハーフスリーブオープンシャツ Women's ( 品番 #2104298 )"	0	""	1	"日本"	"日本"	1	428.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"グアテマラの職人が一つ一つ織った生地はやわらかい風合い。肌ばなれがいいので、風通しがよく、日常生活や旅行のリラックスタイムなどに最適です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.15	0		""				"グアテマランハンドウーブン ハーフスリーブオープンシャツ Women's ( 品番 #2104298 )"
