﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"TAKEロハ Men's カヤック ( 品番 #2104477 )"	0	""	1	"日本"	"日本"	1	584.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"サラサラとした風合いで肌離れがよく、爽快な着心地のアロハシャツです。適度なハリを持つためシワになりにくく、トラベルシーンに最適。イラストはアーティストのヤーミーさんによるものです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.2	0		""				"TAKEロハ Men's カヤック ( 品番 #2104477 )"
"TAKEロハ Men's ヤマイモ ( 品番 #2104478 )"	0	""	1	"日本"	"日本"	1	584.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"サラサラとした風合いで肌離れがよく、爽快な着心地のアロハシャツです。適度なハリを持つためシワになりにくく、トラベルシーンに最適。イラストはアーティストのヤーミーさんによるものです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.2	0		""				"TAKEロハ Men's ヤマイモ ( 品番 #2104478 )"
"TAKEロハ Men's ウェーブ ( 品番 #2104479 )"	0	""	1	"日本"	"日本"	1	584.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"サラサラとした風合いで肌離れがよく、爽快な着心地のアロハシャツです。適度なハリを持つためシワになりにくく、トラベルシーンに最適。イラストはアーティストのヤーミーさんによるものです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.2	0		""				"TAKEロハ Men's ウェーブ ( 品番 #2104479 )"
"TAKEロハ Women's カヤック ( 品番 #2104480 )"	0	""	1	"日本"	"日本"	1	584.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"サラサラとした風合いで肌離れがよく、爽快な着心地のアロハシャツです。適度なハリを持つためシワになりにくく、トラベルシーンに最適。イラストはアーティストのヤーミーさんによるものです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.145	0		""				"TAKEロハ Women's カヤック ( 品番 #2104480 )"
"TAKEロハ Women's ヤマイモ ( 品番 #2104481 )"	0	""	1	"日本"	"日本"	1	584.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"サラサラとした風合いで肌離れがよく、爽快な着心地のアロハシャツです。適度なハリを持つためシワになりにくく、トラベルシーンに最適。イラストはアーティストのヤーミーさんによるものです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.145	0		""				"TAKEロハ Women's ヤマイモ ( 品番 #2104481 )"
"TAKEロハ Women's ブナ ( 品番 #2104482 )"	0	""	1	"日本"	"日本"	1	584.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"サラサラとした風合いで肌離れがよく、爽快な着心地のアロハシャツです。適度なハリを持つためシワになりにくく、トラベルシーンに最適。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.145	0		""				"TAKEロハ Women's ブナ ( 品番 #2104482 )"
"TAKEロハ Men's タケ ( 品番 #2104420 )"	0	""	1	"日本"	"日本"	1	584.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"サラサラとした風合いで肌離れがよく、爽快な着心地のアロハシャツです。素材にも使われている竹をあしらった涼しげな柄です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.2	0		""				"TAKEロハ Men's タケ ( 品番 #2104420 )"
"TAKEロハ Men's エーデルワイス ( 品番 #2104421 )"	0	""	1	"日本"	"日本"	1	584.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"サラサラとした風合いで肌離れがよく、爽快な着心地のアロハシャツです。スイスの高山植物エーデルワイスに、クライミングギアをあしらった大胆なデザインです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.2	0		""				"TAKEロハ Men's エーデルワイス ( 品番 #2104421 )"
"TAKEロハ Men's クライミングギア ( 品番 #2104424 )"	0	""	1	"日本"	"日本"	1	584.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"サラサラとした風合いで肌離れがよく、爽快な着心地のアロハシャツです。カラビナやピトン、ザイルなどのクライミングギアをちりばめています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.2	0		""				"TAKEロハ Men's クライミングギア ( 品番 #2104424 )"
