﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"EXライトウインドパーカ ( 品番 #1103239 )"	0	""	1	"日本"	"日本"	1	826.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"超軽量と圧倒的なコンパクト収納を実現したパーカです。風によるばたつきを抑えるため、ややタイトなシルエットを採用しています。ポケットなどからさっと取り出して手軽に防風性を得られます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.059	0		""				"EXライトウインドパーカ ( 品番 #1103239 )"
"EXライト ウインド ジャケット Men's ( 品番 #1103233 )"	0	""	1	"日本"	"日本"	1	701.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"世界最軽量と圧倒的なコンパクト収納を実現したジャケットです。生地や細部のデザインに至るまで徹底して軽量化を追求。ポケットなどからさっと取り出して手軽に防風性を得られます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.045	0		""				"EXライト ウインド ジャケット Men's ( 品番 #1103233 )"
"EXライト ウインド ジャケット Women's ( 品番 #1103234 )"	0	""	1	"日本"	"日本"	1	658.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"世界最軽量と圧倒的なコンパクト収納を実現したジャケットです。生地や細部のデザインに至るまで徹底して軽量化を追求。ポケットなどからさっと取り出して手軽に防風性を得られます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.04	0		""				"EXライト ウインド ジャケット Women's ( 品番 #1103234 )"
"EXライト ウインド ベスト Men's ( 品番 #1103235 )"	0	""	1	"日本"	"日本"	1	547.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"世界最軽量と圧倒的なコンパクト収納を実現したベストです。生地や細部のデザインに至るまで徹底して軽量化を追求。ポケットなどからさっと取り出して手軽に防風性を得られます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.035	0		""				"EXライト ウインド ベスト Men's ( 品番 #1103235 )"
"EXライト ウインド ベスト Women's ( 品番 #1103236 )"	0	""	1	"日本"	"日本"	1	513.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"世界最軽量と圧倒的なコンパクト収納を実現したベストです。生地や細部のデザインに至るまで徹底して軽量化を追求。ポケットなどからさっと取り出して手軽に防風性を得られます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.03	0		""				"EXライト ウインド ベスト Women's ( 品番 #1103236 )"
"U.L.ストレッチウインド パーカ Men's ( 品番 #1103229 )"	0	""	1	"日本"	"日本"	1	718.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の運動性と軽量性を両立したフーデッド・パーカです。冷たい風から頭部や首筋を守るのに有効です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.123	0		""				"U.L.ストレッチウインド パーカ Men's ( 品番 #1103229 )"
"U.L.ストレッチウインド パーカ Women's ( 品番 #1103230 )"	0	""	1	"日本"	"日本"	1	675.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の運動性と軽量性を両立したフーデッド・パーカです。冷たい風から頭部や首筋を守るのに有効です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.113	0		""				"U.L.ストレッチウインド パーカ Women's ( 品番 #1103230 )"
"U.L.ストレッチウインド ジャケット Men's ( 品番 #1103231 )"	0	""	1	"日本"	"日本"	1	667.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の運動性と軽量性を両立したジャケットです。肩や脇、背中部分にバイアスストレッチを採用し、抜群の動きやすさを実現しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.105	0		""				"U.L.ストレッチウインド ジャケット Men's ( 品番 #1103231 )"
"U.L.ストレッチウインド ジャケット Women's ( 品番 #1103232 )"	0	""	1	"日本"	"日本"	1	624.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の運動性と軽量性を両立したジャケットです。肩や脇、背中部分にバイアスストレッチを採用し、抜群の動きやすさを実現しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.096	0		""				"U.L.ストレッチウインド ジャケット Women's ( 品番 #1103232 )"
