﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ウインドブラスト ジャケット Men's ( 品番 #1103240 )"	0	""	1	"日本"	"日本"	1	440.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"耐久性と軽量コンパクト性をバランスよく両立させた、携行に便利なジャケットです。適度に体にフィットさせたデザインにすることで、風によるばたつきを軽減。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.148	0		""				"ウインドブラスト ジャケット Men's ( 品番 #1103240 )"
"ウインドブラスト ジャケット Women's ( 品番 #1103241 )"	0	""	1	"日本"	"日本"	1	413.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"耐久性と軽量コンパクト性をバランスよく両立させた、携行に便利なジャケットです。適度に体にフィットさせたデザインにすることで、風によるばたつきを軽減。ウエストを少しシェイプさせたシルエットです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.128	0		""				"ウインドブラスト ジャケット Women's ( 品番 #1103241 )"
"ウインドブラスト パーカ Men's ( 品番 #1103242 )"	0	""	1	"日本"	"日本"	1	467.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"耐久性と軽量コンパクト性をバランスよく両立させた、携行に便利なパーカです。適度に体にフィットさせたデザインにすることで、風によるばたつきを軽減。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.174	0		""				"ウインドブラスト パーカ Men's ( 品番 #1103242 )"
"ウインドブラスト パーカ Women's ( 品番 #1103243 )"	0	""	1	"日本"	"日本"	1	440.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"耐久性と軽量コンパクト性をバランスよく両立させた、携行に便利なパーカです。適度に体にフィットさせたデザインにすることで、風によるばたつきを軽減。ウエストを少しシェイプさせたシルエットです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.152	0		""				"ウインドブラスト パーカ Women's ( 品番 #1103243 )"
"O.D.ジャケット ( 品番 #1103244 )"	0	""	1	"日本"	"日本"	1	530.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コットンのような柔らかさと肌触りを持つジャケットです。適度なゆとりを持たせたシルエットで、軽やかな着心地です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.246	0		""				"O.D.ジャケット ( 品番 #1103244 )"
"O.D.パーカ Men's ( 品番 #1103245 )"	0	""	1	"日本"	"日本"	1	557.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コットンのような柔らかさと肌触りを持つパーカです。適度なゆとりを持たせたシルエットで、軽やかな着心地です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.289	0		""				"O.D.パーカ Men's ( 品番 #1103245 )"
"O.D.パーカ Women's ( 品番 #1103246 )"	0	""	1	"日本"	"日本"	1	548.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コットンのような柔らかさと肌触りを持つパーカです。適度なゆとりを持たせたシルエットで、軽やかな着心地です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.251	0		""				"O.D.パーカ Women's ( 品番 #1103246 )"
"O.D.アノラック ( 品番 #1103247 )"	0	""	1	"日本"	"日本"	1	611.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コットンのような柔らかさと肌触りを持つアノラックです。適度なゆとりを持たせたシルエットで、軽やかな着心地です。フロント部分には、ジッパー付き大型ポケットを配置しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.296	0		""				"O.D.アノラック ( 品番 #1103247 )"
"O.D.パーカ Kid's ( 品番 #1103248 )"	0	""	1	"日本"	"日本"	1	395.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"コットンのような柔らかさと肌触りを持つ、薄手の素材で作ったウインドブレーカーです。表面にはポルカテックス加工を施しているので小雨程度なら難なくはじき、汚れも付着しにくくなっています。 ※防水機能はありませんので、レインウェアとしては使用できません。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.194	0		""				"O.D.パーカ Kid's ( 品番 #1103248 )"
