﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"ライトトレール プリントタイツ Women's ( 品番 #1107142 )"	0	""	1	"日本"	"日本"	1	332.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"春や秋の登山、キャンプなどで快適に過ごせる薄手の高機能タイツです。UVカット効果に優れ、抜群のストレッチ性と制菌防臭効果を持つ吸水速乾性素材を使用しているため、運動量や発汗量の多い場面でも快適。鮮やかなプリント柄で、ショーツやスカートに合わせてコーディネートをお楽しみいただけます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.097	0		""				"ライトトレール プリントタイツ Women's ( 品番 #1107142 )"
"ライトトレールタイツ Kid's ( 品番 #1107145 )"	0	""	1	"日本"	"日本"	1	207.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"春から秋にかけてのキャンプや自然散策などで活躍する薄手のタイツです。抜群のストレッチ性と制菌防臭効果を持つ吸水速乾性素材を使用しているため、運動量や発汗量の多い場面でも快適。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.081	0		""				"ライトトレールタイツ Kid's ( 品番 #1107145 )"
"ライトトレールタイツ Kid's ( 品番 #1107146 )"	0	""	1	"日本"	"日本"	1	189.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"春から秋にかけてのキャンプや自然散策などで活躍する薄手のタイツです。抜群のストレッチ性と制菌防臭効果を持つ吸水速乾性素材を使用しているため、運動量や発汗量の多い場面でも快適。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.058	0		""				"ライトトレールタイツ Kid's ( 品番 #1107146 )"
"ジオライン メッシュ サイクル レッグカバー ( 品番 #1130408 )"	0	""	1	"日本"	"日本"	1	458.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"風通しがよく涼しい付け心地でありながら、紫外線を効果的にカットするレッグカバーです。高機能素材ジオラインをメッシュ地に編み上げ、蒸れにくさと速乾性を実現。テーパードデザインで優しく脚にフィット。締め付け感なくペダリング時のずり下がりを防ぎます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.085	0		""				"ジオライン メッシュ サイクル レッグカバー ( 品番 #1130408 )"
"ジオライン L.W.レッグウォーマー ( 品番 #1107162 )"	0	""	1	"日本"	"日本"	1	231.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"少し肌寒いときにショーツやスカートと組み合わせて着用すると便利なレッグウォーマーです。縫い目にはフラットシーマー処理を施しごろつき感を解消。伸縮性に優れ、制菌防臭機能やUVカット効果も備えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.07	0		""				"ジオライン L.W.レッグウォーマー ( 品番 #1107162 )"
"ウール レッグウォーマー ( 品番 #1108764 )"	0	""	1	"日本"	"日本"	1	171.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"鮮やかなボーダー柄のレッグウォーマーです。鮮やかなボーダー柄のレッグウォーマーです。大変暖かく、柔らかな肌触りのウールを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.082	0		""				"ウール レッグウォーマー ( 品番 #1108764 )"
"リバーシブル ダウン レッグウォーマー ( 品番 #1108765 )"	0	""	1	"日本"	"日本"	1	419.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"しなやかなシェル素材に、高品質グースダウンを封入し、抜群の保温性を持たせたレッグウォーマーです。コーディネートに合わせて2パターンのカラーが楽しめるリバーシブル仕様です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.086	0		""				"リバーシブル ダウン レッグウォーマー ( 品番 #1108765 )"
"クリマプラス 100 プリント レッグウォーマー ( 品番 #1108766 )"	0	""	1	"日本"	"日本"	1	124.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"優れた伸縮性と保温性を備えるフリース素材に華やかな柄をあしらったレッグウォーマーです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.065	0		""				"クリマプラス 100 プリント レッグウォーマー ( 品番 #1108766 )"
"メリノウール ジャカード レッグウォーマー ( 品番 #1108767 )"	0	""	1	"日本"	"日本"	1	223.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"カラフルなジャカード模様をあしらったレッグウォーマーです。優れた保温性を持ち、大変滑らかで肌触りが優しいメリノウールを採用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.082	0		""				"メリノウール ジャカード レッグウォーマー ( 品番 #1108767 )"
