﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"WIC.スリムT ワンポイントロゴ Women's ( 品番 #1104934 )"	0	""	1	"日本"	"日本"	1	180.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高機能素材ウイックロンを採用した、女性らしいタイトなシルエットのTシャツです。伸縮性・速乾性に優れ、運動量の多いアクティビティでも軽快に着用していだだけます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.096	0		""				"WIC.スリムT ワンポイントロゴ Women's ( 品番 #1104934 )"
"WIC.スリム ロングスリーブT ワンポイントロゴ Women's ( 品番 #1104935 )"	0	""	1	"日本"	"日本"	1	198.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"高機能素材ウイックロンを採用した、女性らしいタイトなシルエットのTシャツです。伸縮性・速乾性に優れ、運動量の多いアクティビティでも軽快に着用していだだけます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.128	0		""				"WIC.スリム ロングスリーブT ワンポイントロゴ Women's ( 品番 #1104935 )"
"WIC.カラーシャツ Men's ( 品番 #1104942 )"	0	""	1	"日本"	"日本"	1	413.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"快適素材ウイックロンを伸縮性の高いフライス編みにすることで、抜群のストレッチ性を持たせたオープンカラータイプの半袖シャツです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.208	0		""				"WIC.カラーシャツ Men's ( 品番 #1104942 )"
"WIC.カラーシャツ Women's ( 品番 #1104943 )"	0	""	1	"日本"	"日本"	1	395.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"快適素材ウイックロンを伸縮性の高いフライス編みにすることで、抜群のストレッチ性を持たせたオープンカラータイプの半袖シャツです。ウエストをシェイプさせた女性らしいシルエットに仕上げています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.151	0		""				"WIC.カラーシャツ Women's ( 品番 #1104943 )"
"WIC.ストレッチ トレールタンクトップ Women's ( 品番 #1104944 )"	0	""	1	"日本"	"日本"	1	413.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群のストレッチ性と優れた吸水速乾性を備え、ウエストをシェイプさせたタイトなシルエットのタンクトップです。単体でも着用でき、トレッキングやフィットネスシーンなど、体を動かすあらゆるシーンで幅広く活躍します。パッド付きで単体でも着用可能。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.11	0		""				"WIC.ストレッチ トレールタンクトップ Women's ( 品番 #1104944 )"
"WIC.T 剣岳 ( 品番 #1104955 )"	0	""	1	"日本"	"日本"	1	216.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"夏のアクティビティを快適に過ごすためのさまざまな機能を備えた素材ウイックロンを採用したTシャツです。畦地梅太郎さん（1999年没）による作品をプリントしています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.145	0		""				"WIC.T 剣岳 ( 品番 #1104955 )"
"WIC.T 浅間山 ( 品番 #1104956 )"	0	""	1	"日本"	"日本"	1	216.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"夏のアクティビティを快適に過ごすためのさまざまな機能を備えた素材ウイックロンを採用したTシャツです。畦地梅太郎さん（1999年没）による作品をプリントしています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.145	0		""				"WIC.T 浅間山 ( 品番 #1104956 )"
"WIC.ロングスリーブT 火山の跡 ( 品番 #1104957 )"	0	""	1	"日本"	"日本"	1	270.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"夏のアクティビティを快適に過ごすためのさまざまな機能を備えた素材ウイックロンを採用したTシャツです。畦地梅太郎さん（1999年没）による作品をプリントしています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.185	0		""				"WIC.ロングスリーブT 火山の跡 ( 品番 #1104957 )"
"WIC.T ケヤキ ( 品番 #1104958 )"	0	""	1	"日本"	"日本"	1	216.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"夏のアクティビティを快適に過ごすためのさまざまな機能を備えた素材ウイックロンを採用したTシャツです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.145	0		""				"WIC.T ケヤキ ( 品番 #1104958 )"
