﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"コットンT ワンポイントロゴ Men's ( 品番 #2104445 )"	0	""	1	"日本"	"日本"	1	171.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"柔らかな肌触りのコットンを使用した薄手のTシャツです。シンプルなデザインでさまざまな場面で着用していただけます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.143	0		""				"コットンT ワンポイントロゴ Men's ( 品番 #2104445 )"
"コットンT ワンポイントロゴ Women's ( 品番 #2104446 )"	0	""	1	"日本"	"日本"	1	171.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"柔らかな肌触りのコットンを使用した薄手のTシャツです。シンプルなデザインでさまざまな場面で着用していただけます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.096	0		""				"コットンT ワンポイントロゴ Women's ( 品番 #2104446 )"
"コットン ロングスリーブT ワンポイントロゴ Men's ( 品番 #2104447 )"	0	""	1	"日本"	"日本"	1	216.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"柔らかな肌触りのコットンを使用した薄手のロングスリーブTシャツです。シンプルなデザインでさまざまな場面で着用していただけます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.179	0		""				"コットン ロングスリーブT ワンポイントロゴ Men's ( 品番 #2104447 )"
"コットン ロングスリーブT ワンポイントロゴ Women's ( 品番 #2104448 )"	0	""	1	"日本"	"日本"	1	216.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"柔らかな肌触りのコットンを使用した薄手のTシャツです。シンプルなデザインでさまざまな場面で着用していただけます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.129	0		""				"コットン ロングスリーブT ワンポイントロゴ Women's ( 品番 #2104448 )"
"ペアスキンコットン T 火の鳥 ( 品番 #2104451 )"	0	""	1	"日本"	"日本"	1	207.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"上質なコットンを使用した快適なTシャツです。漫画家、手塚治虫さん（1989年没）によるイラストをプリントしています。TEZUKA PRODUCTIONS"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.24	0		""				"ペアスキンコットン T 火の鳥 ( 品番 #2104451 )"
"ペアスキンコットン T 夕日 ( 品番 #2104452 )"	0	""	1	"日本"	"日本"	1	207.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"上質なコットンを使用した快適なTシャツです。漫画家、手塚治虫さん（1989年没）によるイラストをプリントしています。TEZUKA PRODUCTIONS"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.24	0		""				"ペアスキンコットン T 夕日 ( 品番 #2104452 )"
"ペアスキンコットン T 山脈 ( 品番 #2104453 )"	0	""	1	"日本"	"日本"	1	207.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"上質なコットンを使用した快適なTシャツです。漫画家、手塚治虫さん（1989年没）によるイラストをプリントしています。TEZUKA PRODUCTIONS"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.24	0		""				"ペアスキンコットン T 山脈 ( 品番 #2104453 )"
"ペアスキンコットン T リュウビンタイ ( 品番 #2104455 )"	0	""	1	"日本"	"日本"	1	175.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"上質なコットンを使用した快適なTシャツです。生地表面は洋梨（ペア）の肌のようなざっくりとした風合いで、洗い込むほどに肌になじみ、型くずれをおこしにくい丈夫さを持ち合わせています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.24	0		""				"ペアスキンコットン T リュウビンタイ ( 品番 #2104455 )"
"ペアスキンコットン T 釣り人 ( 品番 #2104456 )"	0	""	1	"日本"	"日本"	1	175.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"上質なコットンを使用した快適なTシャツです。生地表面は洋梨（ペア）の肌のようなざっくりとした風合いで、洗い込むほどに肌になじみ、型くずれをおこしにくい丈夫さを持ち合わせています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.24	0		""				"ペアスキンコットン T 釣り人 ( 品番 #2104456 )"
