﻿version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	buyareatype	global_stock_type	global_stock_country	sub_stock_type	item_size	item_weight	sell_promise	custom_design_flag	wireless_desc	barcode	sku_barcode	newprepay	subtitle
ｱｦｱｴﾃ﨤ﾆ	ｱｦｱｴﾀ狷ｿ	ｵﾌﾀ狷ｿ	ﾐﾂｾﾉｳﾌｶﾈ	ﾊ｡	ｳﾇﾊﾐ	ｳﾛｷｽﾊｽ	ｱｦｱｴｼﾛｸ	ｼﾓｼﾛｷﾈ	ｱｦｱｴﾊﾁｿ	ﾓﾐﾐｧﾆﾚ	ﾔﾋｷﾑｳﾐｵ｣	ﾆｽﾓﾊ	EMS	ｿﾝ	ｷ｢ﾆｱ	ｱ｣ﾐﾞ	ｷﾅﾈﾖｿ	ｳｰﾍﾆｼ	ｿｪﾊｼﾊｱｼ	ｱｦｱｴﾃ靆	ｱｦｱｴﾊﾔ	ﾓﾊｷﾑﾄ｣ｰ覈D	ｻ瞞ｱｴﾛ	ﾐﾞｸﾄﾊｱｼ	ﾉﾏｴｫﾗｴﾌｬ	ﾍｼﾆｬﾗｴﾌｬ	ｷｵｵ羈ﾈﾀ	ﾐﾂﾍｼﾆｬ	ﾊﾓﾆｵ	ﾏ摠ﾛﾊﾔﾗ鮗ﾏ	ﾓﾃｻｧﾊ菠Dｴｮ	ﾓﾃｻｧﾊ菠ﾖｵｶﾔ	ﾉﾌｼﾒｱ狡	ﾏ摠ﾛﾊﾔｱ	ｴ嵭菎獎ﾍ	ﾊﾗﾖID	ｱｾｵﾘID	ｱｦｱｴｷﾖﾀ	ﾓﾃｻｧﾃ﨤ﾆ	ｱｦｱｴﾗｴﾌｬ	ﾉﾁｵ邱｢ｻ	ﾐﾂﾆｷ	ﾊｳﾆｷﾗｨﾏ	ｳﾟﾂ	ｲﾉｹｺｵﾘ	ｿ箒貘獎ﾍ	ｹ恝ﾒｵﾘﾇ	ｿ箒貍ﾆﾊ	ﾎ蟒	ﾎﾘﾁｿ	ﾍﾋｻｻｻﾐﾅｵ	ｶｨﾖﾆｹ､ｾﾟ	ﾎﾞﾏﾟﾏ	ﾉﾌﾆｷﾌﾎﾂ	sku ﾌﾎﾂ	7ﾌﾋｻ	ｱｦｱｴﾂ
"サニーサイドパンツ Men's ( 品番 #1105428 )"	0	""	1	"日本"	"日本"	1	641.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で動きやすく、耐久性に優れたパンツです。軽量でハリ・コシがある薄手の素材を採用。撥水性に優れ、横方向に高い伸縮性を備えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.347	0		""				"サニーサイドパンツ Men's ( 品番 #1105428 )"
"サニーサイドパンツ Women's ( 品番 #1105487 )"	0	""	1	"日本"	"日本"	1	611.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量で動きやすく、耐久性に優れたパンツです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.329	0		""				"サニーサイドパンツ Women's ( 品番 #1105487 )"
"ストレッチライトパンツ Men's ( 品番 #1105435 )"	0	""	1	"日本"	"日本"	1	582.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"最軽量ストレッチ素材の採用で、高い運動性を実現する、春夏用パンツです。軽量で適度なハリとサラサラとした風合いを持つ、パンツで採用される最も薄手のストレッチ性素材を使用。優れた撥水性を備えます。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.302	0		""				"ストレッチライトパンツ Men's ( 品番 #1105435 )"
"ストレッチライトパンツ Women's ( 品番 #1105488 )"	0	""	1	"日本"	"日本"	1	566.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"軽量ストレッチ素材を採用した、大変軽やかなパンツです。登山からキャンプまで幅広く活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.256	0		""				"ストレッチライトパンツ Women's ( 品番 #1105488 )"
"ストレッチカーゴパンツ Men's ( 品番 #1105371 )"	0	""	1	"日本"	"日本"	1	667.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"サラサラとした肌触りの、撥水・伸縮性に優れた通年履けるカーゴパンツです。適度な伸縮性と、ややゆったりとしたシルエットで歩きやすさも抜群です。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.31	0		""				"ストレッチカーゴパンツ Men's ( 品番 #1105371 )"
"ストレッチカーゴパンツ Women's ( 品番 #1105485 )"	0	""	1	"日本"	"日本"	1	619.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の動きやすさと、高い収納力を備えたカーゴパンツです。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.299	0		""				"ストレッチカーゴパンツ Women's ( 品番 #1105485 )"
"ストレッチO.D.パンツ Men's ( 品番 #1105471 )"	0	""	1	"日本"	"日本"	1	476.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の運動性と携行性を備えたパンツです。縦走時の予備パンツとしても活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.264	0		""				"ストレッチO.D.パンツ Men's ( 品番 #1105471 )"
"ストレッチO.D.パンツ Women's ( 品番 #1105472 )"	0	""	1	"日本"	"日本"	1	449.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"抜群の運動性と携行性を備えたパンツです。縦走時の予備パンツとしても活躍します。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.242	0		""				"ストレッチO.D.パンツ Women's ( 品番 #1105472 )"
"ストレッチO.D.ニッカMen's ( 品番 #1105475 )"	0	""	1	"日本"	"日本"	1	431.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ストレッチ性を備え、抜群の運動性を持つニッカです。軽量でハリ・コシがあり、撥水性を備える薄手の素材を使用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.236	0		""				"ストレッチO.D.ニッカMen's ( 品番 #1105475 )"
"ストレッチO.D.ニッカWomen's ( 品番 #1105476 )"	0	""	1	"日本"	"日本"	1	404.0	""	1	0	0	3.45301e-37	9.87215e-24	7.97105e+18	0	0	1	0	""	"ストレッチ性を備え、抜群の運動性を持つニッカです。軽量でハリ・コシがあり、撥水性を備える薄手の素材を使用しています。"	""	0	0	""	"200"	""	0	""	""	""	""	""	""	""	0	0	1403318665268	1	volfo	1	248	244			1	2	日本	2		0.204	0		""				"ストレッチO.D.ニッカWomen's ( 品番 #1105476 )"
